# Scramble samples — pseudo / pseudo_xxxcross / B / bin 7
# Population in this bin: 930
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-07-15
# Columns: id,scramble,bottom_color,competition,round

2624052001,D' B F2 U2 F2 R B2 U2 R U2 F D' F2 D2 B L U B' R,B,Eretum 2: Easter Boogaloo 2023 (2023-04-08),333 R1 A #5
4381910016,U2 F B2 L2 U B2 F2 U' R2 B D' R2 F L' B' L' D' U2 B' L2,B,I Hope It's Solved Edmonton 2024 (2024-12-21~22),333mbf Final A #3
3412943009,D' B D2 R2 F' D2 F R2 F R B' L U' F' R' U' R2 F' U L2 U2,B,Mentallinn 2024 (2024-01-13~14),333mbf Final A #1
36814001,U B2 D F2 U R2 U B2 U2 F2 U2 R' U2 B' L U' F L D' F' L2,B,Czech Open 2014 (2014-07-11~13),333 R1 C E2
5195983001,F' D F L2 D' L2 D L2 F2 D' B2 R2 B' L' F' R F R U',B,Basauri Open 2025 (2025-11-15~16),333 R1 B #2
5005032001,B2 R U' R2 B D2 R2 F2 D2 F R2 B' L B L' D2 B2 R' F2,B,Gniezno Side Open 2025 (2025-08-30~31),333oh Final A #3
1156961001,D R' F' D F R D2 F R U2 F R2 U2 F' R2 U2 L2 B,B,Myyrmäki Summer Challenge 2019 (2019-05-24~26),333 Final A #3
3177461001,B' L F2 R' F' L B2 U' B2 D2 L2 F' R2 L2 U2 B' D',B,Tulcan Open 2023 (2023-10-21),333 R1 B #5
58172001,U2 B2 D F' L2 D' L B D R' D2 R2 B2 U2 R' F2 U2 R' U2 L2,B,Champagne Summer Open 2014 (2014-09-13~14),333 R1 D #2
3892619001,B D L F D' F' B2 R' L F R2 U2 D2 B U2 B' D2 R2 B',B,PUCP Cubing Festival I 2024 (2024-06-22),333 Final B #4
2018573062,D' R2 F2 L2 B2 U2 R U' F R2 B' D2 U2 B L D R' D L2 U2,B,Rubik's WCA European Championship 2022 (2022-07-14~17),333mbf Final B #1
3012500001,D' R' U' L' D' F2 D2 F2 L' F' R B2 D R2 L2 U D F2 D,B,Cubing at Tramsheds Saturday 2023 (2023-08-26),333 R1 E #3
1776593001,D2 F2 D' F2 U' R D' R B D2 U R U L' D' U',B,Scramble in the Springs 2022 (2022-01-08),333 R1 E #4
1845219001,U2 F2 U' L' F L F L U L2 U B2 U' B2 D B2 R2 U,B,Montpellier Open 2022 (2022-03-26~27),333oh Final A #5
1086533001,R2 F2 R F' L2 F' D2 L' D' B2 L' U F2 B2 U R2 B2 R2 U',B,Martelli Open Otoño 2019 (2019-03-30~31),333oh R1 D #4
1078508001,R B2 D2 L' F2 L' D2 R2 B2 L' U2 B L2 R2 F' D' L' B U2 F2,B,Rocky Mountain Spring 2019 (2019-03-30),333 R1 F #1
102189001,L2 B' F U2 F' R' B L B' U2 F U2 F2 L' F' D,B,Speed Cubing Mumbai Unlimited 2015 (2015-01-16~18),333 R2 C #3
4406556001,R' B2 L R D2 R' F U' R2 U' F' U R' U' R' D2 F',B,Maple Ridge Favourites 2025 (2025-01-04),333 R1 C #4
2125053001,R2 D' L' B2 R2 F D B2 D' R' D' L2 B2 U' L2 D' F2 R2 D',B,Let's Even the Odds Alabama 2022 (2022-08-27),333 R1 A E2
806709001,L2 B2 R' D2 L' U2 B2 L D R D F2 R' B2 D R2 U' L,B,Changchun Open 2018 (2018-06-18),333oh Final B E1
2041621001,B U L D' L U' B' R2 D' L2 D B2 D' F2 L2 U2 L2 D' R,B,Cubing Returns Delhi 2022 (2022-07-23~24),333oh R1 E #1
1094092001,D' L2 U B2 R2 U L2 D B2 F2 L2 B' L' F' L2 B2 D L2 B U F2,B,La Paz Cube Day 2019 (2019-04-14),333 Final A #4
4361279018,U2 R U' L2 D' B2 U' R' F' D2 B2 D2 L D2 R' U2 F L' B,B,Goiânia Xiu 2024 (2024-12-14~15),333mbf Final A #1
123740001,D U B2 D2 L2 R2 F' U' B' D' B2 F' U' B' D L F' L2 U,B,Michigan Cubing Club Beta 2015 (2015-04-04),333bf Final A E2
128631001,F' U2 B' U2 B L2 U2 B' L2 R2 F' U R' B' L' B F U B F2,B,Psico Rubik Caracas 2015 (2015-04-17),333oh R1 A #2
1656522001,B' U' L' B' D2 F2 R2 D' R' B' U2 F2 D2 L2 U2 R2 F U,B,Guilin Open 2021 (2021-05-16),333 R1 H #1
5304280001,L' F' B D' F R F' U2 B2 U2 F2 R2 U2 L' B2 U2 D' B2 D,B,New York Multimate PBQ III 2025 (2025-12-27~28),333bf R1 B #2
4443337001,B R' F L2 B2 U2 R F B2 D2 F' R2 L2 F2 D2 F U' F' U,B,Cube4fun in Tylmanowa 2025 (2025-01-25~26),333oh Final A #4
5242370001,B2 F2 L D2 L2 D2 R' D2 R' D' B' D U2 B2 R' D2 F',B,Muchea Cube Day 2025 (2025-12-06),333 R2 B #3
1024085015,L2 D2 L B2 D2 F2 U2 L2 F2 U' R B' D2 U L R B2 D2 L B' L',B,I Hope It's Solved Edmonton 2019 (2019-02-16~17),333mbf Final B #1
151157001,R2 F U2 B' D2 B F' L2 U2 L2 R' B' F2 U' F R2 D' L2 B' L',B,Finnish Open 2015 (2015-06-13~14),333 Final A #2
153737001,D B2 R' U' R' F R2 B L2 B R2 U L2 U F2 U2 R2 U L2,B,Pune Fall Open V2.0 2015 (2015-06-21),333oh Final C #3
3275012001,D R F D2 R' U R' L' B' L' B D2 L' D2 L' F2 B2 L',B,Scarborough Fall B 2023 (2023-11-19),333 R2 C #1
3133652001,B' L' F2 D' R' F' D' L2 F2 U2 R' B' D2 R2 F R2 F2 L2,B,Tridentum Open 2023 (2023-09-30~10-01),333 R2 C E1
4652207001,F2 L' F' D2 L' D2 R F2 U L R2 B' L' F' L' B',B,Front Royal Spring 2025 (2025-04-13),333 R2 B #3
179807001,F' R2 U2 F L2 D2 B2 R2 F2 L' D F L U2 F' D2 R' B R',B,Kharkiv Cube Day 2015 (2015-08-16),333 R1 B #4
3034334001,D' F2 R' B2 L2 R' U2 L2 R D' B' U2 L B2 F U2 B' R2 U',B,Nacionales Argentinas 2023 (2023-09-01~03),333oh R1 C E1
185369001,U2 B2 U2 L2 F2 R2 F2 D2 R2 U2 F D' L F' R' F' U' F' R' B' D L B2,B,Belgium Summer 2015 (2015-09-05~06),333bf R1 B #1
1073606001,D2 R D2 R2 F2 R' D2 R2 D2 F' D' R U' R' D2 R B D R',B,Szczytno Open 2019 (2019-03-30),333 R2 B E1
191941001,R2 B2 F2 R U2 L' F2 R2 U' F R F U2 R B' U2 R2 U' L',B,Dnepr Skips 2015 (2015-09-19~20),333ft Final A #3
3545832019,D2 U2 B D2 B D2 L2 B2 U2 L' F2 U' L' D2 R' F2 U L' U2 B R',B,Please Be Quiet Taiwan 2024 (2024-02-24~25),333mbf Final A #1
5146342001,U F2 B U' D2 B D2 L D F R2 B U2 B' R2 F R2 U2 B,B,LA Twist or Treat 2025 (2025-11-01),333 R2 A #3
208565001,B2 U F' U R L U2 D L U2 F D2 F D2 F U2 R2 F2,B,Back to Santiago 2015 (2015-10-25),333 R1 B #5
1218247001,B' L2 R2 F' R2 B' R F' L2 R' B2 U' R U2 B' L U,B,Deccan Cube Open July 2019 (2019-07-14),333oh Final C #5
4007522001,R' F2 R' U2 R' U2 R' B2 F' D U B U2 F L F D2 F' L B,B,Norwegian Championship 2024 (2024-08-09~11),333bf R1 A #2
