# Scramble samples — pseudo / pseudo_xxxcross / O / bin 7
# Population in this bin: 890
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-07-15
# Columns: id,scramble,bottom_color,competition,round

23001,D2 U L2 B2 R2 F2 R2 U2 R2 D' R' D B2 U B' R B' D B' L',O,Galeries Dorian Open 2014 (2014-03-15),333bf Final A #2
5318421001,U2 L2 F L2 D' L2 B F2 R2 L' U2 L2 B2 L' B' D2 R U2,O,Wrightsville Beach Bash 2026 (2026-01-11),333 R2 A E1
6373001,U D2 F U' L' F2 D R2 L D' L2 D' F2 R2 F2 U F2 R2 D,O,Rumia Open 2014 (2014-03-29~30),333 R1 A E2
1690486031,L D F2 U F2 R2 F2 D' F2 U' R F' R' B2 R B U F2 D L B2,O,Szansa Cubing Open Warsaw 2021 (2021-09-11~12),333mbf Final B #2
4013073001,U F2 R' B2 U2 R D2 R' U2 R2 D' F U' B2 L U' B F' L',O,Korean Championship 2024 (2024-08-15~17),333 R2 B #1
3916788001,L' B2 R' D' F2 R2 D2 F L2 R2 B' U B' D' U L' R' F,O,Stevenage July 2024 (2024-07-06~07),333 R2 A E1
4700055001,D' B2 D2 R2 B2 F2 D2 R' F2 U2 F' U' B2 D L2 R F U' B,O,McBaja 2025 (2025-05-03),333oh R2 B #5
4421300001,D2 L B2 F2 L D2 L' U2 B' U2 L2 U F2 D' L F L' B' U2,O,Trivandrum Cube Open 2025 (2025-01-11),333 R1 C E1
2529129001,B' R' D' R' U B2 U' F2 D' U' L2 F R U R' D L' R',O,Hong Kong Cube Day 2023 (2023-03-04),333oh R1 B #3
3276074001,F' R2 D' R L2 D' B L2 F' L2 F' U2 L2 B' U2 F U',O,Bajío Open 2023 (2023-11-18~19),333 R2 B E1
1040957029,D2 F2 D2 F D2 L2 B U2 L2 U2 L' U' F' D' F2 U' L R D F2 L2 U,O,PBQ Berkeley Spring 2019 (2019-03-09),333mbf Final C #2
48073001,F U L D2 L' F2 L2 U L' U B R2 L2 F' D2 B D2 B D2,O,Rubik's Cube European Championships 2014 (2014-08-08~10),333oh R1 D #3
1324203001,R L D B U' F2 U R' B' R D2 F2 L2 F' U2 F' D2 F' U2,O,Philippine Championship 2019 (2019-09-27~29),333 R1 C #3
52688001,L' D F2 B L U R' L F' U B2 U R2 U2 F2 D B2 L2 U2 R2,O,ABHC 2014 (2014-08-23~25),333ft R1 B #2
4634595001,U' R' B U F2 D U2 B2 L2 R2 F' D U' F' U2 F D F',O,Tokai Spring 2025 (2025-04-12),333 R1 A #4
5229375007,F' U2 R2 F L' D' F' R' F' D2 R' D2 R B2 R L2 F2 B2 D2 B' L',O,Please Be Quiet Kuala Lumpur 2025 (2025-11-30),333mbf Final A #1
4846168001,D' F U R B' U2 L B U' B2 D2 B2 L2 D2 L2 F R' F' D2,O,Trentatré Trentini Entrarono a Trento 2025 (2025-07-05~06),333bf R1 A #2
