# Scramble samples — pseudo_f2leo / pseudo_f2leo_cross / Y / bin 2
# Population in this bin: 399
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-06
# Columns: id,scramble,bottom_color

13167001,B2 R2 F2 U' B2 F2 D' F2 U F2 U' B' U2 B' D2 F D B2 R U,Y
5461416001,D2 R' U R U R U2 R' B' R B2 R D2 R' L2 F2 L U2 R,Y
3341905001,R B U L2 F2 R2 F2 L' D R' L' F2 R2 B R2 F2 D2,Y
2775066047,L' F D2 B2 D' R U D R2 F R' B' U2 F' B' R2 D2 F U2 L',Y
4464062037,B' R2 F2 D' F2 U2 R2 U B2 F2 R D' F L2 B' L U2 F D' B' L,Y
4675505001,B R D2 U2 B R2 U2 F' R2 B U2 L D2 B2 F L2 F R2,Y
107660001,F L2 U2 L2 F' D2 U2 B' U2 R B D' U L F2 D2 R' D2 F L' F,Y
108360001,R2 U2 F D2 B R2 B L2 B' D B D' F R2 B F' D' B L',Y
141847001,U' F2 B2 R2 U' R F' R U2 L2 B2 L2 B2 U2 D R2 F2 D' F2,Y
2880713001,D F2 R' B2 L' F2 B' L B2 R' F2 B2 D B2 U2 B2 L2 U' F2,Y
151329001,B2 D2 B2 R2 D2 R2 D2 B U2 R D' U' F2 D' B' F' L F' L' B2,Y
156825001,B2 D2 L2 U L2 B2 D L2 D2 R2 F R' D U' L' R2 D' B R' F2 D L' F',Y
161723001,F D2 B' D2 L2 B2 F' R2 F2 U' B' L B2 D U2 B2 L' F D2 B' L2 U2,Y
5200675001,F2 L U' L' D' B2 L' F2 L2 B2 U2 F2 D' B2 U B2 D' B' L',Y
5556383001,F2 U2 R2 F' D2 F2 R2 F U2 L2 U' F D L' R2 D2 B R2 D',Y
5227613001,L D L' F D2 L2 B L2 F R2 B2 U' B' L2 B L' F2 D2,Y
200993001,F U2 F' L2 D2 U2 R2 F2 D' L' U' F' U F D' B D U L',Y
2720140001,R' U' L F2 U' L2 F2 R' B' R2 F' U2 R2 B R2 F2 L2 D B',Y
2367697001,F2 D2 R2 B' U2 L2 D2 B2 L' U2 R2 F U' F2 U F L' F R2,Y
259749001,U2 L R2 F2 L' B2 D2 L2 D F2 R F2 D R' F2 R2 F L' B2,Y
5200112001,U R L' B' U' B' R' U2 L' F2 B' U2 L2 F' B2 R2 L' D2,Y
2954898001,F2 D F2 B U' R F L D2 L2 U2 R' F2 U2 B2 R' F' D L',Y
283178001,F' B R' B2 D2 F L U' B2 L B' D2 L2 F2 R2 U L2 B2 U',Y
306762001,B2 R2 U2 F' L2 D2 B2 U2 B D' L' D2 U B F D R2 U2 B' L2,Y
317869001,L2 B F2 L2 F2 R2 D2 L D F2 L2 B L2 B' D R2 D2 U',Y
340362001,B2 U2 F2 L2 F D2 R2 F2 U' R2 U' F R' U' L' D2 U L,Y
347319001,B2 U' L2 R2 U' L2 D2 L2 F' U R' F2 U2 R2 D L' D B' L,Y
5266133001,D F' L2 R2 F2 D2 B R2 D2 R' B2 R' U F' D B' R2 U' B,Y
356767001,D2 R2 F D2 F' D2 L2 B F' U' B' F D' L' U2 B' F D U,Y
4515097001,D L D2 R2 D2 U2 L' D' B2 L' B2 U2 L2 U B L B',Y
3857201001,F R2 D2 L2 B' L2 B L' D' B R F L' R F2 D' L' R',Y
4836286001,B D F2 D R2 F' U' D' B' D2 L2 F D2 B L2 F2 L',Y
384169001,U F2 U' F2 R2 U' L2 B2 U2 B L' B' L2 D R F2 R U' F' R,Y
390925001,R D B' L' U' R U F2 L F2 B' L D2 L F2 U2 D2 R L2,Y
4877507001,D2 F2 D2 B' L F U2 B' R2 D F' R2 B U2 B2 D2 F D2,Y
412758001,U2 B2 D R2 B2 U F2 L R F2 R U B F' L B' D F2 U2,Y
2743549001,U' F U' B' D2 R' U2 R F2 B' R2 B R2 U2 F' U F D2,Y
427203001,R2 D' B' D R' U' R' L U B' L B2 R2 L2 U L2 F2 D F2,Y
430516001,R' U2 R2 B2 L B2 L' D2 B2 R U F' U' R' U' L2 D2 B D2 R' D,Y
435581001,F2 D' F2 L' F2 D' R D L D' B' U2 L2 U2 B U2 L2 B2 L2,Y
451192001,R F B D F' U2 B' U' L' D' B' L2 U2 D2 B L2 F R2 L2,Y
3777132034,U2 B' D' F2 L2 F2 R2 D R2 U2 F2 L2 B D' R2 U2 F2 L D' U2 L2,Y
3410969001,U B D2 L2 D2 L2 U2 L' U2 B' D2 R2 U L R D L2,Y
