# Scramble samples — pseudo_f2leo / pseudo_f2leo_xcross / O / bin 9
# Population in this bin: 310
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-09
# Columns: id,scramble,bottom_color

5035001,F2 D2 F2 U2 L U2 B2 R' U2 L' F U' B' L' D' L2 F' R2 U' R',O
16291001,R2 U' R' B' L U2 B' U D F B2 R2 L2 U' B2 L2 B2 L2 U',O
5002057001,U2 D' F' B R' D' F U D' B' L D' F2 D2 F2 R2 D' L2,O
23177001,R' U' B R2 D' F' R' B' U L B' D2 B R2 L2 F D2 L2 U2 F' D2,O
53221001,D F2 D2 B2 L2 D F2 L2 R' F' D2 B L' F2 D U2 B' U2 B2,O
4615173001,L' U' L B2 F2 L2 B2 D2 L' D2 F2 R D F' U' B' L U2 B' L2,O
64417001,L2 D2 L2 D' B2 D2 R2 U' F2 U B' F' L' R2 U' R B L' D' R,O
67359001,L2 R2 D2 F R2 B U2 R2 F L' U' R B D B' D2 F' U' F L',O
92134001,F' U' D' L D2 R' U2 R' F' B U' F2 R L2 F2 L F2 B2 L2,O
3962303001,F' L B' L' D2 U2 F2 L B2 D2 R D' R2 U B' L2 F D' R,O
117082001,L2 B2 D2 U2 R2 B2 D' B2 U' L' B R' B2 U F L2 U2 R U2 F,O
119901001,R2 U2 B2 R2 U B2 U2 R2 U' L2 B' L U' F' D' F L2 R' F L' D2,O
3818055001,B' L2 B R' B' L U2 D' L' U' F2 L2 U2 B' U2 B U2 F R,O
126549001,D2 B U2 B L2 F R2 F' D2 L2 F U' F D' U2 B2 R D B' F,O
127836001,D' F2 R2 F2 D B2 D B2 F2 R F' R' D2 B L D F U' R,O
132048001,D B' U' F B2 R2 L' B2 R' U' L2 D2 L2 B D2 F D2 L2 F' B2 U2,O
136449001,U' R' L2 F B' R2 L' D L2 U' F D2 R2 D2 F2 L2 F2 B' U2 D2 F,O
150904001,D2 R2 F U2 B2 U2 F' U2 F2 R U' B' L' R' D' F' U2 B U' F2,O
187970001,B2 D2 L2 U2 R2 B' U2 F' R2 D2 B' D' U B D' B' L B D' U2,O
