# Scramble samples — pseudo_f2leo / pseudo_f2leo_xcross / R / bin 9
# Population in this bin: 361
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-06
# Columns: id,scramble,bottom_color

4310084009,R' U2 F' R' F' D2 R2 F L2 F R2 L' D U L' B F' U' L' F',R
50529001,U B' U2 B' U2 F D2 R L B U R2 U' R2 F2 D2 L2 U B2 L2 D,R
51088001,U R' U2 D' L F' U B' D' B U' F2 B D2 F2 R2 U2 L2 F2,R
4423962001,R' U' F U' F D' R D2 U2 L2 F' R2 F2 D2 L' F' D' F' R B' F2 R' U' F,R
5460563001,F' R2 F2 U' D' R F U D2 B' R L2 U B2 R2 U' L2 B2,R
65704001,D' F2 R2 B2 D2 L2 D' L R' D F D' B R B D' U2 R U2 L B,R
4696240001,B D2 F2 L2 U' B2 U2 L2 U' B2 F2 U R' D' L' F U2 B' R D',R
80077001,U2 R2 U' B2 R2 F2 R2 U L2 R2 B' R F D2 U' L' B' R' B R2,R
82460001,R2 D2 B2 U L2 R2 D' U2 B F2 R' F U L B2 D B' R D2 U2,R
4159131001,L D2 R U' R F R D L F2 B R2 B' D2 L2 D2 F R2 B',R
3514379001,F2 U2 B2 L2 D L2 F2 U' L2 U L' D L2 U2 R' F D' L' B',R
155112001,U' B U2 L2 U2 D R F U2 L' B' R2 B2 L2 F2 D F2 U' R2 D2,R
165898001,F2 U2 B2 D L2 B2 L2 B' U L R2 D R F D B' D2 B2,R
186512001,L' D' F' U' F' D' L B R F L' F2 U R2 F2 D2 F2 R2 D2 F2,R
5000950001,U2 F' D L' B' U B' R2 B2 U2 D2 L' B2 L U2 L U R' F',R
3586845001,U' F U2 D F2 L B2 R B L2 D2 B2 D2 L F2 L2 U2 F2 D',R
207621001,D B2 D2 B2 U' R2 U F D U2 F' L D' R2 B' R' D U B' L,R
212003001,L2 U R2 D2 B2 D U' F2 L' F U R F U2 B' D F R' F2 U,R
215402001,B2 U2 L U F2 R' B' L2 U L' D F U2 F U2 R2 F' L2 F' B,R
4243437001,R D2 L' D2 R' D2 B2 R D2 U L D2 B2 F D R' B F' L,R
3655806001,U' L' B2 D2 L2 F2 D2 F2 U2 B' U2 L F D L2 F' L B L',R
3811126001,D F R' D2 F2 R2 U B2 F2 L2 B2 F2 D B' R U' F R' F2 R F,R
260383001,F2 U' F2 U2 B2 D F2 R2 D B L2 F2 U2 L D' R U B' D' R',R
