# Scramble samples — pseudo_f2leo / pseudo_f2leo_xxcross / BGORWY / bin 4
# Population in this bin: 453
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-03
# Columns: id,scramble,bottom_color

5023707001,U2 B U2 L' D' L2 U2 B2 U' R2 U' F R B' D F' D2 F2 L' F',B
2072365001,F2 U L2 D' L2 D2 L D B D' U2 R D2 R' D' U F2,W
21726001,L F2 R B2 L U2 F2 R B2 R' U' B2 D F D F' L' R' D,Y
4100549001,F' R F2 R' F U L' B D L2 B D2 F B2 U2 B' R,B
32691001,F2 R2 B' U2 R2 F' D2 L2 D2 R2 U' F' R U2 B' D' F' U2 B F2 R2 B R2,R
40662001,F2 D L2 D' L2 U2 R2 B2 U' B' F2 D' U2 R D2 R' D' L' U2,G
46907001,R' B' L F2 U' L U F U2 D2 B' R2 B2 D2 R' B2,W
3594698001,R2 B L2 B2 R2 U2 F L2 F' R B L2 B2 L2 B L' U2,R
2306282001,D' F2 L2 D2 L2 D2 B' L2 F' R2 D2 U2 R' U2 R U' L2 B L2 D,B
3698392001,U2 D B2 U2 L B' D2 B' D B R2 D' B2 L2 F2 R2 L,W
2334045001,D2 B2 D' R2 F2 U F2 R F2 L U2 R F' D2 L2 R2 D' F,R
4159870001,U2 L2 B L2 F' D2 B2 F U R F L' F' R2 F L' D',W
102115001,R' B2 R' B2 D2 R2 B2 L2 U B' F' L B2 U' L D2 R2 U' R,W
102172001,U L B2 R B U' B R L' U' F' L' U2 R2 B2 U2 B2 L,G
102864001,U2 F2 D L2 B2 U R2 U' F' R' D F2 R2 F2 U' R D' U2 F2,B
109961001,R U2 B' R' U' D2 F' U' L2 B D L2 F2 D L2 D2 F2 L2 D L2,Y
115872001,R D L' D L2 D L2 D R' B R2 L' F2 U2 F2 U2 R U2 L D2,R
119599001,R2 F2 B L' D' B' L' U2 D R' U F' L2 U2 L2 U2 F L2,R
132039001,R' L' D' R2 B L B' R' B D' F2 D2 L' B2 L2 F2 U2 R' L,G
4333800001,U2 L' D2 L2 D2 B2 R' D2 L' D R F' U2 F' D F2 D R',G
2833241001,L F L2 U' D2 L U2 B2 F2 L D2 F' L2 U2 L R2 U' F2,G
5374185001,R' U' F R2 B R2 U2 B R2 F D' B2 R' U L' F' R D' R B U2 R' U' F,O
2312002001,F2 L2 U2 B D2 R2 U2 F' L2 R D' L2 U' F2 U L' F',O
157951001,U2 B2 L' R2 D2 L B2 D2 F' D2 U' B2 R' U2 B2 R' D',B
161723001,F D2 B' D2 L2 B2 F' R2 F2 U' B' L B2 D U2 B2 L' F D2 B' L2 U2,Y
2625760001,R' L2 U' L2 U' B2 R2 U2 F2 D2 U' F2 L' B' R' F D2 F2 R U L,O
180945001,D2 F' D' B U2 R' U2 R' U2 B2 L F' L2 F2 U2 L2 U2 F',B
181452001,U2 L2 F' R2 U2 R2 D2 R2 B' R U' L2 R2 F' D2 L2 B F' L',B
2650798034,D2 B D2 U2 R2 B D2 F L2 D2 R2 D' B2 L D R2 B' U' F' L2 U,R
5223412001,U' F2 D' R2 F R2 F' B' D' R B R2 F' R2 D2 R2 B2 D2,W
4805780038,B2 F2 U L2 U' R2 F R' F U' F L2 D F' D2 U L' R B,G
3451814001,L B' U R' B' R U' F L2 B' L2 B2 U2 B2 U2 B' L F,G
4852248001,U F2 L' U2 L2 R2 B2 L' F' D L2 D F L D B2 L,R
213003001,R' F2 L2 R D2 B2 R2 B2 R' B2 F D' L B' U2 R' B' L' B L2,B
4344514001,D' B' F' R2 D2 F' R2 U2 B2 D L' R D2 L D B' D' B',W
4858242001,B R2 D' B2 R2 U L2 U' F2 L2 R B2 L2 B2 U B2 L' U,B
252404001,U R2 D' B2 D U F D B' L2 R2 D F U' B2 F L' U,G
254439001,F2 D' R F R' U2 L2 F' B' U F U' F2 U F2 B2 D2 B2,R
4529562001,B2 U' L' U L U2 L2 U B L2 B R2 L2 F' R2 U2 L',R
5423340001,L U R U2 F2 U2 F R2 F R' U L2 B D R2 B2 R',O
273599001,F L2 U2 D' B' D F' L' F' D F R2 B' U2 R2 F' D2 L2 B',O
277319001,B2 D R2 U B2 D' F' L D' F' D F' L D F R F,G
3017221001,U2 L2 B D' F2 R F2 D' L' U2 L2 U2 F' L2 F B2 U2 D' L,B
288952001,U2 B2 R U2 L B2 U' F' U' B R' U2 L2 U2 L U2 B2 L' D2,O
4724510001,U' L' B2 U2 L' R2 B2 L' F2 D' L' R2 F2 D F L' R F,Y
298157001,D2 R' U2 L' D2 L' B2 U2 R U' R2 F2 D' R' D F' L' D',W
