# Scramble samples — pseudo_f2leo / pseudo_f2leo_xxcross / G / bin 5
# Population in this bin: 911
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-09
# Columns: id,scramble,bottom_color,competition,round

2622391001,U2 B U2 F R B2 R2 B U' F2 D' F2 U2 L2 F2 L U2 R U2,G,Abierto de Pascuas 2023,333 R1 A #4
1802970041,B2 U F2 R U2 B2 R2 U R2 D2 U' L2 B' U' B2 U2 B D R' D,G,Dragon Side Open 2022,333mbf Final A #1
1914258001,L2 B2 L2 F' U' B2 L F U2 F B2 L' F2 U2 L' F2 R' U2 F2,G,R&Cubers La Paz 2022,333 R1 A #5
3142148001,U R2 D' F2 U' F2 D' L' B2 D2 F D F' L' U2 L' F2 L',G,T-Town Showdown 2023,333 R1 A E2
2310476001,D2 F2 B L2 B U L U2 L B' L D2 F2 R2 U R2 B2 D,G,KAIST Fall 2022,333oh Final A #1
4459332008,D' L' D' L2 B' D L D' L2 F' R L F2 L D2 R' D2 F2 L2 U2,G,Wellington Mind Games 2025,333mbf Final A #1
31086001,L D' F2 B' D R U L2 D R U2 R D2 R F2 R' D2 R' L2,G,Pune Fall Open 2014,333oh Final A E1
1545002054,F' U2 B2 L2 R2 B D2 L2 U2 L2 D L2 F2 R' D' F' L D2 R F L2 U,G,IIT Roorkee Open 2020,333mbf Final A #1
5023994001,D' L' D2 R D' R' F U' L2 D L2 U L2 U' R U2 L U2,G,We Laugh Pohanghang 2025,333oh Final A #5
5047544001,D B' U2 B L2 D2 L2 U2 B2 L2 D F U L' D F' D B2 D',G,Ephrata Fall 2025,333 R1 B #4
4432607001,R2 L2 F2 U2 L F' R' F B2 L B2 D2 L2 D2 L F' L,G,Jisk'a Cubing 2025,333 R1 E E2
4610137001,R2 B2 R' B2 D2 R2 F' U F' U L F U2 F2 L R' U,G,Quezon City Cubing Sides 2025,333oh Final B E1
941177001,B L' B R2 L' F B R B2 R2 D' R2 B2 D2 R2 D' L2 B2,G,Fuzhou Open 2018,333 R1 B #1
65088001,U2 B R2 B L2 B D2 B2 L2 R' U' F U2 L2 D' F U R' D U L2 U2,G,SwissScience Open 2014,333bf Final A E2
4850862001,B' U2 R' B' U2 F2 R2 U2 F' L2 F L2 D' L2 U2 L' D F' R2,G,Rubik's WCA World Championship 2025,333oh R1 L #3
4529899001,B' R2 D L2 R2 U' B2 R2 F2 D2 B2 R U' R2 B R' F R D',G,Cubing at Iowa State 2025,333 R2 A #3
5468208001,L F2 D2 B2 F' L2 F2 L2 U2 F' U' B2 F' R' D R2 F' D L',G,Seoul Spring 2026,333 R1 F #3
2085994001,B2 U F' U L2 D R2 B2 D R2 D F' L' R2 U' B2 R U2 R,G,Pueblo Puzzling 2022,333oh Final C E1
5606086001,L' B2 D2 B U' D F' D' R2 L D R2 B L2 B' L2 F',G,Speedcubing Huánuco 2026,333 R2 C #2
2314475001,F' L' F2 R' F2 B' R2 F' B' D R2 L2 B2 D L2 D F2,G,Iowa Fall 2022,333 R1 C #1
951223001,L2 U' F2 D' R2 F2 U2 R2 U' B' D R' B D2 B D U2 B2 L2 U2 B' L2,G,GLS Cup Final 2018,333bf R1 A #2
4930409001,R' F U2 F R B R' L2 B U2 R2 B2 U2 D F2 D' F',G,Cube Camp in Suan Phueng 2025,333oh Final A E1
3583628001,R' D' F2 U2 F2 B L B2 U2 R' D B2 D2 U B',G,Spring Madness Colorado 2024,333 R1 B #3
2324923001,U' B' D L2 D L2 U R2 F2 R2 L' B R B D' L2 R' B2 U2,G,Keep Portland Weird 2022,333 R1 B E2
149376001,L' D' R' F2 U2 L U B' R L F2 D2 L2 F' R2 U2 B' R2 U2 F',G,Velbert Open 2015,333oh R1 A #3
149396001,D' U L2 U2 R2 U F2 L D' L B F R2 D U L2 D F U',G,Velbert Open 2015,333oh R2 B #2
3979494001,B U2 L F' D2 B2 L2 B' F2 L' B L U2 F U' L2 U' B' L,G,Side N Blind Narre Warren 2024,333bf R1 B #1
152467001,D' U2 R2 D' U2 B2 L2 F2 R2 D F' L2 U' B' R' F L2 R' U R2,G,Indiana 2015,333 R1 E #5
167964001,L' B2 L B2 D2 B2 R2 D2 R F L' R' F2 U2 F D F2 L' U' F2,G,Huizhou Open 2015,333oh Final A #1
876743001,U F2 L2 F2 D2 F2 U' F' R' D L' U F R2 F' L D' B' U2 L B2,G,Italian Open 2018,333bf Final A E1
3368711001,F2 D2 R U2 R' B2 L D2 F2 L D L2 R' F' U' B2 D2 F' U2 L,G,Avenida Chile VI Four Rounds 2023,333 R2 B E2
2935303001,F U B U L D2 R D' L2 D F L2 B D2 B2 D2 B U2,G,UFBA II 2023,333oh Final A #5
882601001,D2 F2 D2 U2 R2 B U2 L2 R' F' D R' B2 R2 U2 B D U',G,LLS VII Final 2018,333oh R2 B #1
4805026001,F' D' F L2 D F D' F2 D' F R' U2 B2 R U2 D2 R' L',G,CubingUSA Southeast Championship 2025,333oh R2 B E2
5433702001,R2 B U2 B D2 L2 F D2 B' D' B' L2 U2 L D' U B R D',G,Classic Cubing Capelle 2026,333 Final B #2
213752001,B' L2 D2 F L U F2 B2 D F2 B R' U2 R' D2 R2 B2 R' L2,G,Cebu Open 2015,333 R1 A #3
811629001,U B2 R' B' R' U L2 F' D B' R2 U2 D2 L' U2 L B2 U2 R,G,Veenendaal Open 2018,333oh R1 B E2
4991649025,F2 U' F2 D2 U' B2 D R2 B2 F D' B2 L' D' U L2 B2 D L',G,West Coast Cubing Western Championship 2025,333mbf Final A #1
223507001,F L D' F B L' F' D' R' B2 R2 F2 D2 L' F2 L' D2 F2 L',G,Florida Feast 2015,333oh Final A E2
3243093017,B L' U2 L B2 F2 R' U2 R F R' D2 F U L' F' D' F R B' L,G,CubingUSA Rocky Mountain Championship 2023,333mbf Final B #1
4160830001,R2 U2 L' U2 L' D2 F2 R2 D2 R' U F U' F L2 R2 D2 R2,G,Shin Kong Cube Open - New Taipei 2024,333 R1 Q #4
227688001,R2 D' L2 D2 B2 D' U2 B2 F U B' D B L2 B D2 F R',G,Swedish Championship 2015,333 R2 B #2
5179186001,U2 L' F U2 B2 L D2 L2 U' L' B U2 F2 U' R2 U L2 F2,G,Pyraminx in Pewaukee 2025,333 R1 D E1
3730357025,U2 F' R2 F' R2 F D R2 D F R2 F U' L' R2 D2 F',G,Big & Blind & Clock Vantaa 2024,333mbf Final A #1
1892520026,R' U R D' L2 U B' D2 F' B2 U2 B2 R2 U R2 L2 F2 B' L2 U2,G,Skjetten Mental Breakdown 2022,333mbf Final A #2
3767081001,B' L' U L' D L' B D' R2 D2 F2 R2 B2 U' L2 B2 D2 B2,G,Quito Free 2024,333 R1 A E2
2914062001,L U R B R F2 L' U2 B' R' B2 L' U2 R2 L' F2 L2 B2 U2,G,Capitanejo 2023,333 R1 B #5
4284942001,F D L D' R F D' R2 B L U2 B' U2 L2 F2 D2 R2 D2 L2,G,Cube4fun Bełżyce Autumn 2024,333oh R1 A E1
4749101001,U' R2 B' F2 R2 F' U2 B U' L' U' R2 U' L F' D2 L D,G,Daejeon Spring 2025,333 R1 B #2
