# Scramble samples — pseudo_f2leo / pseudo_f2leo_xxcross / OR / bin 10
# Population in this bin: 630
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-18
# Columns: id,scramble,bottom_color,competition,round

1734001,B' L2 F' R2 B' D2 F L2 R2 D' B F2 D' F U' B2 R F2 L' B',O,Kansai Open 2014 (2014-03-21~22),333 R2 B E1
2321001,L2 F2 U' L2 D' B2 D L2 U R D2 F2 R2 U' F U B' L D2 U,O,IIT Roorkee Open 2014 (2014-03-21),333oh Final D #2
8967001,B2 U2 R2 B2 D' U2 L2 D B D2 L U' R D B' D L2 B U F',O,BP Cube Day 2014 (2014-04-05),333oh Final C E2
5377766001,L U' R D R' U2 F2 U2 L' F2 R B' U F R U' B2 L',O,Berkeley February Weekday 2026 (2026-02-06),333 R1 A #3
3987907036,F2 U F B' R' L' U R2 B U2 B' L2 B' U2 B2 U F U' L B' L2,O,CubingUSA Southern Championship 2024 (2024-08-02~04),333mbf Final A #1
5178348001,F U' B' U' B2 D' R2 F2 L2 U2 L2 U' R2 L' F' U' B R F' D2,O,Tramsheds VII: Spring Sunday 2025 (2025-11-09),333 R1 E #1
4626887021,R B2 L2 D2 F' U2 F2 R2 U2 R U2 B2 R' F D B U2 L U F D',O,New York Multimate PBQ 2025 (2025-04-04~06),333mbf Final B #1
2672652001,L' U' R' D B2 L F' U B L U L2 D B2 D2 F2 R2 F2 D,O,Autotalo Small Cubes 2023 (2023-04-30),333oh R1 A #3
65301001,L' F' R' D B' U F2 D2 R' B' R' U2 L' F2 U2 D2 R2 L' B2 D2 R2,O,Cubing ATMOSphere 2014 (2014-10-11~12),333 R1 E #4
3089004001,B' R' F B2 R U' L' D' R2 B2 D2 B' D2 F U2 F2 U2 B D,O,Avenida Chile III 2023 (2023-09-17),333 R1 F #3
3907323001,F B' U' L2 F R' B' R2 F2 U2 F2 U L2 F2 R2 B2 U' L' F2 R,O,Los Fuertes Puebla 2024 (2024-06-29~30),333 R1 A #4
3133202001,B' L' D2 B2 L2 D2 L2 D2 F2 R2 F2 U' B D L' R U' B' L,O,Primavera Paceña 2023 (2023-09-30),333 R1 G #3
3602939001,F2 L F D2 B2 D' B' U' B2 R' U R2 B2 R2 U2 D L2 F2 D B2 D',O,Turnin' Offaly Fast 2024 (2024-03-16~17),333 R1 B E1
5602377001,U F2 R2 U' L2 U2 F2 R U2 B F2 R2 F' U R D2 R2 D U2,O,Makati Speedcubing Open VII 2026 (2026-05-02),333 R2 A #3
5607860001,D L' B' R B F2 D2 L2 F2 U2 F' R2 D' R2 D' L2 R' F L2,O,Spring Breeze in Burnaby 2026 (2026-05-03),333 R1 C E2
107786001,F B2 L D' B2 R B' L' U B R U' F2 U F2 D B2,O,Copa Rubik Sigi 2015 (2015-01-31),333 Final A #3
114511001,B2 L' F U2 L' U' F2 D' R L B L2 U R2 F2 D2 B2 U F2 U',O,Montgròs Open 2015 (2015-02-28~03-01),333oh R1 B E2
3545832055,U' F2 D2 L' D2 F2 L F2 L F2 D' B U' B2 R U' B2 L' U F L2 U',O,Please Be Quiet Taiwan 2024 (2024-02-24~25),333mbf Final A #1
131809001,U R2 B2 F2 D B2 U' F2 L2 D2 F2 L' B' F' U' L D B' U2 F2 R',O,SPCS Stanford Spring 2015 (2015-04-19),333 R2 A #1
5431176001,R' D2 L2 D B2 D2 F2 U' R2 B L D' F' R2 F R' F D' R2 F',O,Głuszyca Open 2026 (2026-03-07~08),333 R2 C E2
140541001,B2 D2 B2 R2 U' R2 B2 D' L2 U2 R' U' B' L' D2 B2 L2 B D F,O,Serbian Open 2015 (2015-05-16~17),333oh R2 A #5
153848001,D2 B D' R2 U' R' B D2 B D F2 U2 L2 F' D2 R2,O,Pune Fall Open V2.0 2015 (2015-06-21),333 R1 C #2
173921001,D F2 L2 U' L2 D2 B2 D' L R U B' F2 R F' D' L2 D U L',O,Greece Open 2015 (2015-08-08),333 Final A E1
4554860001,R F U' F2 U2 B' F2 D2 R2 F2 R F R2 U' L2 B2 U L',O,Cyprus Cubing League I 2025 (2025-03-08),333oh Final A #4
3860572001,F2 D2 R' U' B R' D L' B F2 L' D2 L' B2 R2 U2 L' B2,O,Blenkir Wanka Cube 2024 (2024-06-08~09),333 R1 J #2
3510667001,R2 F2 L2 U2 R B2 U2 L' U2 F' D' B U L' F D B2 D2 B2,O,Vienna Fasching 2024 (2024-02-10~11),333 R1 B #1
190173001,D2 U2 R2 B2 U2 F U2 B' D2 F2 D' B2 L F D2 B2 U' L' F D' B2,O,Milan Cube Days 2015 (2015-09-19~20),333 R1 A #3
