# Scramble samples — pseudo_pair / pseudo_xxxcross_pseudo_pair / B / bin 7
# Population in this bin: 130
# Samples listed: 130 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-24
# Columns: id,scramble,bottom_color,competition,round

38031001,B' R2 L' D2 B D' L' B' L D F2 U L2 D F2 D' F2 L2 B2,B,Dixon Summer 2014 (2014-07-19),333 R1 B #5
39019001,U2 L F2 L R' F2 R2 B' R2 U L' F U F' L2 B2 D F',B,Croatian Open 2014 (2014-07-19~20),333 R2 A #3
56089001,F D B' L B' L D' F D' R' B2 D2 L2 B2 L2 B2 U' L2 U R2,B,TCG Lima 2014 (2014-09-06~07),333 R1 A #1
58172001,U2 B2 D F' L2 D' L B D R' D2 R2 B2 U2 R' F2 U2 R' U2 L2,B,Champagne Summer Open 2014 (2014-09-13~14),333 R1 D #2
80188001,F2 D2 B2 R' B U2 R' D' L F' D F2 R2 B' U2 B U2,B,Brain Studio Cube Open 2014 (2014-11-15~16),333 Final A #5
120412001,L2 F2 L' D2 F R' L D2 R B D' F2 U R2 D2 F2 U R2 D2,B,Vrn Spring 2015 (2015-03-21~22),333 R1 A E2
149115001,R L D2 F' R L' D' F R F' D R2 B' U2 B2 R2 B' L2,B,Foon Yew Open 2015 (2015-06-07),333 R1 A #5
153737001,D B2 R' U' R' F R2 B L2 B R2 U L2 U F2 U2 R2 U L2,B,Pune Fall Open V2.0 2015 (2015-06-21),333oh Final C #3
245477001,B2 R D2 L' R' B2 R' U' R F' U2 R D2 R D2 R2 F2 U2 L2 U,B,Shaastra Cube Open 2016 (2016-01-23~24),333bf Final D #1
258551001,L U' L' B U2 L' D R' F' R' B' U2 L2 F2 U D L2 D2 B2 L2,B,Caltech Winter 2016 (2016-02-20),333oh R1 B #4
272935001,U2 B2 R2 U L2 R2 U F2 L2 U B R' D B' L D R D' F2 R' B R',B,Indian Nationals 2016 (2016-03-25~27),333bf R1 G E2
281128001,F2 L' U2 B2 U2 B2 R2 D2 U L B' L' F2 U L2 D' U' F',B,Newport Spring 2016 (2016-03-26),333 R2 B #1
289819001,D' B2 D' R2 F2 U2 B2 D' B' L B U2 R F L U L' B' R2,B,Alpharetta Open 2016 (2016-04-23),333 R2 D #1
317831001,D2 F2 U2 R' F2 D2 L' R2 B L2 R D2 L' D2 U B' D2 B2,B,Slow N Steady Spring 2016 (2016-06-18~19),333oh R1 C E1
342429001,U2 R2 B2 R2 F U2 B2 D L2 B' U2 R' U2 R F' U2 B2 U',B,SSN Cube Open 2016 (2016-08-05~06),333 R1 F #2
