# Scramble samples — pseudo_pair / pseudo_xxxcross_pseudo_pair / WY / bin 7
# Population in this bin: 229
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-24
# Columns: id,scramble,bottom_color,competition,round

1993001,F' D' F2 R2 U F R F2 D R' D' F2 D2 F R2 F2 R2 L2,Y,Zonhoven Open 2014 (2014-03-22~23),333 R1 A #1
46950001,U2 F2 D2 B2 U L2 D R F L F' D F L' D2 L' B2 F,W,Brasileiro Etapa de Inverno 2014 (2014-07-25~27),333oh R1 B #1
48058001,U D F2 U R2 L F' D L B' R D F2 B2 U' L2 F2 R2 D' L2 D2,Y,Rubik's Cube European Championships 2014 (2014-08-08~10),333oh R1 B #2
97800001,U' F2 D' L2 U2 L2 R2 U' R2 D' B' D' R F L U B2 U2 R B D',W,Shaastra Cube Open 2015 (2015-01-03~04),333oh R1 I #2
132162001,D R' B2 D B' L2 F U' L D2 R' F2 U2 L2 F2 R B2 R',Y,Clásico 2015 (2015-04-04~05),333 R2 B #3
142747001,L' B2 R U2 F2 L' F2 U2 R2 F L R2 B2 D' R U' R2 B2 F' L',Y,Brasov Rubik's Open 2015 (2015-05-24),333 R1 B #1
188618001,D2 B' R L' D B L2 U2 F' U2 L2 F2 U F2 U2 L2,W,TransmiCube Open 2015 (2015-09-12),333 R1 A E2
197605001,B2 U2 B2 D2 F2 R2 U' B2 U' R U' R U R2 F2 U2 F' D' L,Y,Israel Championship 2015 (2015-09-29~30),333 R1 A #2
208040001,D R2 D' U' F2 R2 D L' D B' L R F' U2 L D' B' R',W,Ural Autumn 2015 (2015-10-24~25),333 R2 A #5
218668001,B2 F2 R F2 L' D2 F2 U' F D' L2 B' D2 B' F U B D2,Y,Clash Of Cubers Davao 2015 (2015-11-15),333oh Final A E3
227905001,D2 L2 D2 L' F2 D2 F2 L D2 B2 D' B D L U L' B2 L' U,Y,MIT Fall 2015 (2015-12-12),333 R1 D #5
278263001,B2 U2 R' U R B R B R' D' L F2 D2 B2 D B2 D R2 D',Y,Los Lagos Open 2016 (2016-04-02~03),333oh Final A #2
328264001,D2 U2 F2 D2 R2 F' R2 F2 U R2 B' D2 L2 B L' U B2 U2,W,Hefei Open 2016 (2016-07-15~17),333 R2 B #3
386368001,U' F U2 D R' B L U R' F' B2 R2 D2 F2 R U2 L' D2 R,Y,Hayward Rubik's Rumble 2016 (2016-10-22),333oh R1 G #4
392077001,U2 B2 F' R2 F2 L2 F' D2 F' D' U' F U' L2 D B D' R2,W,Marietta Mystery 2016 (2016-11-05),333ft R1 A E1
402731001,B D2 U2 R2 U2 B R2 U2 B L B' L B2 R' F' L2 F L',W,TJHSST Fall 2016 (2016-11-19),333 R1 D #3
437885001,U2 F' D R2 D B2 L' F D B U2 D' B2 L2 F2 B2 U2 D F2 B2,Y,Rockville Winter 2017 (2017-01-14),333 R1 B #5
448341001,F D2 B' D2 R2 F' R2 D2 L' B' R B D2 L D2 F2 D' R,Y,Altasierra 2017 (2017-02-18),333oh Final B #4
527625001,D F2 D B2 U L2 D' U F' L R B2 R D R B F D' L,W,Midcoast Cubing 2017 (2017-06-10),333 R1 C #1
538439001,R2 B2 D2 R2 D2 R2 D' B R' D' B D B' F' R2 F D2 R,W,National Cubing Region Open 2017 (2017-06-23~25),333 R1 I #2
541574001,L2 U L2 U L2 F2 U2 B' L' B2 L2 F2 D U' F' D R F2 D' B R2,W,Hillcrest Cubing 2017 (2017-07-01),333bf Final A E2
542645001,U' B2 U B2 R2 F2 U2 L2 R2 D' B' L F' L' R2 F L2 F L2,W,Eger Open 2017 (2017-07-01~02),333 R1 B #2
