# Scramble samples — pseudo_pair / pseudo_xxxcross_pseudo_pair / Y / bin 13
# Population in this bin: 219
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-24
# Columns: id,scramble,bottom_color,competition,round

31996001,F' B' U F2 U2 F' U2 D R F L2 B2 R' L' D2 L' B2 L F2 B2 L,Y,ULA Rubiks 2014 (2014-06-27~28),333 R2 B #5
39648001,F R2 D2 L2 F2 U2 B' R2 D2 R2 F D L R2 D' U' B L' R F U2 B R2,Y,Les Santes Open 2014 (2014-07-18~19),333bf Final A #1
41186001,D' B' L2 B' R' U' L2 F L B2 R U' D R2 B2 U2 B2 U' B2 R2,Y,Lifestyle Seasons Winter 2014 (2014-08-02),333 Final A #1
62117001,F2 R2 U2 F2 R F2 L' D2 R2 D2 F' L2 D L2 B' L' D2 U L2 U',Y,Sébra Open 2014 (2014-10-04~05),333ft R1 A #2
109712001,B' D2 B2 F' U2 B2 R2 F2 R F2 U' R' B2 R F2 D' B' D U',Y,Ignus Open 2015 (2015-02-22),333 R1 F E1
124901001,D2 B' U2 F2 D2 R2 B L2 B' L2 B R B' D' U F' D R D F D2 L B2,Y,Mariano Melgar 2015 (2015-04-11),333bf Final A E2
129537001,D2 L2 U2 B2 R2 F2 U' R2 D L2 B R' B2 L R' B R F D' U,Y,REC Cube Open 2015 (2015-03-21),333oh R1 D E2
133319001,R2 F2 D' L2 U2 B2 D F2 L2 B D' F' L U2 L' B D U R B2,Y,Toronto Open Spring 2015 (2015-04-25),333oh Final A E2
138279001,B L2 F' L2 B L2 U2 B D2 L2 B D F R2 U' F L' D2 R' F',Y,Show Off Quickness 2015 (2015-05-10),333 Final A E1
5627574032,D' R' F' U' D L' F B2 R F2 L B2 U2 R2 U2 R F2 R2 U2 F L',Y,3x3 in Madison 2026 (2026-05-08~10),333mbf Final A #1
143038001,R2 F' U' R' B' U F' U2 R2 F2 L F2 U R2 D R2 B2 D2 B2 D',Y,Brasilia Open 2015 (2015-05-22~24),333fm Final A #3
146375001,L2 F' R F U' B U F D R B2 U' R2 F2 B2 U' B2 U2 R2,Y,Indian Nationals 2015 (2015-05-29~31),333 R1 B #2
155798001,R F L2 U' B2 U' R' L' F U B R2 B2 U2 L2 U2 F U2 F2 U2 D2,Y,Tuks Winter 2015 (2015-06-27),333 R1 C #2
231577001,B L' D R' L2 F U2 B R' D R2 U F2 B2 D R2 D F2 D2 F2,Y,Lyon Christmas Open 2015 (2015-12-19~20),333 Final A #5
254237001,L2 R2 B R2 D2 F2 U2 B' R2 B R B L2 B' D' U' B' F' D' F L' F,Y,Valentine in Daegu 2016 (2016-02-13),333bf Final A #3
275684001,R' B' L D2 B' D F' B2 D R L2 U2 F L2 F L2 F2 B' L2 U2,Y,Republica Dominicana Spring 2016 (2016-03-26~27),333 R1 A #3
276946001,R2 L' U' B L' B2 D' L' F' R' F2 U2 R2 F2 D2 L' U2 R2 B2 D2,Y,Plentzia Open 2016 (2016-04-02~03),333 R2 A E2
290367001,B2 R' U2 B2 F2 U2 R' B2 U2 L2 D L2 F' U' B L' U' R F' U,Y,Taichung Cube Open 2016 (2016-05-01),333 R2 B #5
300346001,R2 D' F2 L2 U2 F2 U2 B2 F' D F2 L' B' L' D' L' R B' U B' L2,Y,2nd Guwahati Open 2016 (2016-05-21~22),333bf Final E #1
305117001,D L2 D R2 D L2 F2 D' L2 B2 F' U' R' B U L' D2 L2 D' F' D2 L B2,Y,IIA Summer Open 2016 (2016-05-29),333bf Final D E2
5620504001,U' L' F2 B' L D' F' R B' F2 L D2 F2 R2 D2 F2 R' F2 U' R2,Y,Welcome Back Hamilton 2026 (2026-05-09~10),333 R1 A #4
332374001,D' L2 U B2 D2 L2 U' L2 R2 D2 L B D R2 F L2 D' B2 R' D,Y,National Cubing Region Open 2016 (2016-07-23~24),333 R2 C #1
343339001,R' B2 U2 R2 U2 F2 D2 F2 R' F2 L' D R2 F' L' F' D' F' L D' U,Y,AZCubing Summer 2016 (2016-08-06),333 Final A #3
361081001,R' L2 D R2 B2 L2 U' B U2 D F D2 R L2 U2 D2 L D2 R',Y,Botosani Rubik Open 2016 (2016-09-10),333 R1 A E2
369127001,D' R2 B2 D' L2 B2 R2 D' F' D' L U' R D U' R' F' D F2,Y,Krivbass Open 2016 (2016-09-24~25),333oh Final A #3
401531001,B2 R2 D2 L2 D2 B' L2 R2 U2 F' L D R' B' D2 F U' B2 R B2,Y,Berkeley Fall 2016 (2016-11-19),333 R1 A #4
404212001,L2 R F2 R B2 F2 R D2 F' D R B D2 L' D U F2 R' D2 L' F2,Y,PSKubing 2016 (2016-11-26~27),333bf R1 A #1
5636063001,R B' F2 R2 D2 U2 B' F2 U2 L2 U' L D B' U' F' D2 U B2 R',Y,GLS Gdańsk IV 2026 (2026-05-16~17),333 R2 C #3
412333001,F' U2 B' L2 D2 L2 R2 B R D' L' B L2 D U' L' R' F' L2,Y,Mega Minnesota Winter 2016 (2016-12-10~11),333 R1 F #5
413996001,F U' F' U' L' F L' U2 R' U B' R U2 D2 B2 D2 R' F2 R',Y,Capivara 2016 (2016-12-10~11),333bf Final B #1
430257001,R2 U2 L2 F R2 D2 F' R2 U2 F2 U' L B2 F' D2 R2 U' B' L2,Y,Chișinău Winter 2017 (2017-01-08),333 R1 A #2
5243107001,B2 D2 R2 D2 F2 D2 U' L' U2 F' U R' D' B' L' U' L R',Y,Hungarian All-Rounder 12 2025 (2025-12-06),333oh Final B #2
465050001,D2 L2 F2 L2 D' F2 U2 B2 D' R2 B' D' F2 L R U' R2 B' L D',Y,College Station Qualifier 2017 (2017-03-11),333oh Final B #2
468810001,D' R2 F D' R U B D' F' R' F' R2 F2 L2 B2 U2 L2 F2 U2,Y,Cartagena UPCT Open 2017 (2017-03-18~19),333oh Final B #2
488607001,L' U B' D' F' U2 R' B' R' B' U B2 U2 B' D2 F U2 F' R2 U2,Y,Tallinn Open 2017 (2017-04-15),333oh Final A #5
506931001,L U2 L D2 F2 U2 F2 R2 B' R U2 L2 U' F' D F L2 F' R,Y,Santo Domingo Spring 2017 (2017-05-06~07),333oh Final A #2
523438001,D L2 D' L2 F2 L2 D' U2 B2 U' L' F' D' R' B L2 U L B2 L2 U2,Y,Nacionales de SpeedCubing 2017 (2017-05-27~29),333oh R1 B E2
523521001,U2 B2 L2 R2 U L2 F2 U2 F2 D U B L D U2 B U' F2 L D F',Y,Romanian Rubik Open 2017 (2017-05-27~28),333 Final A E1
533068001,D' F2 D F2 U' L2 F2 D2 F2 U' F' R2 D U R2 D' L R' U F,Y,Hudson Valley Spring 2017 (2017-06-10),333oh R1 B E2
542458001,D R2 U R2 B2 R2 D U2 R' B R D F2 L U2 F R D' F' U2,Y,No Stress Solving 2017 (2017-07-02),333 R1 E #4
