# Scramble samples — std / cross / R / bin 1
# Population in this bin: 108
# Samples listed: 108 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-07-14
# Columns: id,scramble,bottom_color,competition,round

13530001,F' R D' L D' B2 D2 R' F' U' R2 D2 F2 R B2 L2 F2 R',R,Naftusia Open 2014 (2014-04-12~13),333oh Final A #5
67182001,U F2 L2 B D2 R' F B2 U F2 B R' B2 R B2 D2,R,UPV Open 2014 (2014-10-18~19),333 R2 B #5
146624001,R' U2 R' D2 R2 B U2 L' U R' B2 L2 D' L2 D B2 U' F2,R,Indian Nationals 2015 (2015-05-29~31),333 R3 D E1
192864001,R B' D R2 D2 R' U2 B' L' D' F2 U2 R L2 F2 R D2 R U2 F2,R,Warsaw Cube Masters 2015 (2015-09-19~20),333oh R1 A E2
260638001,D' F' R' U F L2 F D' B R' F2 D2 F2 B2 R2 D2 B R2 L2 U2 B2,R,Big Apple Cube Clash 2016 (2016-02-27),333 R2 D #3
263833001,U B2 U B2 F2 R2 D2 U R2 U' L D2 U' R2 U R' B L2 U' B2,R,Indian Open Rubik's Cube 2016 (2016-03-04~06),333 R2 D #4
340057001,L2 D' R2 U R2 F2 R2 D' R2 B2 D R' D F' R' B2 F2 D L F,R,HCMC Summer Open 2016 (2016-07-30~31),333 Final A E1
352575001,F2 U B2 R2 D2 L2 R2 D' B2 L2 U' L' F2 U' R2 U' B' U2 L,R,Moldavian Nationals Summer 2016 (2016-08-20),333 Final A #3
365282001,B' L U2 F' R2 B D F' U F2 U' B2 U2 B2 D L2 D',R,VIT Rubik's Cube Challenge 2016 (2016-09-24~25),333oh R2 C #2
385724001,D2 F2 D' F2 U R2 D2 F2 R F2 R' B' R B' U2 R2 D L2 U,R,Amalthea SCMU Open 2016 (2016-10-23),333 R1 J #5
470747001,L2 D B2 U' B2 U' F2 D' R' B F D L D U2 F D U2 R F,R,Orange Tech 2017 (2017-03-18~19),333oh Final A #3
502541001,U' B' L' B R2 F L2 U L' F2 U' R2 U2 B2 L2 U' B2 D,R,Tlaxcala Open Clásico 2017 (2017-05-06~07),333oh R1 C #5
568877001,D R2 D2 B2 F2 D F2 D2 R2 B2 U F' R2 B U2 L B L2 U',R,Indonesian Championship 2017 (2017-08-04~06),333ft Final B #2
600950001,B2 L B R' F2 L U L2 B2 U' R U2 L' U2 D2 L B2 L,R,VIT Rubik's Cube Challenge 2017 (2017-09-22~24),333 R1 G #2
651411014,U B2 D R2 U L2 D' R2 U' B2 R' F' U F R F L2 R' F' D' B' L2,R,Polish Nationals 2017 (2017-11-17~19),333mbf Final A #2
652612001,L' D2 L' F2 B' R2 U D2 R L2 F' D2 R2 B2 D2 B U2 L2 F B',R,Bratislava Open 2017 (2017-11-25~26),333 R1 C E2
672623001,R2 U2 B2 L R' F2 R2 B' R2 D' B2 D L R' F2 U2 R' B,R,Liberty Science Center Open 2017 (2017-12-16),333oh R1 B #1
692241089,F2 D2 F2 U F2 L2 D' R2 U L' F2 L' U2 R' B' U' R2 D2 F2 D2 L B,R,Please Be Quiet WPI Winter 2018 (2018-01-20),333mbf Final A #3
718889001,L B2 R D2 L2 U2 F2 D2 R B' L R U' R B2 U' R' D2 U F,R,Swisscubing Cup I 2018 (2018-03-03~04),333 R1 C #1
