# Scramble samples — std / xcross / B / bin 3
# Population in this bin: 134
# Samples listed: 134 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-07-15
# Columns: id,scramble,bottom_color,competition,round

17106001,U F2 U' D' F D' L' D L2 F2 D' R2 F2 L2 B2 D2 F2 U2,B,SLS Chorzow 2014 (2014-05-03~04),333oh R1 C #5
65804001,U' L D' F2 R' F R2 U2 R' U' R F2 R' L2 F2 U2 B2 U2 B2 L',B,Back to 360 2014 (2014-10-11~12),333 Final B #2
99925001,B2 R2 B2 F U2 F2 D2 R2 B U2 F L B2 F U B2 L D B2 R' F',B,PB Smashathon 2015 (2015-01-17~18),333oh R1 B #3
191419001,D2 F' D2 L2 F' U2 F D2 B R2 U B2 D' L' D U' L2 B2 L' U F L B,B,Moscow South-West Open 2015 (2015-09-19~20),333bf R2 A #2
212823001,U2 L2 R' D2 R B2 R U2 B2 R D' B R' D U' R2 B2 L' D2,B,Cubetcha 2015 (2015-10-24),333 R1 D #1
220274001,D2 B2 F R2 U2 B R D' L' U2 L' D' B' L' D2 B2 L,B,River Hill Fall 2015 (2015-11-21),333 R2 A #1
248842001,U2 L2 R2 B' L2 D2 L2 D2 F R D2 B2 D' B2 L2 R U2 L' U2,B,Frankfurt Cube Days 2016 (2016-01-30~31),333oh Final B #4
360213001,U2 R B2 U2 L R2 D2 F2 D2 R' U L2 U' F R B' D2 F U B',B,Kharkiv Cube Day 2016 (2016-08-27),333oh R1 A #2
401889001,B2 F' R2 D2 B R2 U2 B F2 L' F2 U F' R B' R D' B',B,Maharashtra Championship 2016 (2016-11-13),333 R1 G #5
410742001,D F2 L2 D L2 U F2 L2 U L2 B R D' F U L2 U' B2 R2,B,Urdaneta City Fiesta Open 2016 (2016-12-04),333 R1 A #1
438569001,F' D' R2 F L' B2 U' L F2 D' F R2 D2 R2 U' R2 D' L2 D',B,Rubik Soletta Concepción 2017 (2017-01-29),333oh Final A #2
444899001,L2 U F B' U' B' D' R2 B' L' D2 L2 U' L2 B2 D R2 U2 L2,B,Berkeley Winter 2017 (2017-02-11),333 R1 H #5
447659001,U2 L2 F2 D' F2 D2 R2 U F2 U L2 B U' B F U2 L' F R2 B' L' B' L,B,PSU Winter 2017 (2017-02-18~19),333bf Final A #2
