# Scramble samples — std / xcross / R / bin 3
# Population in this bin: 144
# Samples listed: 144 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-18
# Columns: id,scramble,bottom_color,competition,round

14805001,D B2 L2 D2 B2 D' B2 D B' U2 L2 D' R2 F U' R F' R U2 B' L',R,Didas Brest 2014 (2014-04-26~27),333bf Final A #3
35066001,D U2 B2 D2 U' R2 D R2 F2 R' D R U' B' D B F2 D B' L',R,Plentzia Open 2014 (2014-06-28~29),333bf Final A E2
70444001,R2 D' L2 D B' L B2 U' B U L2 U2 B' L2 B2 U2 B2 D2 R2 L2,R,Saint Petersburg Open 2014 (2014-10-25~26),333oh R2 B #1
71788001,B2 U F2 D F2 D' L2 F U F' D' R F R' B2 D2 U' F,R,Hasselt Open 2014 (2014-11-01~02),333 Final B E1
86524001,B2 L2 U' R2 D' U2 F2 D U L F' U' B' U' R2 B2 L2 B L2 B D',R,Tachikawa 3x3 Fest 2014 (2014-12-14),333bf Final A E1
105739001,D2 L F L F2 D2 F D' B2 U2 R' D' R2 D' F2 B2 U2 L2,R,San Lorenzo Open 2015 (2015-01-31~02-01),333 R2 A E1
110290001,U2 B' U' R2 U' F L U' F' D2 F2 R2 F R2 L2 F D2 F' L2,R,Hessen Open 2015 (2015-02-21~22),333 R1 C #4
124469001,U2 R2 B D2 R2 B L2 U R B2 D2 U' L B U L' D' R',R,Xi'an Cherry Blossom 2015 (2015-04-04~05),333oh Final A #2
144836001,D' L2 D' R B L2 F2 R D' B' R2 F' L2 D2 F' B2 U2 B2 D2,R,HEM MariCubik Open 2015 (2015-05-31),333 R1 A #3
153737001,D B2 R' U' R' F R2 B L2 B R2 U L2 U F2 U2 R2 U L2,R,Pune Fall Open V2.0 2015 (2015-06-21),333oh Final C #3
166705001,B R2 B2 U' R U2 R2 B' D2 F2 R D' L2 U2 F2 R2 U2,R,World Rubik's Cube Championship 2015 (2015-07-17~19),333oh R1 G #2
189381001,L' F2 D2 L R D2 R' F2 U F L' U B R2 B' L F' L' F2,R,MCC Gamma 2015 (2015-09-13),333oh R1 C #3
196706001,R2 F L' D2 L2 U2 B R' D B' D2 L U2 L F2 U2 L2 U2,R,Basauri Open 2015 (2015-10-03~04),333 R2 A #5
209606001,D2 F2 L' R' D2 L R' U B2 L' R' B D' R2 B' D U2,R,Avenues CUBELELO Open 2015 (2015-10-31~11-01),333ft Final A #2
256146001,U R2 F2 D L2 B2 U' B2 R B D' B2 D B' L B2 U2 B2,R,Kaskada Open 2016 (2016-02-20~21),333 R1 E E2
260392001,L2 F2 R' U2 F2 R' F2 R2 D2 F D' F2 L2 R' B L B' D U,R,Big Cubes Challenge 2016 (2016-02-27~28),333 R1 C #1
312054001,D F2 L2 D F2 R2 D' L2 U2 R2 B L' B2 F U' R F R' B D',R,UCSM Supérate Open 2016 (2016-06-11),333 R2 A #4
370460001,U2 F R2 F' R2 B' D2 B2 R' D2 R2 F' R' D2 B U' R B' F2 L2,R,Arnold Open 2016 (2016-09-23~25),333bf R1 B #1
441634001,F' L U' F2 D2 F' U R' B2 L' B' D2 F' R2 U2 B2 U2 F',R,B.O.N.D. Open 2017 (2017-02-04~05),333oh R2 A E1
499548001,U' L2 U2 R2 U' L2 D' R2 F2 L' F L R2 U2 L2 B' L' D' B' L',R,Please Be Quiet UCLA 2017 (2017-04-29~30),333bf R1 B E2
629965001,B2 D B2 D' F U2 F2 B2 R' D' F R2 B2 U2 F U2 B' U2 B,R,U.R.A. Back to School 2017 (2017-10-28~29),333ft R1 A #3
633306001,B U2 F' R2 F L2 B' L B' R F' R' F2 D' B R2 F2 U2,R,Shri Ram Cubing Challenge 2017 (2017-11-04~05),333 R1 A #4
660700015,D F2 D2 U' F2 L2 D U2 B L2 B' D L' R' F R' D2 U2 R' B' L' F,R,Vancouver Open Spring 2015 (2015-05-02),333mbf Final A #1
661227017,R2 B2 L2 R2 D2 U2 F2 D' R' F L2 B D2 B R2 F' R' U F2 U' L',R,Yura Speedcubers 2017 (2017-01-14),333mbf Final A #1
661242012,U' R2 D B2 U' B2 R2 D B' R' B2 R D2 U' L2 R' F2 U' L R2 B' L2,R,Please Be Quiet Berkeley 2017 (2017-02-04~05),333mbf Final A #1
670478001,F L' U R F' L2 D' L2 B D' B D2 F2 R2 D2 B D2,R,Italian Championship 2017 (2017-12-16~17),333 R2 C E2
672711001,D R' D F2 L' U2 D R' U' B U' D2 F2 L2 F R2 L2 F',R,Liberty Science Center Open 2017 (2017-12-16),333 R1 B #5
678393001,L2 F B2 D2 L' B L' D2 R2 B2 U2 D2 R2 B' D2 F2 L2,R,Kharkiv Winter 2017 (2017-12-23~24),333 R1 C #5
689244001,U R D' R F L U2 D' F' R2 D' L2 U' L2 B2 R2 U' B2 U2 B2,R,Lions Cubing 2018 (2018-01-21),333 Final A E1
695707001,F2 B2 R' F2 B2 L' F2 B R' D F R2 B2 U2 B R2 L2 B R2,R,Udaan Rubik's Cube Open 2018 (2018-01-27~28),333 R2 A #1
747320001,D2 R2 D2 R2 U' L' B2 L2 D2 R U2 F' L' F' D U',R,Xi'an Cherry Blossom 2018 (2018-04-06~07),333oh Final A #4
786434010,U2 B2 R D2 R' D2 U2 R' U2 R' U L' U' L' B2 U' B2 L2,R,YJ Fest 2018 (2018-05-18~20),333mbf Final A #1
787333001,R2 B' L2 U' L2 D F' R2 D R F' B2 U2 F2 R2 D F2 U',R,CubingUSA Great Lakes Championship 2018 (2018-05-18~20),333 R3 A E1
793777001,L2 F2 U L2 D U F' U F R2 D2 U' B' D' L2 U2,R,Slovakian Cube Day 2018 (2018-05-27),333 Final A #2
