# Scramble samples — std / xxxcross / BG / bin 13
# Population in this bin: 22
# Samples listed: 22 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-07-23
# Columns: id,scramble,bottom_color,competition,round

198498001,F2 U2 L2 F2 U2 R2 U2 B' D2 L' F D R B D L U' L2 D2 U',B,SP Open Mini 2015 (2015-10-10),333oh R1 G #5
339603001,R L2 B R' U L D' B2 D2 B' R U2 B R2 F2 U2 R2 F' B R2,B,US Nationals 2016 (2016-07-29~31),333oh R1 I #1
512746001,U2 F2 R2 U2 R' B2 L' F2 R U2 L' F U B2 D' R' U2 L' B F2 L2,B,National Capital Region 2017 (2017-05-21),333 R2 A E2
637599001,L B D R' F' D L U B2 D' B2 R U2 L2 D2 R D2 R' B2 U2 R,B,Porto Alegre Open 2017 (2017-11-04~05),333 R1 B #5
1391530001,F2 L2 D2 R2 D2 F2 U2 F U2 L2 R' U B' U2 L2 B2 L' B2 D B R,B,Potosi Spring 2019 (2019-11-03),333 R1 A #5
1980314001,R B2 F2 D R2 D' F2 U B2 U2 L F' L2 D2 U F D' B' D' U2,B,Pennsylvania Championship 2022 (2022-06-17~18),333 R1 C E1
1984065001,D' L2 U' R2 D R2 D2 R2 D2 L B R2 B2 L' U' F2 R F U L,B,Winnipeg Open 2022 (2022-06-18~19),333 R2 C #2
2227532001,D B R U2 F B2 U R L F U L2 B2 U R2 D' F2 B2 U L' F,B,Rubik's WCA African Championship 2022 (2022-10-07~09),333bf Final A #1
3093475001,L D R U2 B' D2 R2 B2 D2 U2 L2 U R F L' D' F' D2 F',B,Otsu Biwako Autumn 2023 (2023-09-23),333 R1 B E1
3530179001,U2 R L2 F2 L2 F R2 B D' L' B' D' L2 U2 R2 B2 D R2 U2,B,Volunteer State Cubing 2024 (2024-02-24),333 R1 E #4
4384624001,D B' L D R' F' U R' L2 F U2 R2 U2 D2 F' B U2 B' L' B',B,Terraza 360 Xmas 2024 (2024-12-21),333 Final A E2
4410286001,L2 D' F2 U' R2 U2 L2 F2 R2 U2 R' B' L U2 F R' F2 D B' D2,B,Kisco Cubing 2025 (2025-01-04),333oh Final C #4
4489421001,L2 U2 B2 R' D2 L' U2 B2 F2 D B D' U' F' D2 F L' R2 U2 F2 L2,B,PSKG Premiere Cubing 2025 (2025-02-15~16),333bf Final A E2
4852218001,U2 F2 U2 F U2 L2 B2 D2 R2 F D L F' U R B' L D' R2 B2,B,Paseo Central Winter 2025 (2025-07-05),333 R1 L #3
4863707001,D2 R2 B2 U2 F' L2 U2 L2 D2 F L2 U' L F' R' B2 L U B2 L' B',B,Ropaži Mental Breakdown 2025 (2025-07-12~13),333oh R1 B #4
5152991001,D' F2 B2 R' D' F L D' B' F2 R2 U2 L2 U F2 U F2 D' B',B,Campiglia Open 2025 (2025-11-01~02),333 R1 C E1
5175859001,R B L2 D2 R2 U' F2 L2 D' R2 F' L' R D F' D B2 U B',B,Vegas Cubing Cup Fall 2025 (2025-11-08),333oh R1 B E1
5194871001,U2 L2 F D R F' L' B U D2 F2 R2 D2 F2 R D2 R' D' L,B,Bunbury's South West Speedsolving 2025 (2025-11-16),333 Final A E1
5369799001,R2 F2 R2 F' R2 U2 F' L2 D2 L F L2 R U2 B L2 D2 U F' R2 D',B,Devon Winter 2026 (2026-02-07~08),333bf Final A E2
5413278062,L' D' L B' R' B2 U B2 L F2 L2 D2 B' U2 D2 B2 L2 F' R2 L2 B' L',B,CF Goes Sideways Brzeziny 2026 (2026-02-21~22),333mbf Final A #2
5677609054,B' R' F2 R U2 B2 L U2 L U2 R' D B' D U F2 D' L D' F' L B,B,New York Multimate PBQ V 2026 (2026-05-29~31),333mbf R1 A #3
5749634001,R' U' F L' U2 B2 L D2 R' B2 D2 R2 U2 R' D' F2 L' D2 F D' R U' B2 R' U' F,B,FMC Nanjing 2026 (2026-07-12),333fm Final A #2
