# Scramble samples — 123x2 / f2b / OR / bin 9
# Population in this bin: 548
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: scrambles.txt
# Generated: 2026-07-23
# Columns: id,scramble,bottom_color

5725,U R2 B2 L2 F2 U' L2 U L2 D2 F2 U L2 U' B' R B2 U' F' D' R B' L' ,R
5734,R2 D' L2 U2 F2 D B2 R2 L2 U' L2 U R2 F2 U' L' F' D U B R' L' F' U' B2 L ,R
5743,D' B2 F2 R2 U2 F2 D' L2 U' B2 D' F2 L2 U' L' U2 B' D U2 R U' L2 B' L' F' ,R
1271375,R2 B2 D B2 U F2 U B2 U' L2 F2 L2 F' L D' B2 U' B' R F U' L' U' ,O
5900,U B2 U B2 D' L2 U F2 L2 D R2 D2 R2 B2 L' U2 F' D' R' B L U F D' L' ,O
1271396,D2 F2 R2 F2 L2 F2 U' F2 D' R2 U L2 U' R2 B' R' L' U R2 B2 U B' F' R' ,O
6270,U2 B2 L2 D' F2 D B2 F2 D R2 L2 B2 D' B2 U2 F' R' L' U2 B' F' L' ,R
6450,U2 L2 U' R2 D' B2 L2 B2 U' F2 D R2 L' B R' D' L B L' F' L U ,R
1139034,D2 B2 R2 B2 D R2 D' B2 L2 U' F2 D' F2 U' R' F L' B2 D B U F2 L' F' U' ,R
889343,D2 F2 R2 U' F2 D' L2 B2 F2 U2 F2 D2 U' L' B U F R' D' L' B' U2 ,O
22859,U L2 B2 D L2 U' L2 D F2 U' F2 L2 U2 R2 L' B' D' F' R U L B' U' ,O
808291,B2 U2 F2 L2 D U R2 F2 L2 B2 U2 L2 U2 L' B F D R' L D U' L' D' U' F' ,O
1139043,B2 U B2 U R2 F2 U' R2 F2 L2 F' U' L' B' R F2 U F2 D F' L' ,R
23057,F2 U F2 R2 U R2 L2 F2 D' R2 B2 D' F2 R2 U2 R' F' L U B D R' D2 F ,O
23248,U' R2 D' B2 D' F2 L2 D2 F2 R2 D F2 R2 U2 F' R B L2 D' B2 U' L F R' U2 ,O
980654,B2 D B2 F2 L2 D B2 R2 B2 U2 F2 U' L2 U' L' D' F' R' B U L' F2 U2 F' U' ,R
1264600,D F2 L2 F2 L2 F2 D L2 U F2 U' L2 D2 F' L' B F2 D2 U L' D' F R U' ,R
