# Scramble samples — eo / eo_cross / W / bin 8
# Population in this bin: 988
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: scrambles.txt
# Generated: 2026-07-06
# Columns: id,scramble,bottom_color

6527,U F2 D R2 U B2 L2 D B2 D U L2 B2 R' D B' D F L' U' R' B' L' ,W
2,R2 B2 L2 U2 L2 D B2 L2 U2 R2 D2 U L2 U' B' R' D' U R2 L' B U' F' U' ,W
27,D F2 U B2 R2 D2 R2 U R2 F2 U' F2 R2 F2 R2 L' B F' R' F R2 D F' U' L ,W
28,D2 L2 D' R2 U B2 D' R2 U F2 R2 U L2 F2 U F' D L' B' R' F' D U2 R2 L' U' ,W
29,R2 D' R2 F2 D' L2 B2 U' R2 B2 F2 D B2 L' D F' U' B' L F' L2 D' F' ,W
6589,B2 R2 U' L2 F2 D' B2 F2 L2 D F2 D2 U2 L2 B' U' R' L B D' L' F' D L' ,W
6342,R2 U2 L2 D' R2 F2 U2 B2 U L2 B2 L2 F2 U' B' U' F2 R' F L B' U' R D' ,W
7191,D L2 D' F2 U2 F2 L2 D L2 D2 L2 F' U' L' U2 B' R2 D R' F' L' U' ,W
7148,L2 U2 R2 D U2 B2 D B2 U' R2 U' R2 F2 R' U' F L' B D2 R' D F' ,W
143,L2 D B2 U' L2 U B2 L2 U' R2 L2 F2 D' B' R D U F' L' D B U2 R ,W
146,U2 F2 R2 F2 D' U' B2 U R2 L2 U2 R' D2 B L' U' F' D R B' L' ,W
155,U' L2 D B2 L2 F2 L2 U B2 D2 R2 D2 U' L' U2 F R B2 D L B U' F' ,W
6359,U2 F2 D' F2 L2 D2 B2 F2 R2 U R2 U R2 U' F' R B U' L' F R L' D L' ,W
7022,F2 D F2 R2 U B2 U F2 R2 L2 D2 F2 U' L2 R' F2 D F' L' B' R D F' ,W
6862,U2 F2 D2 B2 U' F2 U F2 U L2 U' B' L B2 U F L' B2 D B R' ,W
271,D2 F2 R2 D R2 F2 D F2 U' F2 L2 U' B2 D2 L2 F' R L' D L2 B U' F R' U2 ,W
7081,B2 R2 U B2 D2 L2 F2 U B2 R2 D' L2 U' F' R2 U' L' B' F' R D U L' F' ,W
6767,R2 L2 U' R2 B2 D F2 D' R2 D F2 D' L2 U R' D2 B' F' L U R F U' ,W
6966,D L2 U' R2 B2 U' R2 L2 B2 D' L2 D2 R2 U L' U' B R' F2 D' F' L' B' U ,W
6925,D' R2 F2 U B2 D F2 D2 F2 L2 B2 F2 L2 U2 R' F R2 U' L' D' L2 F R' B U ,W
6856,D2 L2 B2 D' R2 U2 R2 U' L2 D' L2 F2 U' L' B' F L D L B R B L ,W
7166,D2 F2 U F2 D' R2 U2 F2 R2 U' R2 U' F2 D L' F U2 B U' R' D F' D2 B' L' ,W
6331,R2 B2 D' R2 L2 B2 U' L2 D' R2 L2 D2 R2 D2 L' F' R' D' B' F2 R U' F' L2 U' ,W
6430,D2 B2 R2 D' B2 U R2 D2 F2 U' F2 R2 U' F2 U2 R' F' D' B R' L' F2 U2 B' U ,W
7122,B2 R2 U2 B2 D' F2 U L2 F2 U R2 F2 D2 F' L U' L2 D' L2 B' R F D L ,W
7100,U' R2 D' R2 F2 L2 F2 D' F2 L2 D' B2 U L2 U2 L' D' L2 F R' U B' D F2 R' F' ,W
218704,D R2 F2 D' U' B2 L2 D2 L2 F2 U2 B' U2 R L' F2 U' R2 B' F' U' ,W
6270,U2 B2 L2 D' F2 D B2 F2 D R2 L2 B2 D' B2 U2 F' R' L' U2 B' F' L' ,W
6793,L2 U' R2 D R2 L2 F2 D' B2 D2 R2 L2 U' B2 U2 F' R' B U2 L' U F D' R' ,W
6401,B2 D2 F2 U B2 L2 D2 L2 D' R2 B2 D B2 U F' D' B2 R' B L F' D' R' ,W
6321,F2 R2 U2 L2 D' B2 R2 D' B2 D2 U' B2 U' B2 U' L' D B' U F2 L' F' U R' B ,W
6249,L2 U2 R2 F2 D' F2 D2 B2 R2 U' L2 U' B2 L2 U' R' D' L2 D L' B F' R' L' ,W
538,U2 B2 U' F2 D F2 R2 L2 D R2 D2 L2 B2 D' R' B' R' L F' L2 U' R D' F' ,W
