# Scramble samples — eo / eo_xxxcross / BGOR / bin 14
# Population in this bin: 333
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: scrambles.txt
# Generated: 2026-07-15
# Columns: id,scramble,bottom_color

1253801,U F2 D U R2 F2 U' F2 L2 U' L2 U2 B' R2 L' U' R F' D B F2 L' U' ,B
5900,U B2 U B2 D' L2 U F2 L2 D R2 D2 R2 B2 L' U2 F' D' R' B L U F D' L' ,B
5938,F2 R2 D R2 U2 R2 B2 U' F2 R2 U2 R2 U R' B' U' L' D' L' F' U' B2 L' U2 ,B
5987,D' L2 U' R2 F2 D' B2 D' F2 D2 F2 D' B2 R2 L' B2 F R L B D L' U2 R U' ,B
1131527,F2 U B2 R2 D' R2 U' F2 R2 U' L2 U L2 U L' D' F' R' B U L' F2 U2 F' ,B
7176,R2 U L2 B2 F2 D L2 D' F2 D F2 D' B2 U' R' D2 B' D2 U L D' R2 B' R' F' ,B
1252727,R2 L2 U' L2 F2 L2 F2 U2 B2 U' F2 D' R2 U F' U' L' B' R F2 U F2 D F' L' U' ,B
11966,B2 D' F2 D2 L2 F2 U L2 U L2 U' L2 U B2 L2 B' R U' F' D' B2 R B L ,B
12071,R2 D R2 D' L2 B2 D R2 F2 R2 D L2 B' F' R' B2 L2 D U' F' R' L' ,B
1163801,B2 D F2 D' L2 U F2 R2 U2 R2 L2 D' F2 U2 L2 F' L' B U2 L2 U R' D' B' L' ,B
13399,U2 L2 D L2 U L2 D2 F2 U' L2 B2 F2 L2 U' R' U2 F U' L' D' B' R F ,B
13520,F2 L2 U R2 D' L2 U2 L2 B2 U' R2 D R2 B2 U' R' F U' L' F' D U2 B L' F' ,B
15582,U' R2 L2 F2 D' L2 F2 U' F2 D2 F2 R2 D' F' R U' B2 D' B' L F D' R' U' ,B
24710,B2 L2 U R2 L2 D' B2 D U2 B2 L2 R' B L' U F D B2 L' B U' ,B
27067,R2 L2 D' L2 U R2 B2 R2 D F2 D R2 D' U' F' R U' B2 D' B' L F D' R' U' ,B
