# Scramble samples — eo / eo_xxxcross / BGWY / bin 14
# Population in this bin: 549
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: scrambles.txt
# Generated: 2026-05-29
# Columns: id,scramble,bottom_color

5920,D R2 B2 F2 D2 L2 U' B2 L2 U' F2 D2 F2 U' R' L' B' D2 F2 R L' U' ,B
1111731,B2 F2 L2 D R2 B2 D2 B2 D2 U R2 B2 U' B' U2 L F2 D' F R B U L U' ,B
1012545,D2 F2 D' R2 L2 B2 D' F2 U B2 U2 B2 U L' B R' D F U B2 R' B ,B
975457,U L2 U2 L2 F2 U R2 B2 F2 U2 B2 U B2 U2 R' B' L D' F' U' B2 L B' U' ,B
949913,L2 D B2 R2 L2 U R2 F2 D B2 U L2 D2 L2 U2 R' B' F2 U' F L D R B ,B
1008125,B2 U' B2 R2 U2 R2 F2 D' F2 D2 U' F2 R2 U' B' L' F' L2 U' R D U2 F' U2 L' ,B
966836,D F2 L2 U B2 R2 D2 F2 U R2 U2 F2 U F' L' B R2 U' R' D' L2 B L U2 ,B
1153328,D2 L2 B2 U' F2 L2 D' L2 F2 U2 F2 U' L2 U2 B' U' R' U2 F' L2 D L' B' R' U' ,B
1039237,B2 D U2 L2 D' F2 R2 B2 D2 B2 L2 U' R2 F' R' B L2 D' L' U' R2 B R' U' ,B
900015,R2 D' U2 L2 D' R2 F2 U B2 R2 B2 U L2 B' F' R' B2 L2 D U' F' R' L' ,B
8789,R2 D B2 F2 L2 D R2 L2 D2 B2 U R' B L' U F D B2 L' B U' ,B
928830,U F2 U' F2 U' L2 U2 R2 F2 D2 U' L2 F2 L' F R' D2 B2 U' B' D' L' F' ,B
1094142,U2 F2 D R2 L2 B2 D' B2 F2 R2 D2 B2 U' L2 U' F' L' D' R F2 L2 B D' F' L' ,B
10277,D' L2 F2 D R2 B2 F2 D B2 D R2 F2 U F' D2 L' F2 D B U L F R' U' ,B
