# Scramble samples — eo / eo_xxxxcross / BGORWY / bin 12
# Population in this bin: 372
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: scrambles.txt
# Generated: 2026-06-18
# Columns: id,scramble,bottom_color

2283,R2 L2 F2 U' F2 D' U2 B2 R2 B2 U' F' R' L' U F2 L2 U B' F' L' ,G
910134,L2 U R2 B2 D2 R2 L2 D' L2 F2 U B2 F2 D' B' D' U2 L' U F R B' D' L' ,W
1068196,U2 R2 U F2 D2 R2 D' L2 D B2 R2 B2 L2 B2 F' R' L2 U' L B D F R U' ,O
2923,U2 F2 D F2 L2 D2 F2 U' L2 D' F2 D F2 R2 U2 B' R' D F' U B2 R' B' L2 D' L' ,R
1019885,D' B2 D F2 U2 B2 F2 R2 U' L2 D B2 U2 L2 F' D2 R L' D' L2 B' U' F R ,G
3564,R2 L2 B2 D' B2 U2 L2 F2 L2 U B2 D B2 U2 F' R2 L U R' B' D' F' L ,R
3573,B2 L2 D F2 D2 F2 D B2 U F2 U' F2 R2 U L' B' D' F' R' U R2 L B' ,R
3582,B2 U2 R2 D' R2 B2 L2 U' F2 U B2 D R2 U2 F' L B' R2 D R U L2 B' L' U ,R
1068076,U' R2 F2 L2 F2 U' B2 D' F2 L2 D2 B2 L2 R' D' B' L F U R' D' U2 B ,O
7229,R2 B2 F2 D' B2 U' L2 F2 U2 F2 D' R2 B2 U2 L' D F' D B R' U' L' F' R' ,R
881873,B2 D R2 L2 D' F2 R2 F2 R2 L2 U L2 D' R' U' F' L' B D R' F2 D2 F' U' ,W
1078333,L2 D2 L2 D L2 U L2 B2 U2 L2 F2 U R2 F' L F2 U' B' D' B2 L F' R' U ,O
1019886,D R2 B2 R2 U' B2 F2 U F2 U2 R' B R2 D' L' U' B R' F' U' ,G
959903,B2 F2 U R2 U2 L2 D' U' R2 B2 L2 F' R2 L U R' B D' B2 F' L U' ,O
919813,L2 B2 U B2 F2 L2 U' R2 U' F2 U B2 L' B' D' F' R' U R2 L B U ,Y
1078457,D2 R2 U2 B2 R2 U' R2 D' R2 B2 D' B2 L2 U' F' L F2 U' B' D' L F' R' U2 ,O
53678,L2 D' L2 U2 R2 L2 B2 U' B2 U' B2 U F2 U' F' D' R' D2 B' L2 U L' F' R' U' ,G
896972,U' B2 U' L2 F2 D2 B2 D' F2 R2 F2 L2 U R2 U2 F' U R' B' D L2 U L F' R' ,B
887018,L2 D' F2 U' R2 F2 U2 F2 L2 U' B2 F' L' D' R B2 R2 B' U F L' ,R
55912,U2 L2 D R2 U' R2 U B2 U2 L2 F2 U' L' D2 B R2 U' R F L D B ,G
86245,F2 D' B2 U2 L2 F2 R2 D' R2 D2 F2 R2 D' B' L' U L2 D F' R' B' U L' ,G
86246,F2 U2 F2 D L2 F2 D F2 R2 D2 B2 L2 U2 B' R2 L D R' F' U' B' L' ,G
88260,D' L2 D' F2 U L2 U' L2 D' B2 U L2 F2 U2 F' D L D2 B R2 U' R F L ,G
919796,L2 U L2 D F2 U' B2 U' R2 D2 R2 U' L2 B2 U' L' B' D' F' R' U R2 L B U ,Y
971873,R2 F2 D2 L2 F2 D' F2 L2 D F2 D' B2 R' F' D' R D2 L B U' F D2 L' ,O
119514,F2 U L2 D' R2 U2 R2 F2 U F2 U2 R2 U L2 B' R2 L D R' F' U' B' L' ,G
892030,B2 D L2 F2 R2 D R2 D L2 U2 F2 L2 U2 F' D2 R D' B' U' L' F R' U2 ,G
150640,R2 U R2 U' R2 U2 F2 U F2 R2 B2 F2 D F2 U' B' L U' F D B U2 L F R ,G
150641,L2 U L2 B2 U2 B2 D' R2 F2 D' R2 B2 U' R2 F' L F2 U' B' D' L F' R ,G
150642,U B2 D2 F2 U' B2 U B2 R2 D R2 U' L2 F' R B' U2 R2 U' L D B R' U' ,G
184137,R2 U2 F2 U2 L2 D' L2 B2 U' L2 F2 R2 L2 U' B' U' R' F L D B' D2 U' R ,G
919808,B2 F2 L2 F2 L2 U' B2 R2 U2 R2 F2 L2 U2 R' D2 F' D L U B R' F' ,Y
212453,U F2 D' F2 R2 U2 L2 U L2 F2 U2 L2 U' R2 U F' D' R' B L U F' D' U2 R' ,G
212454,D' R2 D B2 R2 U' R2 L2 B2 U R2 L2 B2 D' B' R' L2 D' L F U B R U' ,G
218699,R2 U2 B2 R2 D U R2 L2 F2 L2 D' U' B' R' L' B' F' D' U' F' ,B
218700,B2 R2 D U2 F2 D' B2 F2 R2 L2 U' F2 U' L2 B' R' L' B' F' D' U' F' ,B
218704,D R2 F2 D' U' B2 L2 D2 L2 F2 U2 B' U2 R L' F2 U' R2 B' F' U' ,W
218705,F2 R2 L2 U' R2 B2 F2 L2 U' L2 U2 R' D2 B F' L2 D' F2 R' L' ,O
876256,D2 L2 U' F2 U' L2 B2 F2 D F2 U' F2 U' L2 F' R' L B2 U R2 B' D' F L ,W
971541,F2 D R2 D U2 R2 B2 F2 U F2 U2 B2 U' B' L' F D' R' U' L2 F L ,O
218714,R2 D' U' F2 L2 D2 U2 B2 R2 L2 B' F' U' B2 R L' U2 F' D2 U2 ,B
237305,B2 R2 F2 U' B2 D2 R2 U' R2 U2 R2 L2 U2 L' D2 B R2 U' R F L D B ,G
237306,B2 D2 L2 D R2 F2 D' R2 B2 F2 D L2 F2 U' F' D L D2 B R2 U' R F L ,G
1218080,F2 R2 D B2 D' R2 F2 D F2 D2 B2 F2 R2 U' R' B' F L2 U B2 L' D' R F ,O
249657,B2 D2 B2 U' L2 B2 F2 D' B2 U2 R2 U B2 L2 U2 B' L' U F D R2 B2 L' B' R' ,W
250361,U' F2 L2 D F2 D' L2 D B2 D B2 R2 F2 U2 L2 B' F' R' B2 L2 D U' F' R' L' ,B
919814,L2 U L2 U' L2 U L2 D R2 U2 F2 L2 D U' B' R' F U' L' D' R2 F R' U' ,Y
888072,F2 D' R2 B2 U B2 U' L2 D R2 D' L2 U' R2 L' U' B R D' F2 U' F' L B ,W
250424,U B2 L2 D R2 U L2 D R2 U2 L2 U' R2 F' L D' R B2 R2 U B' F L' ,B
250433,B2 L2 D L2 U2 R2 F2 L2 B2 L2 U' L2 D' L2 U B' F' R' B2 L2 D U' F' R' L' ,B
250438,U2 F2 R2 B2 D' L2 U' F2 U B2 U' B2 L2 B' F' R' B2 L2 D U' F' R' L' ,B
250443,B2 F2 U' B2 R2 L2 D L2 D2 F2 U F2 L' B' D' F' R U L B' U ,B
250455,U2 B2 U' F2 D' R2 F2 U' F2 U' R2 F' R D L B' U' F' R' ,B
1217869,R2 D' B2 U2 L2 D R2 L2 F2 U B2 U' B2 U' R2 B' L' U F D R2 B2 L' B' R' ,W
250474,F2 D' R2 U B2 U B2 U2 F2 D' B2 U R2 U B' L' U' R' F' D B' D2 U2 R' U2 ,B
263518,U2 B2 L2 U' F2 L2 U' R2 U F2 R2 U F2 L2 U' F' U R B' L' D' F D2 U R ,G
265323,L2 U' F2 D F2 R2 B2 L2 F2 U' R2 U' L2 D2 B' D' R D' L' F U B R F' ,G
1087519,D' F2 D R2 F2 R2 B2 U2 F2 U' R' F' D' R D2 L B U' F D2 L' ,O
1030614,D' L2 U F2 L2 U' B2 D' L2 F2 U2 F2 D' B' U' R' F L D B' D2 U' R ,G
960246,F2 U2 L2 D' R2 U2 B2 R2 F2 D' B2 U' B2 F' L' D B' U F2 L' F' R2 D' R' ,O
883823,D F2 L2 D2 L2 D B2 U2 L2 U' R2 U B2 R2 F L B' R2 D R U L2 B' L U2 ,G
960143,F2 R2 D' R2 U R2 B2 R2 U2 R2 D2 U B2 U' R' F R2 U' L' D' L2 F R' B' U2 ,O
284834,U2 R2 L2 U B2 U' B2 L2 U F2 U' R2 B' L' F' U' F2 R' D2 B D' L' U2 ,G
284835,D2 B2 L2 B2 R2 U' R2 B2 U' R2 B2 F2 D2 F' D L D2 B R2 U' R F L ,G
916461,F2 D' F2 U L2 F2 D2 F2 D F2 L2 D' U2 L2 B' R L' F2 U' R2 F D B' L U' ,W
303382,D' B2 D2 L2 U' F2 R2 L2 U B2 R2 D L2 D F' R' L2 U' L B D F R' U' ,G
304941,L2 U L2 F2 D' F2 U2 B2 F2 R2 U B2 D L2 U' B' U2 R U' F' D' L' B R' U ,G
1087514,D' F2 U F2 D2 F2 U' R2 U' L2 F2 U2 B2 U' B' U L U2 F R2 D' R B L U' ,O
919805,U2 R2 D U2 F2 U F2 R2 L2 U' F2 U B2 U' B' R' D F U' R' L U2 L' B L' ,Y
315793,D2 L2 F2 R2 U' F2 D' R2 U' F2 U' F2 D2 F' L F2 U' B' D' L F' R ,G
315794,U2 B2 D F2 U2 B2 L2 U F2 D F2 R2 L2 U' B' R2 L D R' F' U' B' L' ,G
316023,L2 B2 L2 F2 U2 R2 D B2 D' F2 D2 L2 U' F' R' L2 U' L B D F R' U' ,G
1078091,U2 B2 D' B2 D R2 U' B2 D2 B2 L2 U' F2 L2 U' L' U2 F R2 D' R B L U F U' ,O
326689,D F2 U R2 D L2 B2 U L2 U' B2 F2 R2 U2 F' D' R' D2 B' L2 U L' F' R' U' ,G
884146,R2 B2 U R2 U R2 U' L2 D' L2 U2 R2 U' F2 U' F' R' F2 U B D B2 R' F L U ,R
1058434,U R2 F2 D' R2 B2 D2 R2 B2 U B2 L2 U2 L' U2 F R2 D' R B L U F U' ,O
1030616,B2 F2 L2 U L2 D' F2 R2 U2 R2 D' B2 D2 L2 R' F L2 U' F' L B' D' F' U2 L' ,G
