# Scramble samples — eo / eo_xxxxcross / BGOR / bin 12
# Population in this bin: 299
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: scrambles.txt
# Generated: 2026-05-30
# Columns: id,scramble,bottom_color

1087871,B2 L2 U' L2 F2 U' L2 B2 D' B2 U' F2 U' R' F' D' R D2 L B U' F D2 L' ,O
1068448,R2 F2 R2 L2 U2 R2 D L2 D' F2 D' B2 D L2 U' F' R' L2 U' L B D F R U' ,O
2914,D R2 U2 R2 F2 U' B2 U L2 U' B2 D L2 U2 R' B' F' U R2 F2 U R' L' F' ,R
2923,U2 F2 D F2 L2 D2 F2 U' L2 D' F2 D F2 R2 U2 B' R' D F' U B2 R' B' L2 D' L' ,R
2932,R2 B2 D F2 L2 U L2 U R2 B2 L2 F2 D L2 U2 B' U L D' L2 U2 F R B D' L' ,R
3564,R2 L2 B2 D' B2 U2 L2 F2 L2 U B2 D B2 U2 F' R2 L U R' B' D' F' L ,R
914717,F2 U L2 B2 U2 B2 U B2 U' L2 F2 U2 B2 U' L' U2 F' U R D B L' F' U' ,G
3582,B2 U2 R2 D' R2 B2 L2 U' F2 U B2 D R2 U2 F' L B' R2 D R U L2 B' L' U ,R
6001,F2 U2 L2 F2 R2 L2 D U R2 F2 D' U' R' B' F' R' L' D' U' L' ,O
7229,R2 B2 F2 D' B2 U' L2 F2 U2 F2 D' R2 B2 U2 L' D F' D B R' U' L' F' R' ,R
7309,B2 F2 L2 D' B2 U R2 F2 D2 L2 U2 L2 B2 U2 B' R D' F2 U' F' L B U' R' U' ,R
1067963,D F2 R2 U B2 L2 D' B2 D2 R2 L2 B2 U' L2 U' B' D2 L D' F' U' R' B L' U ,O
928810,D B2 D F2 D' F2 D2 U' F2 U R2 F2 L2 F2 L' F L2 D L B R' U' L' U' F' ,R
29127,D' R2 D2 R2 B2 D' U' F2 L2 U2 L2 U' B' F' D' U' R' L' ,B
29138,D' R2 U2 L2 F2 D U F2 L2 U2 L2 U' B' F' D' U' R' L' ,B
53678,L2 D' L2 U2 R2 L2 B2 U' B2 U' B2 U F2 U' F' D' R' D2 B' L2 U L' F' R' U' ,G
1087519,D' F2 D R2 F2 R2 B2 U2 F2 U' R' F' D' R D2 L B U' F D2 L' ,O
928286,R2 F2 U R2 F2 L2 U B2 U R2 B2 D F2 U B' L' U' R F2 R2 F' D B L' ,G
1048925,L2 U2 B2 U R2 B2 R2 L2 U2 B2 F2 U' L2 F' R' B D' L' U' R2 B R U2 ,O
86245,F2 D' B2 U2 L2 F2 R2 D' R2 D2 F2 R2 D' B' L' U L2 D F' R' B' U L' ,G
86246,F2 U2 F2 D L2 F2 D F2 R2 D2 B2 L2 U2 B' R2 L D R' F' U' B' L' ,G
88260,D' L2 D' F2 U L2 U' L2 D' B2 U L2 F2 U2 F' D L D2 B R2 U' R F L ,G
88261,D2 F2 D R2 F2 R2 B2 D' B2 L2 D' L2 U' L2 U' B' R' L2 D' L F U B R U' ,G
1048691,B2 D L2 U' B2 D2 R2 L2 F2 U B2 D' B2 R2 F' R' B L2 D' L' U' R2 B R U2 ,O
1068194,R2 F2 U F2 L2 D' R2 D2 L2 B2 D2 F2 D' L2 U B' U L F R D' R2 B U2 L' ,O
119515,U F2 D B2 U' L2 F2 U' R2 L2 B2 D' U2 L2 F' D' R' D2 B' L2 U L' F' R' U' ,G
150640,R2 U R2 U' R2 U2 F2 U F2 R2 B2 F2 D F2 U' B' L U' F D B U2 L F R ,G
150641,L2 U L2 B2 U2 B2 D' R2 F2 D' R2 B2 U' R2 F' L F2 U' B' D' L F' R ,G
971873,R2 F2 D2 L2 F2 D' F2 L2 D F2 D' B2 R' F' D' R D2 L B U' F D2 L' ,O
184137,R2 U2 F2 U2 L2 D' L2 B2 U' L2 F2 R2 L2 U' B' U' R' F L D B' D2 U' R ,G
1078333,L2 D2 L2 D L2 U L2 B2 U2 L2 F2 U R2 F' L F2 U' B' D' B2 L F' R' U ,O
212453,U F2 D' F2 R2 U2 L2 U L2 F2 U2 L2 U' R2 U F' D' R' B L U F' D' U2 R' ,G
1019886,D R2 B2 R2 U' B2 F2 U F2 U2 R' B R2 D' L' U' B R' F' U' ,G
218699,R2 U2 B2 R2 D U R2 L2 F2 L2 D' U' B' R' L' B' F' D' U' F' ,B
971541,F2 D R2 D U2 R2 B2 F2 U F2 U2 B2 U' B' L' F D' R' U' L2 F L ,O
218705,F2 R2 L2 U' R2 B2 F2 L2 U' L2 U2 R' D2 B F' L2 D' F2 R' L' ,O
218707,U2 F2 L2 B2 F2 D U B2 R2 D' U' B' R' L' B' F' D' U' F' R2 ,R
218714,R2 D' U' F2 L2 D2 U2 B2 R2 L2 B' F' U' B2 R L' U2 F' D2 U2 ,B
237305,B2 R2 F2 U' B2 D2 R2 U' R2 U2 R2 L2 U2 L' D2 B R2 U' R F L D B ,G
237306,B2 D2 L2 D R2 F2 D' R2 B2 F2 D L2 F2 U' F' D L D2 B R2 U' R F L ,G
243994,U' L2 F2 U' F2 L2 U' F2 U2 R2 U' B2 L2 B' F' R' B2 L2 D U' F' R' L' ,O
250361,U' F2 L2 D F2 D' L2 D B2 D B2 R2 F2 U2 L2 B' F' R' B2 L2 D U' F' R' L' ,B
250366,B2 U2 B2 D R2 B2 L2 F2 U' R2 D F2 D' F2 U' F' L D' R B2 R2 U B' F L' ,B
250422,B2 D' F2 L2 U2 R2 U B2 D2 U' F2 R2 L2 B' D2 L D' F' U' F2 R' B L' ,B
960145,L2 D' L2 D F2 D2 B2 D' F2 D' L2 D' F2 R2 F' L F2 U' B' D' B2 L F' R' U ,O
250433,B2 L2 D L2 U2 R2 F2 L2 B2 L2 U' L2 D' L2 U B' F' R' B2 L2 D U' F' R' L' ,B
250438,U2 F2 R2 B2 D' L2 U' F2 U B2 U' B2 L2 B' F' R' B2 L2 D U' F' R' L' ,B
1218080,F2 R2 D B2 D' R2 F2 D F2 D2 B2 F2 R2 U' R' B' F L2 U B2 L' D' R F ,O
250455,U2 B2 U' F2 D' R2 F2 U' F2 U' R2 F' R D L B' U' F' R' ,B
250470,L2 D B2 U B2 U' R2 F2 U' R2 D' L2 F2 U2 F' R' U' L' B D F R' U' ,B
250474,F2 D' R2 U B2 U B2 U2 F2 D' B2 U R2 U B' L' U' R' F' D B' D2 U2 R' U2 ,B
1077980,D F2 R2 D2 R2 U B2 L2 U' F2 L2 D2 B2 U' R' F R2 U' L' D' L2 F R' B' U2 ,O
265323,L2 U' F2 D F2 R2 B2 L2 F2 U' R2 U' L2 D2 B' D' R D' L' F U B R F' ,G
265324,D2 B2 U R2 D' B2 R2 U' B2 D F2 R2 L2 U' F' D' R' B L U F' D' U2 R' ,G
265325,R2 U L2 D F2 D' B2 R2 B2 L2 D' F2 D' F' R' L B2 U R2 B' D' F L' U' ,G
