# Scramble samples — eoline / eoline / G / bin 6
# Population in this bin: 832
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: scrambles.txt
# Generated: 2026-06-18
# Columns: id,scramble,bottom_color

2,R2 B2 L2 U2 L2 D B2 L2 U2 R2 D2 U L2 U' B' R' D' U R2 L' B U' F' U' ,G
5392,F2 D R2 B2 D' R2 F2 R2 F2 U B2 D2 R2 U F' L' D L2 U L2 B R' F' U' L' ,G
5368,U' R2 D R2 L2 U R2 F2 R2 U2 R2 D' U' R' F' L' D L2 B' U2 R' U' F ,G
20,L2 B2 D L2 D F2 L2 D B2 R2 F2 U' R2 U' F' R2 D R L B' U' F' R ,G
6831,D2 B2 R2 D F2 R2 D2 L2 D' R2 U2 B2 D2 U' B2 L' B2 F D B' R' U' L' F' U ,G
5113,D' F2 R2 L2 D' F2 L2 U' B2 U' L2 U2 R2 D' U' F' U' L B D' R2 U' R' F L' ,G
23,R2 D2 B2 D2 U' L2 B2 L2 B2 D2 L2 U2 R' D2 B' D' L' F' U R B L2 ,G
4750,D2 L2 U' R2 B2 D2 B2 D' F2 D B2 U' L2 D U' F' D L U R2 F R' B' D' L' ,G
6908,F2 D2 R2 D L2 U R2 L2 B2 R2 L2 D' R2 D F' R B2 D' B U' F2 R F L' ,G
462,F2 U' B2 D' F2 U L2 B2 U L2 U' F2 D2 F' R B' D L2 U' L' B2 U2 F' ,G
6942,U' F2 R2 D' F2 D F2 D' L2 U2 F2 U' F2 R2 B' L' F' L2 U' R D U2 F' U2 L' U' ,G
7052,F2 R2 D' L2 D' B2 R2 F2 R2 D2 F2 U' F2 U B' R' D' R2 L B2 F D' B' R' ,G
218699,R2 U2 B2 R2 D U R2 L2 F2 L2 D' U' B' R' L' B' F' D' U' F' ,G
7166,D2 F2 U F2 D' R2 U2 F2 R2 U' R2 U' F2 D L' F U2 B U' R' D F' D2 B' L' ,G
7129,F2 R2 F2 D2 F2 U F2 R2 U R2 B2 U B2 U L' D L2 B' R' F' L' B2 D B' ,G
6830,L2 B2 D F2 U2 R2 U' F2 U' F2 U R2 B2 R' F U B L D' R' L2 F' U2 ,G
1164,U2 F2 L2 D' L2 D2 B2 U F2 U B2 U2 B2 L2 U' B' R L' D F2 U' B' F L' ,G
6808,B2 D' L2 U B2 U2 R2 B2 U2 L2 U2 L2 F2 U2 B' R' F' U' L' D' R2 F D2 R' ,G
7072,U2 B2 D B2 U' B2 D2 L2 D R2 U' B2 L2 U R' U' R2 F L' D B' U F2 L' F' ,G
7130,L2 B2 D L2 F2 U' B2 L2 D F2 L2 U L2 U R' B' F' L' U R' F2 L2 F' ,G
7212,L2 U R2 D L2 U2 F2 R2 L2 U' F2 D L2 D' B2 F' R' U' L' B D F R' U2 ,G
4744,U2 B2 F2 L2 F2 U L2 D' R2 D2 F2 U F2 L2 B' L D R F U' B D2 U2 R' ,G
7151,B2 L2 U' L2 D' L2 B2 U' L2 B2 D' B2 U R2 U2 F' R2 U2 L D2 F D' R B' L ,G
