# Scramble samples — eoline / eoline / OR / bin 6
# Population in this bin: 958
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: scrambles.txt
# Generated: 2026-07-15
# Columns: id,scramble,bottom_color

26,D F2 D' B2 U R2 B2 U B2 D' F2 R2 D F2 U2 L' B F' R' F R2 D F' U' L ,O
7162,D L2 D' B2 U' B2 F2 D' L2 U F2 L2 D2 R2 U2 F' L' B' F2 U L' F D' U' R' U' ,R
316,D2 L2 B2 R2 D' B2 D B2 F2 L2 D' R2 D2 B' L' F D R U B' L' D2 U2 ,O
6573,R2 U2 B2 F2 D B2 D2 U' B2 R2 L2 U' F' L' D B' R L2 U B D' L' ,R
5374,U2 F2 D F2 D' B2 U R2 L2 F2 D' U' L2 U' F' R' F2 U B D B2 R' F L U' ,O
7082,F2 R2 F2 L2 U R2 D' B2 R2 D2 F2 R2 L' F' R B2 D' B' U' F2 R F ,O
6263,U' L2 D2 F2 L2 U R2 U B2 U R2 L2 B2 R' D' B D' F L D' R F U' ,O
5107,D F2 L2 D R2 D' F2 D B2 L2 B2 D' L' F' D' U' B R L F' U B2 R ,O
5559,D2 F2 D F2 L2 B2 R2 U2 F2 D F2 D' B2 U' R' B L2 F U' R' B' L' D F' U' L' ,O
7139,D2 L2 D' R2 U R2 F2 D2 B2 U R2 B2 U R2 B' U F2 L F R' B L2 D' L ,O
4745,B2 L2 D' F2 U' L2 B2 D2 R2 U' L2 B2 D F2 U2 F' D L U R2 F R' B' D' L' ,O
7038,U2 B2 D' R2 F2 U R2 U2 B2 F2 U L2 U' B' D2 U2 R L' U R2 B' D' F L' ,O
6518,D' F2 U2 L2 U' R2 U R2 L2 B2 R2 L2 D' B' U' R' L B D' L' F' D L' ,O
1171,F2 R2 F2 U' R2 U F2 U2 L2 D F2 D2 L2 U2 B' U L' F' D R2 U R B' L ,R
5366,D L2 F2 U F2 D L2 F2 D B2 L2 U F' R B' U L D R2 B' R ,O
4512,U' B2 L2 F2 D2 R2 U' B2 U B2 U' R2 U R2 F' L F2 U' B' D' L F' R' ,O
6415,D B2 F2 D' L2 D B2 L2 U F2 U2 B2 U' F' L B' D' R' F' U2 F2 U2 L' ,O
5836,F2 R2 L2 U B2 D L2 D2 B2 D' R2 D B2 L2 B' L' U' F2 D' F' R D' B L ,O
1252,D B2 F2 R2 L2 U' F2 L2 U2 F2 R2 F2 D' U' B' R' L D B2 U' B F' L' ,O
1256,L2 U B2 F2 U2 R2 D' B2 L2 U2 R2 D F2 U' B' R' L' U' B2 U2 B F' R' F2 ,R
6779,F2 D2 B2 U B2 D' B2 D2 R2 F2 L2 F2 D2 U' R' D2 L2 B F L U' R' B' ,O
7160,D R2 B2 D2 B2 F2 U' F2 D F2 U2 B2 R2 F' L' B U R F' L U F2 U2 ,O
6728,D' R2 L2 U' R2 U L2 F2 R2 F2 U' B2 D2 U2 F' U' L' D' U R' U B F L' ,O
6018,D' B2 F2 D L2 U2 R2 D' L2 U F2 U' R2 B' L' U F2 L F R' L' B' D2 U' ,O
218705,F2 R2 L2 U' R2 B2 F2 L2 U' L2 U2 R' D2 B F' L2 D' F2 R' L' ,O
6719,R2 D2 F2 D B2 D' L2 U L2 B2 U R2 U B2 U' F' U' L' D' U R' U B F L' ,O
1334,B2 L2 U' B2 L2 F2 R2 U B2 D' R2 D F2 U B' D2 L D' F' U' F2 R' B L' ,O
6255,R2 F2 U B2 L2 U2 B2 R2 U L2 D2 F2 U' B2 U B' L' F R L B' U' L F' L' ,O
7010,U B2 F2 U F2 U R2 D2 B2 U' R2 U B2 F2 R' U' R2 F' L B R U' F U ,O
5923,D2 F2 D' F2 R2 U B2 L2 B2 R2 U' L2 D' R' L' B' D2 F2 R L' U' ,O
1338,U B2 D B2 D' F2 L2 D' F2 D F2 U B2 F2 L' B R D' F' U' L' B D2 F' ,O
5080,U' L2 F2 U' R2 B2 D' B2 U2 F2 D' R2 L2 U L' B' R F2 U' F' D' B2 R B' U2 ,O
7129,F2 R2 F2 D2 F2 U F2 R2 U R2 B2 U B2 U L' D L2 B' R' F' L' B2 D B' ,O
1517,D R2 D' F2 D' L2 B2 R2 L2 U L2 F2 D F' L' B' R2 D B2 U R' F' L' ,O
4518,L2 U R2 U R2 U2 R2 F2 D R2 U L2 U R2 F' R L' F2 D' R2 B U F' L ,O
6930,U R2 L2 U2 R2 U' L2 F2 D2 F2 U F2 U2 L2 U' L' D F' U' L' B' R D F U2 L' ,O
218699,R2 U2 B2 R2 D U R2 L2 F2 L2 D' U' B' R' L' B' F' D' U' F' ,O
6824,B2 R2 L2 U B2 D' U' F2 D2 U' B' L' F' D' R' U L2 U2 F L' ,O
6069,F2 D' R2 U F2 U2 F2 D' R2 U2 B2 L2 U F' R' L' B' U F' L2 B2 L' F2 U' ,O
4524,U F2 D' L2 D' L2 B2 F2 D2 F2 D F2 R2 U' F' R L' F2 D' R2 B U F' L ,O
6422,D U2 R2 D' B2 F2 R2 L2 U' B2 U2 F2 U' B' F' D' R' L B' U2 F D U' L' ,O
6744,D R2 D R2 L2 B2 U' B2 U L2 U' B2 D' F' L' B U' R D U2 B2 F R' ,O
5385,R2 U2 B2 L2 D R2 D B2 L2 B2 L2 D F2 D2 B' L B2 D' F' U' L B' R' F2 ,O
138655,R2 B2 D L2 F2 U' B2 U2 L2 U B2 U2 L2 U L' B R' U2 F U' L' D B' D' U' ,O
6807,U L2 D' F2 D' B2 R2 B2 U' R2 F2 D' U' L' D' F D2 R' B2 U' B' L' F' ,O
6817,D F2 D' F2 U' L2 B2 F2 U L2 B2 U L2 U' R' D' B F' D U2 F' R' F L' U2 ,R
6491,U L2 U' F2 R2 U2 R2 U' L2 U B2 R2 U' B' D' L' F R U B' D' U2 L ,O
7183,U2 L2 D B2 D' L2 B2 R2 F2 L2 D' F2 D' F' L U' L2 D' L2 B' R F D L U' ,O
1901,U2 R2 B2 D' R2 D' R2 F2 L2 B2 D' L2 B2 D R' B F' L2 D' B2 L U R' F U' ,O
6512,L2 U F2 U' F2 U R2 U' F2 D' L2 F2 R2 U' B' L' F' D' R' U' L2 F U2 L' ,O
1903,D' F2 U B2 D' B2 U' R2 D2 F2 L2 U' L2 U' R' U2 F U' L' D' B' R F' U ,O
1904,U2 L2 D' B2 U' F2 U F2 L2 U' B2 U L2 F' R' B D2 R2 D L' U' B' R' ,O
1905,R2 F2 D2 R2 U F2 U' L2 D' R2 U2 B2 R2 U' F' R B' D' B2 U' L F D' R' ,O
1906,U' B2 D R2 U' R2 U' R2 B2 D U2 F2 R2 U F' U' L' B R D F' D2 U' L ,O
138657,D2 R2 L2 U' B2 U F2 U2 L2 D L2 F2 R2 U' B' R' L F D B' L' F2 U L ,O
2103,L2 U2 B2 U B2 R2 U2 R2 U F2 D' F2 R2 U2 B' R U' F' D' B2 R B L ,O
5393,D' L2 U B2 L2 D2 B2 U' R2 U2 B2 R2 U' F' D L B R' F2 D' F2 U' F L' ,O
5902,U2 F2 R2 D' R2 B2 L2 U B2 L2 U' F2 L2 B' L F U2 R2 D' R U B L ,O
6834,R2 D L2 B2 D B2 U B2 L2 U B2 U' R2 D R' U2 B F' D' B2 R' U' L F' ,O
2107,D L2 D' R2 D' B2 F2 U' F2 L2 B2 L2 D' R2 L' F R' U' B' D' L D2 F' U2 ,O
7127,B2 D B2 D2 B2 U' R2 U' B2 L2 F2 D R2 U' L' F' D B' L2 D R' L F' ,R
5088,L2 B2 F2 U R2 U' R2 U L2 U' L2 B2 U2 B2 R' B R2 D' L' U' L2 B R' F U ,O
6517,U2 R2 L2 F2 U B2 L2 D2 R2 L2 D' B2 R2 F' D L' D2 B R2 U R F L' ,O
145992,L2 B2 D2 R2 U' L2 D' R2 F2 R2 U' F2 R' L' B' L2 F' R' L U' ,O
5820,L2 B2 D R2 D2 L2 F2 D L2 U' R2 D' R2 U' R' F L' B2 D B U F2 L' F' ,O
6499,D' L2 U' L2 D2 R2 D' B2 D2 F2 L2 D B2 L2 D2 B' D' L' D U' R' D B F L' ,O
4185,B2 D F2 L2 U R2 U' B2 R2 L2 U L2 D R2 U R' B L' U F D B2 L' B U' ,O
6220,R2 L2 F2 D L2 D2 F2 U' R2 U' F2 D R2 L' D R2 D' R B' F' R' L' ,O
5816,D' F2 U' L2 F2 R2 U L2 D' R2 B2 D2 U' R2 U' F' D L U R2 F R' B' D' L ,O
6786,B2 D L2 D2 R2 B2 U R2 U2 B2 R2 B2 R2 U' L' U' B R' F2 D' F' L' B U ,O
2118,U' R2 F2 U F2 D2 L2 F2 L2 F2 D R2 U F2 U2 R' D' B' L' F L2 U R D F' ,O
6783,U' B2 F2 R2 D' R2 U' F2 U2 R2 F2 L2 F2 U2 B' R F' U2 L U' B' D R' D2 U' ,O
2314,B2 D' L2 D B2 U' B2 D F2 U' R2 U L2 U L2 B' L' F' L2 B2 U R D F' L' ,O
6944,U' B2 D L2 D' B2 D F2 D' R2 U2 F2 U2 B2 L' B R' F2 D F U B2 R' B U ,O
5382,U L2 U R2 D2 R2 F2 D2 B2 U L2 U' R2 U2 F' R B' U L D R2 B' R U' ,O
6530,R2 B2 F2 D' F2 R2 L2 D2 B2 R2 U' B2 D U' R' F L D B U' F2 U2 L' F' ,O
6829,U' F2 L2 D2 B2 D B2 U R2 L2 U R2 D R' F L' D B U F2 L' F U' ,O
6535,U2 R2 B2 R2 D' B2 D' R2 D2 B2 U F2 L2 D' L2 R' F L D B U' F2 U2 L' F' ,O
7214,U R2 U2 F2 U F2 L2 B2 F2 D' B2 D L2 D' R' U F' U B L' D' R' F' L' ,O
2321,U2 L2 D B2 R2 D' F2 L2 D' B2 U F2 D' F2 L2 F' R' D2 B2 U B' D' L' F' R' ,O
5804,D B2 R2 U2 R2 F2 D' L2 D' R2 D B2 L2 R2 L' B' L2 D R' U B' L F2 D' F' ,O
6444,F2 U' B2 D B2 D2 R2 D' L2 D' L2 B2 D2 B2 R' D2 L2 B F L U' R' B' U' ,O
6875,R2 B2 D2 U' R2 D' L2 F2 U' L2 U2 F2 L' F D B R' L' U2 F' ,O
