# Scramble samples — pseudo / pseudo_xxxcross / BG / bin 9
# Population in this bin: 983
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: scrambles.txt
# Generated: 2026-05-29
# Columns: id,scramble,bottom_color

400088,R2 L2 D L2 D' L2 U L2 D2 B2 U' R2 U' B' R F' D' L' U' B U2 R ,B
784,R2 B2 D F2 R2 L2 D' B2 U2 L2 D F2 U R2 B' R B2 U' F D' R B' L U ,G
181686,F2 U' L2 F2 D' F2 D B2 D2 U' R2 D2 F2 L2 B' R' F' D F2 U L' B' R' ,B
1625,R2 U' B2 U B2 D2 L2 D' R2 U' F2 L2 U' F' U2 L U' B' D' R' F L' ,G
179933,B2 R2 U B2 R2 D F2 D' R2 F2 R2 F2 D U' B' L' F' L2 B2 U R D F' L' ,B
190727,R2 L2 F2 R2 L2 U F2 D' B2 U2 L2 U B2 U F' R' L B2 U R2 B' D' F L ,B
2039,U F2 R2 U R2 U' F2 R2 L2 D R2 F2 D U2 F' U2 L F2 U' B' D' L' F' R' ,G
182098,D B2 D B2 U' R2 U F2 L2 B2 F2 U R2 L' F' U' B' R D L F' U' ,B
817287,B2 L2 F2 D R2 U L2 F2 U2 R2 U L2 D F2 D' L' F' U' B' R' D R2 L F U2 L2 ,B
2251,L2 B2 R2 B2 U R2 U' F2 L2 U' B2 L2 D2 R2 U' F' U' L' B R D F' D2 U' L' ,G
553587,L2 D2 F2 L2 F2 R2 L2 U' F2 L2 F2 R2 D2 B' L U' R B2 U' B' F L' U ,G
400420,B2 U F2 R2 D' R2 B2 U B2 U' L2 D F2 L2 F' R D L B' U' F' R' ,G
938109,B2 D' R2 B2 D F2 D B2 F2 D2 F2 L2 D' L2 B' R' L' U B2 R2 U B' F' R' ,B
186395,U' F2 U B2 F2 U' F2 L2 D' L2 U2 F2 L2 U' L' F U' R D L U2 F R B' ,B
186175,U B2 U' R2 D F2 D' B2 U' L2 B2 L2 U2 F2 U' L' B D' F' R2 U' R L' D2 F' ,B
