# Scramble samples — pseudo / pseudo_xxxcross / G / bin 9
# Population in this bin: 463
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: scrambles.txt
# Generated: 2026-05-30
# Columns: id,scramble,bottom_color

464154,R2 F2 U2 B2 D' F2 U2 F2 R2 U L2 U F2 U2 B' L B2 F' D2 U' L D B' R' U' ,G
784,R2 B2 D F2 R2 L2 D' B2 U2 L2 D F2 U R2 B' R B2 U' F D' R B' L U ,G
1118,R2 D R2 U' R2 U2 R2 F2 R2 U' L2 D F2 U2 B' R D R U F' L' D B R' U' ,G
1625,R2 U' B2 U B2 D2 L2 D' R2 U' F2 L2 U' F' U2 L U' B' D' R' F L' ,G
898925,R2 D L2 F2 D' R2 B2 U L2 D' L2 U L' B R' D' F' U' L U2 B' U' ,G
934482,B2 L2 B2 D' F2 R2 U' L2 F2 U2 F2 U' B2 D' R' U2 F' D' B2 R' U' B' L F ,G
2039,U F2 R2 U R2 U' F2 R2 L2 D R2 F2 D U2 F' U2 L F2 U' B' D' L' F' R' ,G
2040,U' L2 B2 D2 R2 B2 D2 L2 U B2 F2 R2 D L2 R' D F L B' U' R F2 U2 F ,G
639236,B2 D B2 U' R2 F2 U' R2 B2 F2 D B2 R2 U' B' R' F L2 U' L' D' R2 F R U' ,G
2251,L2 B2 R2 B2 U R2 U' F2 L2 U' B2 L2 D2 R2 U' F' U' L' B R D F' D2 U' L' ,G
2252,U2 L2 B2 D' B2 D' L2 D F2 R2 F2 U' B' L F' D2 R2 U' R' D' B' L' U ,G
629563,R2 U2 F2 L2 F2 U B2 D' L2 D F2 R' B' L F2 D' F' U' B2 L B U' ,G
641783,B2 D' R2 U' R2 F2 R2 B2 U' F2 R2 D' U B' R' B2 D F U R' B L' U' ,G
2394,B2 R2 U2 F2 U R2 D R2 U2 F2 U' F2 U' B' L B2 D' F' U' L B' R' F2 U' ,G
477935,F2 D L2 F2 D' F2 U L2 F2 U F2 D2 B' D2 L D2 F L2 D' R' U' F' L' ,G
461707,L2 D' B2 R2 L2 U R2 D' F2 R2 L2 D B2 R2 L2 B' D2 U2 L D' R B U F L' ,G
638262,D R2 D F2 U B2 D' B2 U L2 F2 R' B R2 D' L' U' L2 B R' F' U' ,G
1106512,F2 R2 U2 L2 F2 D' R2 F2 U L2 U' B2 U' L' D F' U' L' B' R D F U2 L' ,G
633661,L2 F2 U' L2 B2 U' L2 B2 U R2 D F2 L2 U2 B' R B2 U' F' D' R B' L' F2 ,G
2434,F2 R2 D2 B2 R2 U B2 D' L2 F2 U' L2 U R' B U' L D R U2 B L F' ,G
899373,D' L2 F2 R2 F2 D B2 D R2 D2 U' L' B U F R' D' L' B' ,G
895929,D2 L2 B2 U' L2 D L2 B2 D F2 U' R2 U L2 R' U2 B' U L D F R' B U' ,G
2460,F2 R2 D' B2 R2 U' L2 U2 F2 L2 D R2 U' B' R' F U L D B U2 F2 L' U' ,G
2461,B2 U' R2 D' R2 D L2 U' L2 B2 D L2 D' F2 L' U2 F' U R D B L' F U ,G
893539,R2 B2 L2 D F2 R2 L2 D L2 D B2 U' B' L' U L2 D F' R' B' U L U2 ,G
892250,L2 U' B2 D2 R2 L2 U' B2 L2 U' B2 R2 L2 F' L B D' R2 U' R F L' ,G
2464,B2 U F2 R2 U2 R2 D F2 R2 L2 D' B2 F2 L2 B' R' F U L D B U2 F2 L' ,G
893541,D F2 U R2 B2 F2 U2 L2 U B2 F2 U2 R2 B' L D R U' B' U F' U' L ,G
2466,U2 R2 U L2 F2 U' R2 D2 B2 L2 U L2 B' U2 R L' U R2 F D B' L' ,G
585227,F2 U2 L2 U F2 R2 B2 L2 U L2 U R2 L2 U2 R' B' L F2 D' F' U' B2 L B U' ,G
554324,D R2 B2 F2 D' R2 F2 D' R2 U F2 U2 L2 U' L' D F U R B' L' D' F' L ,G
491370,B2 L2 B2 U' L2 D2 R2 B2 U' B2 U2 L2 U B' R' F U' L' D' R2 F R' U' ,G
899375,U2 L2 U' L2 U B2 R2 U2 R2 U L2 D' B2 R2 U2 L' B U F R' D' L' B' U2 ,G
2480,F2 U' B2 U' F2 U R2 U' R2 B2 D2 R2 B2 U2 B' R B2 U' F' D' R B' L' U' ,G
2481,D B2 F2 L2 U' B2 R2 L2 D F2 L2 U L2 U' B' L F' U2 L2 U' R D F L' U2 ,G
2485,U2 L2 B2 D F2 R2 F2 D2 B2 U' L2 F2 U2 L' U2 F' U R D B L' F U ,G
