# Scramble samples — pseudo_f2leo / pseudo_f2leo_xxxcross / BGWY / bin 9
# Population in this bin: 446
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: scrambles.txt
# Generated: 2026-06-09
# Columns: id,scramble,bottom_color

183814,U' L2 D' L2 U B2 L2 D' F2 R2 U' L2 D2 B' L' U' R' F' D B' D2 U2 R' U' ,B
1625,R2 U' B2 U B2 D2 L2 D' R2 U' F2 L2 U' F' U2 L U' B' D' R' F L' ,G
1626,D2 L2 B2 U' F2 U R2 D B2 U' B2 L2 B2 U' R' F' L U B D R' D2 F ,G
179933,B2 R2 U B2 R2 D F2 D' R2 F2 R2 F2 D U' B' L' F' L2 B2 U R D F' L' ,B
6236,B2 F2 U B2 D B2 D' L2 U F2 U F2 D2 R' D' L2 D L' B F' R' L' U' ,G
6237,D R2 L2 D' R2 D B2 D F2 D' F2 D F2 U2 R' B' R B L' B' R' F' R L' ,G
6238,R2 F2 D R2 U B2 U' B2 U F2 R2 B2 L2 U2 R' U L2 U' L' B' F' R' L' ,G
419285,B2 L2 U' F2 U2 L2 D R2 F2 U2 B2 D' L2 B' R' F U' L' D' R2 F R' U' ,G
7030,F2 R2 U' B2 L2 U R2 D' L2 U F2 U' F2 D' B' R' D' L B' F' L2 D2 L' D2 ,B
462329,U' B2 L2 D' B2 U' L2 D' B2 F2 U2 L2 B2 L' B' R U' F' D' B2 R B' ,G
313045,R2 B2 F2 U2 L2 F2 D' B2 U' L2 B2 D L2 U2 B' R2 L' U' R F D B L' U2 ,B
357640,U2 R2 D R2 U' L2 U F2 D L2 U B2 L2 U' F' R U' B D F U2 R B L' ,G
400088,R2 L2 D L2 D' L2 U L2 D2 B2 U' R2 U' B' R F' D' L' U' B U2 R ,B
186169,D' B2 L2 B2 F2 L2 D F2 U F2 U2 F2 R' F' L' D L2 U B' R' F' U' ,B
181459,L2 F2 R2 F2 D' R2 D R2 U F2 D' R2 D' L2 U B' D2 U2 R' D L' B' U' F' R' ,B
167124,L2 U' F2 R2 L2 D L2 F2 L2 F2 U F2 D2 L2 U' F' R' U' L' B D F R' ,B
186166,L2 D L2 U F2 U2 B2 R2 F2 R2 U' R2 U2 L' B' R U F D L' D2 B U ,B
167128,U' B2 U B2 U F2 U2 B2 F2 L2 F2 U L2 U' L' F' U' B' R D L F' U' ,B
167130,L2 D' B2 U2 F2 D B2 L2 U2 R2 D R2 D' F' D2 U2 L' D R' F' U' B' L' U2 ,B
167134,R2 L2 D2 F2 U L2 F2 U2 F2 D' L2 U L2 U2 F' L' D' R' B U F L' U' ,B
190194,B2 L2 D' R2 F2 D2 F2 D' F2 R2 U2 R2 D' R2 F2 L' U2 F' U R D B L' F U' ,B
181456,F2 R2 B2 L2 D' B2 L2 U2 L2 D' L2 U F2 U' F' R' U B D F2 R' F' L' ,B
185961,D2 B2 D F2 L2 F2 R2 F2 D' U' B2 U' L2 U' R' F' L U B D R' D2 F U' ,B
167331,U2 R2 U F2 U2 R2 L2 U L2 D F2 D' B2 U' F R L2 U' B' L D B' F R' ,B
456391,R2 D' L2 F2 D L2 D' F2 L2 D' B2 U R2 D U' B' R' F' U L D B R' U2 L' ,G
167339,L2 D B2 R2 U2 L2 D L2 D' L2 U' B2 U R2 U' F' L' B' D B2 U R' F' L' U2 ,B
462806,L2 B2 U L2 D2 L2 F2 U2 L2 U' L2 U' R2 F2 R' B' L D F U R' U2 B U2 ,B
187740,L2 B2 U L2 D' B2 U B2 R2 D F2 U2 B2 U L' F' U' B' R D L F' U' ,B
167531,F2 R2 U' R2 D2 B2 L2 F2 L2 D' B2 D F2 R2 B' L F R2 D' F2 U' R B L' U' ,B
167535,U F2 L2 B2 L2 U2 B2 U L2 U' R2 F2 L2 U' R' U2 F U' L' D' B' R F' ,B
198836,F2 D B2 D' L2 D' L2 U2 R2 F2 D2 B' L B2 F' D2 U' L D B' R' U' ,G
188311,L2 U R2 D' L2 B2 D F2 D2 R2 U' R2 U R2 L' B' R' D R2 U F' L' B' U ,B
167541,L2 D' R2 B2 D F2 D' L2 D2 L2 B2 D U2 L2 B' R' F U L D B' D2 R ,B
168086,U R2 B2 U R2 D' F2 D F2 D' B2 D2 R2 U' L2 B' F' R' B2 L2 D U' F' R' L' ,B
168283,R2 B2 F2 U L2 D' B2 F2 D2 R2 D' B2 L' F' U' B' R D L F' U' ,B
184048,B2 U F2 U B2 D' R2 U' F2 U2 R2 L2 F2 U2 B' R' F U L D B' D2 R ,B
169408,L2 B2 F2 U' L2 U R2 D' F2 U2 R2 D' B2 U2 F' L U R B' D' F' L' U2 ,B
181462,B2 D R2 D' L2 F2 R2 D2 R2 D' L2 U2 F2 L' B U F R' D' L' B' U ,B
183820,D F2 U' B2 D B2 R2 U F2 L2 U' F2 L2 U F' L' B' R2 D B2 U R' F' L' ,B
198839,R2 B2 D B2 F2 U2 R2 U' R2 U L2 U' F2 U' R2 F R B' U L D R2 B' R' U ,G
181477,U2 R2 U' F2 L2 D B2 U' R2 B2 U F2 R2 B' U2 L' U F D R B' L U2 ,B
312864,D B2 U' L2 U R2 D' L2 B2 U' L2 D2 L2 B2 U L' F' R' U' R2 B' D2 L D' F' U' ,B
181243,F2 L2 U F2 U' R2 U' L2 B2 U F2 R2 L' B' D' F' R U L B' U2 ,B
188836,D R2 B2 D2 L2 U R2 U2 F2 U R2 U B2 L2 U2 B' R L' F2 U' R2 F D B' L' ,B
169617,U' R2 U' L2 D F2 L2 U F2 U L2 U2 B2 R2 U' F' L' U2 B2 D B' U' R' F' L ,B
186383,F2 D2 L2 D R2 B2 D L2 U L2 D2 B2 U' L2 U2 B' R L' F2 U' R2 F D B' L' ,B
169621,L2 B2 U B2 D' U' R2 L2 B2 U' B2 F2 R2 L' U2 B U' R' D' F' L B' U2 ,B
224874,U' F2 D' R2 U2 F2 D L2 U B2 U' R2 F2 U2 F' R F2 D' B' U' R F' L U ,G
198837,U2 L2 U' L2 B2 D2 R2 U F2 U L2 B' R' F L2 U' L' D' R2 F R' U' ,G
459103,D' B2 D' B2 U' L2 D2 B2 L2 U' R2 L2 F2 L' B' R F2 U' F' D' B2 R B' ,G
183835,D F2 L2 U' B2 R2 D B2 D' F2 D B2 L2 U F' L' B' D B2 U R' F' L' U2 ,B
169820,D' B2 L2 U B2 U' L2 D' U' F2 L2 B' R U F2 D F L' D B' R' ,B
186380,U' B2 D R2 U' R2 D B2 L2 U2 B2 R2 D L2 B' L F R2 D' F2 U' R B L' U' ,B
416700,B2 R2 U2 B2 L2 D L2 B2 U L2 B2 D B2 D2 B' U' R' F L D B' D2 U' R ,G
400235,L2 F2 D' U2 R2 L2 F2 D L2 D' B2 R2 U' F' R' B D L U F' U2 R' U' ,B
181468,U' B2 F2 L2 D F2 U' B2 L2 F2 D2 R2 U2 F' R L2 U' B' L D B' F R' ,B
188830,B2 D B2 U R2 F2 U' R2 U B2 D' F2 R2 L2 F' U R L' D F' L B D2 L' ,B
181692,D2 L2 U R2 B2 D2 F2 U' F2 U R2 D' U2 F' L' B U R D F' D2 L U2 ,B
181264,U' L2 U B2 D F2 R2 U B2 D F2 D2 B2 L2 U B' R U L F D' B D2 U2 L ,B
170745,U' L2 B2 D' L2 F2 L2 U F2 L2 D F2 R2 B' R' L' U B2 R2 U B' F' R' ,G
170746,B2 L2 U' R2 F2 R2 L2 D' F2 L2 U' B2 U2 L2 B' R' F U' L' D' R2 F R' U' ,G
170747,B2 L2 D' R2 U R2 D' L2 D' F2 L2 B2 L2 D2 R' B2 F U B' L' D' R' F ,G
170755,F2 R2 D' B2 L2 U2 F2 U' L2 B2 U R2 U' R2 B' R F R2 U' L' D' F R' ,B
400164,B2 U F2 D' L2 U' B2 F2 R2 U R2 U F2 R2 U2 F' D2 R D' B' U' L' F R ,B
188833,R2 U2 R2 F2 U' R2 U2 L2 F2 L2 B2 L2 U' R2 L' B F' R2 U' B2 R D L' F' ,B
453908,R2 U' B2 D' L2 B2 U' R2 F2 D L2 D2 B2 U2 L' D2 B' D R U F L' B U2 ,G
171697,L2 D B2 D' B2 D B2 R2 D2 L2 D L2 D L2 R' F' L U B D R' D2 F U' ,B
171699,B2 L2 U' F2 U F2 U' L2 F2 U' F2 L2 D U' B' R U L F D' B D2 U2 L ,B
171701,F2 D' B2 L2 U' B2 U R2 B2 U' B2 U' L2 F' R B D' B2 U' L F R' U ,B
171891,R2 B2 R2 B2 U F2 D' B2 D' B2 F2 D' B2 U' B' U2 R U' F' D' L' B R' U ,B
