# Scramble samples — pseudo_f2leo / pseudo_f2leo_xxxcross / W / bin 10
# Population in this bin: 719
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: scrambles.txt
# Generated: 2026-06-09
# Columns: id,scramble,bottom_color

375518,L2 B2 F2 L2 D2 U R2 B2 D' B2 D2 U' F' R L2 U' B' L D B' F R' U' ,W
54,F2 R2 B2 D L2 U' B2 L2 U2 F2 R2 D2 U F' R' F2 U B R' D B2 F L' ,W
89,R2 F2 D F2 U' B2 D2 R2 B2 R2 B2 L2 B' L' U' F R2 D' R D2 B' L ,W
261953,D2 B2 F2 R2 D B2 U R2 B2 L2 F2 D R2 L' F' U' B' R' D R2 L F' ,W
125,U2 F2 D' L2 D' B2 L2 D' L2 F2 U' L2 U L2 U2 F L' B U' R D U2 F R' U2 ,W
158,L2 B2 F2 L2 D' U2 F2 L2 U R2 D' B2 F' L' B' L' D R L' U B' ,W
355208,B2 F2 D F2 R2 D L2 B2 F2 D' U' L2 U' L' F' U' B' R' D R2 L F ,W
262720,F2 L2 B2 R2 U2 R2 U B2 F2 R2 U' B2 D U2 B' U2 L F2 D' L2 F' R B D L' ,W
296,B2 F2 D' F2 D2 U' B2 U' L2 F2 U' R2 F2 L' B' D R U F L' B' D2 ,W
424,R2 U L2 D2 F2 U F2 R2 U2 F2 R2 D R2 U2 L2 F' U' B R' D' U L' B' R D U2 ,W
426,R2 F2 D' B2 D2 F2 U' F2 D' L2 U B2 U' B' R U F D' L' B' U' F2 R' U' ,W
249385,L2 D F2 D2 B2 D' L2 D' F2 D B2 D B2 L2 U B' D2 U2 L' U R' B' D' F' L' U' ,W
245253,D' L2 U B2 L2 U' B2 L2 D B2 F2 U2 B' U2 L' U F D R B' L' ,W
355960,D L2 D' F2 U L2 D' L2 U R2 L2 U R2 F' D L B R' U' F L2 U2 L ,W
293584,R2 U B2 L2 U B2 R2 L2 D' L2 B2 U L2 D L' B' R L2 D2 U B' D' L F U' ,W
354968,D' B2 D F2 D' L2 D2 F2 R2 B2 D F2 U2 F' R' F2 U B D B2 R' F L ,W
244171,U' B2 F2 U' B2 D' F2 D R2 D2 L2 B2 D F' R B L2 D' B2 U' L F R' ,W
776,R2 U R2 U2 R2 F2 U R2 B2 D' R2 U L2 F2 U' R' B F D' L B2 U R' F ,W
261844,D2 R2 F2 R2 D' F2 U' F2 R2 F2 D F2 U F' L U R B D' F D2 U2 R ,W
249573,U2 L2 B2 D2 L2 B2 U B2 U' R2 U F2 R2 U' B' L D' F R' D' R2 U' B' L' U' ,W
355048,D' R2 B2 D2 L2 B2 U B2 D' L2 D' B2 D2 R' U F D L B' R' U' F' R ,W
1062,U F2 U' B2 D' L2 U2 L2 F2 R2 L2 U R2 U' F' U2 R D L2 F U L B R' U2 ,W
249496,B2 F2 L2 D L2 D' B2 D L2 B2 U2 F2 U' B' R F' D' L' U' B U2 R' U ,W
248061,R2 D F2 D2 R2 D' B2 U L2 F2 U L2 F2 R2 U' B' R U' R2 D' F L B U' R ,W
364251,R2 L2 D2 B2 D F2 U B2 U' B2 R2 U F2 L2 U2 L' F' U' B' R D L F' U' ,W
245193,B2 R2 U R2 U L2 D F2 R2 U2 L2 D L2 F' R' L' D' B D' U F D L' ,W
1128,B2 R2 D R2 D' B2 L2 U' B2 D' B2 R2 D2 L2 F' U R B L' B2 D' F' L' D2 U' ,W
1203,L2 B2 U' F2 U B2 F2 L2 D L2 U F' R D2 F2 D U B' U' R' F' L' ,W
347487,U L2 D' L2 F2 R2 B2 U F2 U2 F2 R2 D2 F' D L' D2 B R2 U R F L' ,W
250007,F2 U R2 D B2 L2 F2 U2 B2 L2 D' U2 F2 R2 B' U2 R B2 U' F' D' R' B' L' ,W
357622,U' L2 B2 U F2 D2 F2 L2 U' B2 U F2 U2 L' F U' R D L U2 F R B' ,W
191335,U R2 D' L2 U' L2 U L2 U R2 B2 U2 B2 U R2 L' F' R' B2 F2 U B D R' F' U' ,W
1258,F2 R2 D' R2 B2 D' U' R2 B2 R2 U2 B2 L2 U' F' R' L D' L2 U B' F L' ,W
357482,D L2 U L2 B2 F2 D R2 L2 D2 L2 U F2 U2 L' F R' B2 U B D F2 R' F U ,W
1270,B2 D2 R2 D L2 D F2 R2 D L2 U' F2 U' L2 U2 B' F' R' B2 L2 D U' F' R' L' ,W
364376,F2 U' F2 L2 U B2 U R2 U2 L2 F2 U' L2 F' R D' R2 U' B L F D' R ,W
6219,L2 U' R2 L2 B2 U F2 U' L2 F2 U' F2 U2 L' F R' B' R F' R' F' R' L' ,W
293593,L2 U' L2 D2 F2 U' R2 D B2 U' R2 U R2 F2 L' F R2 U' R2 B' D R' L F' U' ,W
355343,D R2 U' L2 D L2 D2 L2 F2 D' R2 B2 D2 F2 U' F' R L2 D L' B' U' F' R' U ,W
244758,R2 U2 R2 F2 R2 L2 U' F2 U2 L2 U2 L2 R' F' R2 D L U F' R B L2 U' ,W
249940,L2 D B2 U L2 U R2 U2 L2 B2 R2 F2 D2 B' L' F' L2 U R D F' L' ,W
6230,B2 U2 R2 D F2 U B2 L2 B2 R2 U R2 D L' F' L F R F' L' B' R L' ,W
6232,F2 D2 R2 D F2 R2 U' L2 U R2 B2 U' B2 F2 L' F' L F R F' L' B R' L' ,W
6234,U' F2 R2 B2 L2 U2 B2 D B2 U' F2 L2 D' L2 R' U L2 U' L' B' F' R' L' ,W
248004,D2 R2 B2 R2 F2 U' R2 U' R2 D F2 D' B2 D B' D R' F' D F2 U L B' R' ,W
245948,U R2 D' B2 F2 U F2 U F2 R2 U2 F' L' B' D B2 U R' F' L' ,W
6240,F2 L2 U' B2 D L2 U B2 D2 L2 B2 D B2 D2 L' F' L F R' F' L' B R' L' ,W
249533,F2 U2 L2 F2 R2 U B2 F2 R2 B2 D' F2 D2 U' B' U2 L' U F D R B' L U2 ,W
6243,U L2 D2 L2 B2 D' F2 D2 F2 U F2 U R2 U R' L' B' F' R' D' R2 D L' U' ,W
313362,L2 D' L2 D B2 R2 B2 R2 D' F2 R2 U' B2 D' F' L' B' D B2 U R' F' L' U2 ,W
249277,U L2 U' R2 B2 U' B2 D F2 R2 F2 L2 B2 F' D2 R D' B' U' L' F R' U2 ,W
