# Scramble samples — pseudo_pair / pseudo_xcross_pseudo_pair / BGWY / bin 6
# Population in this bin: 962
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: scrambles.txt
# Generated: 2026-05-30
# Columns: id,scramble,bottom_color

54,F2 R2 B2 D L2 U' B2 L2 U2 F2 R2 D2 U F' R' F2 U B R' D B2 F L' ,G
889242,D' L2 D R2 F2 D' L2 D F2 U' R2 U' B2 L2 D2 F' D' L D' R' B U F L B' U' ,B
1012508,F2 U L2 U2 B2 U' L2 D' F2 U F2 R2 U' F2 L' B' D' F' R U L B' U ,G
1249188,U' L2 U' F2 U2 R2 F2 R2 U B2 U F2 U B2 R' U' F' L' B L2 D R U B ,G
86,F2 D F2 U R2 B2 D2 R2 D B2 D2 F2 R2 B' U F' L F2 R' D B' U L' ,G
91,U' F2 U' F2 U' L2 U B2 L2 F2 L2 D B2 L' D B' R' U L F2 D' B F' ,G
1249186,R2 D B2 R2 D F2 D B2 D R2 U' F2 U L2 U B' U2 L' U F D R B' L U' ,G
1122477,U F2 L2 D' F2 U F2 U B2 F2 L2 B2 U L' U2 F R2 D' R B L U F U' ,G
1249111,L2 F2 U R2 F2 D' L2 D2 F2 D L2 D' R2 D U' B' R L' U' F' R D B' F2 L' U' ,B
1331,U' F2 U2 B2 D F2 R2 D' F2 U' F2 R2 L2 U' B' F' R' B2 L2 D U' F' R' L' ,B
1332,D' F2 D' R2 U F2 U' L2 U' R2 F2 U' L2 U' F' R' U B D F2 R' F' L' ,G
1012527,U2 F2 U' F2 U B2 D U2 R2 L2 F2 L2 U' R2 F' D2 R L' D' L2 B' U' F R ,G
1334,B2 L2 U' B2 L2 F2 R2 U B2 D' R2 D F2 U B' D2 L D' F' U' F2 R' B L' ,B
1270114,B2 D B2 L2 F2 L2 U' F2 U2 B2 U B2 L2 U' R' F' L U B D R' D2 F' U2 ,G
1208689,F2 R2 D F2 D F2 U' F2 U L2 U F2 U2 L' F D B R' U' L' F' U2 ,B
1235976,D' F2 D' F2 U2 B2 R2 D R2 D' L2 U L2 B2 U' B' R' L D F R' U' B F2 L' U' ,G
1210331,R2 L2 F2 D F2 D R2 D F2 U' F2 R2 U B' R U L F D' B D2 U2 L' ,G
925213,D2 F2 U L2 U' R2 D R2 U' F2 L2 F2 R2 D F' U2 R' U B D L F' R' ,B
910258,R2 D2 L2 U' B2 R2 U R2 L2 B2 D' L2 B2 F' R B L2 D' B2 U' L F R' U2 ,B
1892,B2 U' B2 R2 L2 D F2 L2 U' R2 L2 D2 B' R' D' L' F' U B' D2 U2 L ,B
1210333,D2 F2 D' R2 B2 U' F2 D2 L2 U R2 B2 D L2 F2 L' B U F R' D' L' B' U ,G
1271418,B2 U B2 U F2 D L2 D' L2 D F2 R2 U' L2 R' U2 F U' L' D' B' R F' U' ,B
910271,B2 U2 F2 D' B2 R2 B2 L2 D B2 D' L2 R2 L' B U F R' D' L' B' U2 ,G
2103,L2 U2 B2 U B2 R2 U2 R2 U F2 D' F2 R2 U2 B' R U' F' D' B2 R B L ,B
889311,U2 R2 F2 R2 D R2 D F2 R2 F2 D' L2 U R2 F' R L2 U' B' L D B' F R' ,B
1206875,B2 R2 D2 F2 U L2 D B2 D' F2 R2 U' F2 L2 F' L' D' R' B U F L' U ,B
881871,R2 F2 D F2 D2 L2 D' L2 B2 U L2 F2 U L2 U L B' F R2 D B2 R' U' L F ,B
875595,B2 D R2 B2 D' L2 U L2 B2 D2 U' R2 U R2 U' R' U2 B F' D F2 R U L' B' ,G
1012515,F2 D2 R2 U F2 D' B2 U2 R2 F2 D' L2 D' B' L F L2 D' R' U' F L' ,G
890082,F2 R2 L2 U2 R2 B2 L2 U B2 D' L2 D2 U' F' L U R B D' F D2 U2 R' ,G
2323,L2 B2 D' B2 D' L2 D F2 R2 F2 U' B' L F' D2 R2 U' R' D' B' L' U ,B
918288,L2 U L2 F2 U2 R2 F2 L2 U' B2 R2 D B2 U' F' R' U' L' B D F R' U ,B
925172,U2 L2 D' B2 U' F2 D' B2 U' B2 R2 B2 U2 F' L U R B' D' F' L' U' ,B
889237,R2 B2 D' R2 F2 U2 R2 D R2 L2 D2 L2 U' L2 F' R' L U B R' D' B2 F L' U' ,B
925179,B2 D' R2 B2 R2 B2 U' L2 D R2 D' F2 U F2 U2 L' B U F R' D' L' B' U2 ,B
4755,U' B2 L2 D F2 D L2 D' B2 D R2 F2 U B' F' R' B2 L2 D U' F' R' L' ,B
1205407,U L2 D' B2 U L2 B2 U B2 F2 R2 U' L2 D' L2 R' F' L U B D R' D2 F' U2 ,G
1249117,D L2 D' R2 B2 D' L2 U L2 U' F2 U L2 U R2 L' F' R U2 B2 D B U L F' ,B
1249100,L2 U' R2 F2 D F2 D L2 D R2 F2 D2 F' L U R B' D' F' L' U ,G
889972,R2 D R2 D' B2 F2 R2 U' B2 F2 L2 F2 D2 U2 R' D2 B D' L' U' F' R B' U' ,G
889223,L2 D F2 L2 F2 L2 F2 D2 F2 U' B2 U' B2 D2 F' L U R B' D' F' L' U2 ,B
889233,D' L2 U' R2 U' L2 D F2 U2 R2 U' R2 U F2 L' D2 B' D R U F L' B U' ,B
891768,R2 U L2 D U F2 L2 U F2 D R2 F2 U R2 F' R2 U2 R U B D L F' R' U' ,B
889876,L2 U' R2 U L2 D' B2 U L2 B2 U2 B2 F2 U2 R' D2 F' D L U B R' F U2 ,G
910205,F2 D' R2 B2 F2 D R2 U' R2 B2 D2 F2 D' L2 U' B' F' R' B2 L2 D U' F' R' L' ,G
925180,F2 U F2 L2 U2 L2 D L2 F2 U F2 R2 U2 R2 L' B U F R' D' L' B' ,B
889975,D U2 F2 D2 R2 D B2 F2 R2 B2 R2 L2 B' R F' D' L' U' B U2 R ,G
6226,R2 U' L2 D L2 B2 R2 L2 D2 F2 D B2 U' B2 U2 B' D F' R' L' B' F' L' D' L' ,G
1249096,D' F2 U L2 B2 U' R2 U' L2 D2 F2 L2 D' B' F' R' B2 L2 D U' F' R' L' ,G
882709,D R2 L2 D' L2 U2 R2 U' L2 U R2 F2 D' B' R' L D F R' U' B F2 L' U' ,B
910291,F2 L2 B2 D R2 D B2 D F2 D L2 F2 D' R' B' F U' F' L' F R L' U' L' ,B
1210355,R2 U' B2 L2 U' F2 U L2 F2 D' L2 U2 L2 D' L' U2 F' U R D B L' F' ,B
