# Scramble samples — pseudo_pair / pseudo_xcross_pseudo_pair / BG / bin 6
# Population in this bin: 962
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: scrambles.txt
# Generated: 2026-05-29
# Columns: id,scramble,bottom_color

54,F2 R2 B2 D L2 U' B2 L2 U2 F2 R2 D2 U F' R' F2 U B R' D B2 F L' ,G
1248602,F2 L2 U2 R2 D' B2 F2 U2 L2 D' L2 U2 R2 L' B R' D' F2 L B' L' F L' ,B
1249188,U' L2 U' F2 U2 R2 F2 R2 U B2 U F2 U B2 R' U' F' L' B L2 D R U B ,G
1210421,U' B2 U L2 U2 F2 R2 F2 L2 D F2 U B2 F2 L' U2 B F' U B2 R D L' F' ,B
86,F2 D F2 U R2 B2 D2 R2 D B2 D2 F2 R2 B' U F' L F2 R' D B' U L' ,G
1210395,U2 B2 R2 B2 F2 D B2 F2 R2 D2 R2 D' R2 D' F' L' B U R D F' D2 L' U' ,B
92,U2 F2 L2 U' L2 D' L2 D B2 U' R2 F2 R2 U L' U B' D R U L2 B' L' F' ,G
886018,U2 L2 B2 U2 B2 D' R2 B2 R2 D2 R2 D U' B' F' R' B2 L2 D U' F' R' L' ,G
1210399,F2 U' F2 R2 U2 L2 U B2 D2 B2 R2 U L2 D2 R' D' F D' B' L U R F L' ,B
925197,U2 R2 U F2 D2 F2 D' F2 U' B2 U' L2 U2 R2 L2 R' B' U' F' L' D R L2 B U' ,G
889299,U2 F2 R2 B2 D' L2 D F2 U R2 U2 B2 U' F' R D L U' F' U B' U' R ,B
920127,D B2 U2 F2 L2 D R2 F2 U' R2 U R2 B2 U' L2 B' L' U F D R2 B2 L' B' R' ,G
1334,B2 L2 U' B2 L2 F2 R2 U B2 D' R2 D F2 U B' D2 L D' F' U' F2 R' B L' ,B
1249169,R2 L2 U' F2 L2 D B2 D L2 D2 F2 R2 U B' R2 U2 L D B U R F' L' ,G
1205419,R2 B2 D F2 U' R2 D F2 D L2 D2 F2 L2 U2 F' U2 R' F2 U B D R F L' ,G
1122467,D R2 U F2 U' B2 D L2 D F2 L2 U' F2 D R' D' B' L F U R' D' U2 B ,G
918344,B2 U R2 U' L2 D L2 U' B2 R2 B2 L2 D B' U2 L' U F D R B' L' ,G
1271417,B2 U' R2 B2 D' R2 U L2 U L2 U2 B2 L2 D' R' U2 F U' L' D' B' R F' U2 ,B
877534,B2 D2 B2 F2 D F2 D U2 R2 U' R2 U' B2 L' F' U B R' B2 D L2 F' L' ,B
1892,B2 U' B2 R2 L2 D F2 L2 U' R2 L2 D2 B' R' D' L' F' U B' D2 U2 L ,B
1248949,U2 F2 U B2 U R2 D2 R2 B2 U R2 U F2 R2 U2 F' L B' D2 L2 D' R U B L' U' ,G
1206877,U2 F2 L2 D2 R2 U' R2 D F2 U B2 R2 D B' R L2 D' F' L U B F' R' ,G
910257,F2 U2 F2 U L2 U' B2 U L2 U' R2 B2 U' L2 R' B' L D F U R' U2 B' U2 ,G
1208699,L2 D F2 D L2 D' F2 U B2 L2 U F2 R2 L' B' D' F' R' U R2 L B U2 ,G
2106,D2 L2 B2 U2 B2 D' B2 U F2 U' B2 F2 R2 B' R U' F' D' B2 R B L ,B
2109,U2 B2 R2 U' R2 D F2 U2 F2 R2 D F2 R2 D F' R U' B2 D' B' L F D' R' ,B
925181,F2 U' L2 D2 F2 L2 F2 U F2 U L2 F2 U2 R' F' U2 L2 D L' U' B' R' F' ,G
925209,U L2 D R2 D' R2 U L2 B2 U2 F2 U' L' F' R U2 B2 D B U L F' ,B
920098,L2 D' B2 F2 R2 U2 B2 R2 D' B2 U' L2 U B2 U' B' L' U F D R2 B2 L' B' R' ,B
1248601,D2 R2 F2 D F2 D' L2 B2 U R2 U2 F2 D' U' B' R' F L2 U L B' R' U' ,B
920114,D' B2 D B2 U' R2 F2 U' R2 U' R2 U B2 U' B' R F L2 D' L2 U' L B R' U2 ,G
2524,U2 R2 D B2 D2 L2 B2 L2 F2 L2 D L2 U F2 U2 F' R B L2 D' B2 U' L F R ,B
1210391,U B2 D' R2 F2 D' R2 B2 U B2 U2 B2 U R2 F' R L2 U' B' L D B' F R' ,B
1248641,R2 D2 L2 U' F2 R2 U' L2 B2 L2 F2 U' L2 U' L' B' F' R' F D R2 F' L F2 ,B
1248595,L2 D' L2 U R2 B2 L2 F2 D' L2 D R2 B2 D2 B' R F R2 U R2 L B' R ,B
1249105,U F2 L2 B2 L2 F2 D' L2 D L2 D' R2 U L' D' B D' F' R U L B R' ,G
925201,F2 D' U2 B2 R2 F2 R2 D2 U L2 F2 U' L2 B' D2 U2 L' U R' B' D' F' L' U2 ,B
891797,B2 D U2 B2 D2 L2 D F2 L2 B2 L2 F2 U' F' D2 R L' D R2 B U F' L' ,G
1217917,B2 L2 U R2 D R2 B2 U2 F2 D R2 D R2 D L' B' D' F' R U L B' U ,G
916290,B2 U F2 L2 D' F2 D' L2 D2 U L2 B2 R' B' F L2 U B2 L' D' R F' U' ,G
1146535,L2 D2 R2 B2 R2 U' L2 U' F2 R2 L2 D' B' R' L2 U F L' D' B' F R' ,G
6040,U' F2 U' L2 U F2 L2 D' B2 D2 L2 F2 U2 R' F' L U B D R' D2 F' U' ,B
6221,D2 B2 R2 D' F2 R2 L2 F2 U' R2 B2 D U' R' L' B' F' R' L' ,G
1248613,L2 D2 R2 F2 D F2 U R2 F2 D2 R2 U F2 U2 B' R F2 U' R' F' R L B L2 ,G
910273,L2 U F2 U2 L2 D B2 U L2 F2 D B2 U' B2 R2 L' B U F R' D' L' B' ,G
1206875,B2 R2 D2 F2 U L2 D B2 D' F2 R2 U' F2 L2 F' L' D' R' B U F L' U ,B
889972,R2 D R2 D' B2 F2 R2 U' B2 F2 L2 F2 D2 U2 R' D2 B D' L' U' F' R B' U' ,G
927381,D' F2 U R2 F2 L2 B2 U L2 U R2 F2 D F' L' F2 D B U L' F R F2 U' ,G
1245740,F2 R2 B2 D L2 D F2 L2 U' B2 U2 B2 R2 U R' D2 B' L B' F' R' U' B' L' ,G
6233,B2 R2 U2 R2 U' R2 B2 D' R2 U2 F2 L2 D' L' D' R2 D R B' F' R' L' U' ,G
1249171,D' R2 B2 D F2 U B2 D B2 L2 B2 U2 B' R' F U L D B' D2 R' U2 ,G
918297,F2 D2 R2 D F2 U2 B2 R2 D' R2 U' B2 L2 F2 L' F' U' B' R D L F' ,B
1210335,F2 R2 U F2 D2 R2 U' L2 U2 B2 U F2 L2 F2 U L' B U F R' D' L' B' U ,G
6249,L2 U2 R2 F2 D' F2 D2 B2 R2 U' L2 U' B2 L2 U' R' D' L2 D L' B F' R' L' ,G
