# Scramble samples — pseudo_pair / pseudo_xcross_pseudo_pair / R / bin 6
# Population in this bin: 859
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: scrambles.txt
# Generated: 2026-05-30
# Columns: id,scramble,bottom_color

889626,L2 B2 U R2 D L2 U' R2 D2 B2 F2 U' R2 B2 U' F' R2 U2 R U B D L F' R' U' ,R
889764,B2 F2 R2 U2 R2 U F2 D B2 L2 U2 L2 D2 L' F' U' B' R D L F' U2 ,R
1249098,L2 D B2 F2 L2 D' R2 L2 D2 B2 L2 U L2 D' F' L U R B' D' F' L' U' ,R
866356,L2 U2 F2 U' F2 L2 B2 F2 U' L2 U F2 U F' L' D' R' B U F L' ,R
2641,D2 L2 D' F2 L2 D R2 U' L2 D F2 U R2 B2 U2 B' R' F' L2 D F2 U L' B' R' ,R
1246402,R2 D' L2 F2 L2 U R2 L2 B2 D R2 D2 F2 U' L' B' R U F D L' D2 B' U2 ,R
1217796,F2 L2 F2 D L2 D' R2 F2 R2 B2 D' L2 U F2 U' R' B' F U F2 L' U R' F U2 ,R
5949,D B2 F2 L2 U B2 U2 B2 R2 U' L2 B2 U2 F2 U' F' L' D B R' U L' B2 U F ,R
1249116,U R2 D R2 B2 F2 U' R2 D R2 B2 U2 R2 L2 U' B' D2 L D' F' U' R' B L ,R
866360,B2 F2 U B2 D' F2 R2 D R2 F2 U F2 U' R2 U' F' D L' D2 B R2 U R F L' ,R
1012061,B2 D' R2 U' B2 D F2 R2 L2 U' B2 L2 D2 R' B' L' B2 U' B2 F' R B' ,R
6222,U L2 F2 U F2 U' B2 D B2 D R2 D2 F2 U' R' U L U' B U' F R U' L' ,R
918347,F2 U R2 U2 B2 D' B2 R2 B2 R2 F2 U2 R2 U' F' L' B' R2 D B2 U R' F' L' ,R
883847,B2 D2 U B2 D2 F2 R2 F2 U' L2 B2 L2 F2 U' B' R B2 U' F' D' R B' L' F2 U' ,R
6233,B2 R2 U2 R2 U' R2 B2 D' R2 U2 F2 L2 D' L' D' R2 D R B' F' R' L' U' ,R
889739,D' F2 D' B2 L2 B2 F2 D' F2 R2 D' U2 F2 R' B' L' D F2 U F' R' B' ,R
889781,U R2 U' L2 B2 U' F2 D2 R2 L2 U' B2 F2 R2 U' L' D2 F D' R' U' B' L F' U ,R
6241,B2 D' R2 F2 D2 R2 U' R2 U F2 U' R2 F2 U' L' D' R2 D R B' F' R' L' U' ,R
1271678,F2 D F2 L2 D' R2 F2 D R2 U2 F2 L2 D U' B' D2 L D' F' U' R' B L U' ,R
653848,R2 L2 U2 L2 B2 U R2 D R2 D2 F2 U' F2 U F' R L' D B L' U' B2 F R' U' ,R
6248,R2 B2 U B2 D2 B2 R2 L2 D U2 R2 D2 B2 U' B' R L U2 B F L' U L2 U2 ,R
1247807,D' R2 D2 U L2 B2 L2 B2 D' R2 U F2 L2 R2 L' B' R U F D L' D2 B' U2 ,R
928343,D F2 D R2 D B2 F2 R2 U B2 D F2 U' F' R' B' D L U F R' D2 L' ,R
889740,B2 L2 D B2 D' F2 U F2 U' B2 F2 D' L2 U2 F' L U R B' D' F' L' U ,R
889487,F2 U' L2 B2 D B2 U' F2 U F2 U2 R2 U' R2 U' B' R F D L U R2 F' U2 R' ,R
1249097,R2 F2 D F2 U B2 F2 R2 U' F2 D2 R2 B' R F L2 D' L2 U' L B R ,R
889766,D R2 U2 L2 B2 D' R2 F2 D' L2 B2 U' B2 U' B' L' F D R U B' U2 L U ,R
6271,F2 R2 D2 F2 U B2 U2 R2 F2 D' F2 L2 U' F' D' R D' L B D' F L U2 ,R
6282,B2 U2 B2 L2 D B2 R2 L2 U2 F2 L2 D L2 U' F' L2 F2 R' U' L' B F R ,R
886002,D2 R2 U' B2 D' L2 B2 D2 B2 U' B2 D' L2 U' F' R L' D B L' U' B2 F R' U' ,R
918284,U R2 U' B2 L2 D2 F2 R2 U F2 U B2 U' R2 U2 B' R F L2 D' L2 U' L B R ,R
889770,D' B2 R2 F2 R2 D B2 F2 D F2 D F2 R' D2 F L2 U' L B R D F ,R
6364,B2 F2 U2 R2 D' F2 U2 R2 D' R2 D F2 U2 L2 B' R F' D' F2 L' B R' ,R
1217790,L2 F2 U' B2 F2 L2 D2 F2 U' R2 U' R2 L2 U F' L' B' D2 R' D F L2 D2 L' ,R
