# Scramble samples — pseudo_pair / pseudo_xxcross_pseudo_pair / OR / bin 11
# Population in this bin: 49
# Samples listed: 49 (all entries in this bin)
# Source: scrambles.txt
# Generated: 2026-05-30
# Columns: id,scramble,bottom_color

6011,R2 D B2 F2 R2 L2 D L2 B2 D2 R2 B2 L2 U2 L' B F D R' L D U' L' D' U' F' ,O
36961,R2 U2 B2 D F2 U2 L2 B2 U' B2 U' B2 L2 U' L' D2 B' U' R' F L D B U' L' ,O
36971,D2 L2 B2 F2 L2 B2 D2 R2 D U' F' R L U B' F D' U F' D' U' L' ,O
40879,L2 U2 B2 D R2 B2 U2 B2 L2 D2 L2 F2 U F' R L U B' F D' U F' D' U' L' ,O
40880,R2 D B2 F2 R2 L2 D L2 F2 D2 L2 F2 L2 U2 L' B F D R' L D U' L' D' U' F' ,O
93906,F2 L2 D' U F2 L2 U2 L2 U2 F' R L U B' F D' U F' D' U' L' ,O
116402,F2 U' B2 F2 R2 L2 U' F2 R2 U2 B2 R2 F2 U2 F' R L U B' F D' U F' D' U' L' ,O
116406,U2 R2 U' B2 F2 U' L2 D L2 D L2 B2 D' R2 U' B' F' R' B2 L2 D U' F' R' L' ,O
244225,U B2 F2 U L2 F2 D' R2 F2 U2 B2 U' F2 U2 F' R L U B' F D' U F' D' U' L' ,O
244299,R2 B2 D' F2 D R2 L2 F2 U L2 U2 L2 U' L2 U2 B' L F' D2 R2 U' R' D' B' L' U2 ,O
246413,D2 L2 U2 L2 B2 R2 L2 D U L2 F' R L U B' F D' U F' D' U' L' ,O
247846,F2 U L2 B2 U2 L2 U' R2 U' L2 F2 U' L2 U2 L' F' R' U' R2 B' D2 L D' F ,O
354678,U2 F2 R2 D F2 U2 R2 F2 U' F2 D2 L2 U2 R' B' L' F U F2 R' D2 B L' U' L' ,O
354680,D' U F2 R2 L2 U2 R2 U2 F' R L U B' F D' U F' D' U' L' ,O
355157,R2 D B2 D2 B2 L2 B2 D R2 D B2 D' F' U2 R D' U2 B' U F2 R F L' U' ,O
355162,U2 L2 U F2 R2 L2 D' F2 U2 R2 D L2 B2 D' L2 R' U2 B L2 D' L F R U B U' ,O
355312,B2 F2 R2 D B2 U R2 B2 D2 B2 L2 U' F2 U' L' F' D2 B' D R U' F U2 B L' U' ,O
355314,U B2 F2 D L2 D' R2 D' F2 U B2 U' B2 L2 F' U2 L D B R' F' U' L' D F' ,O
355564,U R2 L2 U' B2 R2 U L2 F2 D2 F2 D L2 F' R L U B' F D' U F' D' U' L' ,O
357023,R2 U F2 U' R2 U L2 D2 L2 B2 U' F2 U2 B2 F' U2 L D B R' F' U' L' D F' ,O
876451,U2 B2 U' L2 F2 U2 F2 D' R2 B2 D R2 B2 U L2 B' L' F U2 R2 D R U B L' ,O
877108,L2 D2 B2 D R2 B2 U2 B2 L2 D2 L2 F2 U F' R L U B' F D' U F' D' U' L' ,O
888060,D2 U' B2 L2 U R2 D F2 L2 U B2 L2 R2 L' U2 B' D U2 R U' L2 B' L' F' ,O
888062,U' L2 B2 U' R2 F2 L2 B2 U B2 U' L2 D' U B' L' F' L2 U' R D U2 F' U2 L' ,O
888065,D' R2 F2 U B2 U' L2 D' B2 F2 U2 L2 B2 U2 B' L D' L2 U' L2 F' R B U L U' ,O
