# Scramble samples — std / xcross / BGWY / bin 10
# Population in this bin: 981
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: scrambles.txt
# Generated: 2026-04-27T03:59:07.858Z
# Columns: id,scramble,bottom_color

471511,F2 U R2 U' F2 R2 F2 U L2 D' L2 D2 B2 R' B2 D F' R L B D' U' F' L' ,B
7317,U B2 F2 L2 B2 F2 L2 U' L2 F2 U2 F2 D' U' F' R L U B' F D' U F' D' U' L' ,B
93906,F2 L2 D' U F2 L2 U2 L2 U2 F' R L U B' F D' U F' D' U' L' ,B
116406,U2 R2 U' B2 F2 U' L2 D L2 D L2 B2 D' R2 U' B' F' R' B2 L2 D U' F' R' L' ,B
354643,U' R2 B2 L2 F2 U' B2 D B2 D F2 D2 F2 L2 F' U' L' B' R F2 U F2 D F' L' U' ,B
709752,D2 B2 D' F2 L2 U2 R2 D B2 D2 F2 U F2 U' R' B' D U F R' L' B' U' F2 R ,B
354645,R2 U R2 D' B2 D2 B2 R2 D' B2 U' R2 U L2 U' R' F2 U B' R L F D' U' B' L' ,B
705389,U2 L2 B2 U' L2 D' F2 U2 L2 D2 R2 B2 U' L2 R' F2 U B' R L F D' U' B' L' U' ,B
450296,U' R2 U F2 D B2 D' F2 U B2 R2 D F2 R2 L' F2 U' B' R' L' F D U B' L' ,B
355520,L2 U L2 U' F2 D2 L2 U B2 L2 D R2 L2 B2 U' F' R' F2 U B' D R' F L2 U' L' ,B
357001,D' B2 U L2 D R2 B2 L2 D2 L2 F2 U F2 U F' L B' R2 D R U L2 B' L' U ,B
354651,B2 F2 L2 U' R2 U' B2 R2 D2 L2 U F2 L' B D2 F D' R' U B' U2 F' L ,B
746120,D L2 B2 D B2 D' L2 D B2 F2 L2 D2 L2 U' L' F' D2 B' D R U' F U2 B L ,B
714579,U' R2 U B2 U' R2 U' B2 R2 D R2 D L' U2 F' D' R' B L U F D' L' ,B
354655,L2 D' B2 U F2 L2 U' B2 U2 B2 D R2 U F2 U2 B' L B2 D' F' U' F2 L B' R' U ,B
434378,R2 D' R2 D' B2 F2 D' B2 U' R2 D R2 B' D' B2 L F' U R' D L2 F' L' ,B
