# Scramble samples — std / xxcross / B / bin 12
# Population in this bin: 27
# Samples listed: 27 (all entries in this bin)
# Source: scrambles.txt
# Generated: 2026-06-03
# Columns: id,scramble,bottom_color

1272,D2 F2 R2 B2 F2 D' R2 F2 D' B2 D' R2 D' B' F' R' B2 L2 D U' F' R' L' ,B
897487,B2 D2 B2 R2 D B2 D' F2 D R2 D2 F2 R2 U' B' F' R' B2 L2 D U' F' R' L' ,B
897560,L2 B2 U' F2 D2 B2 L2 U R2 F2 U R2 D' L' F D' R' F' D2 U B R' F' ,B
897572,L2 F2 U' B2 R2 D' R2 D2 U2 B2 U L' U' F U' B' R D L F R' ,B
897573,D' L2 F2 U' B2 U' L2 D2 B2 R2 B2 L2 D' L2 D' F' R U' B2 D' B' L F D' R' U' ,B
897590,D' B2 D' B2 U F2 R2 L2 D2 L2 U F2 U2 L2 B' R' D' L' F' U B' D2 U2 L' U' ,B
897591,L2 U' B2 D R2 F2 D L2 U' R2 U F2 U R2 U' L F D B R' U' L' F' ,B
897606,D' L2 B2 L2 B2 D' R2 F2 D R2 D2 R2 L2 B2 F' D2 U2 L' D R' F' U' B' L' U2 ,B
897607,D2 B2 U R2 U' L2 U' R2 U R2 U' R2 B2 D2 U2 F' R U' B2 D' B' L F D' R' U' ,B
897621,U B2 F2 R2 U' F2 L2 U R2 B2 D' U2 R2 L' F D' R' F' D2 U B R' F' ,B
897622,L2 D U2 R2 L2 B2 R2 D' R2 D R2 U' L2 U L' U' F U' B' R D L F R' ,B
899950,R2 B2 L2 F2 D R2 U L2 U F2 D' U' R2 U2 B' L F' D2 R2 U' R' D' B' L' ,B
899979,D L2 D' R2 F2 U L2 D2 F2 U' L2 F2 U' F2 U2 B R U L F' D' B' R' ,B
899993,B2 D' L2 D R2 U B2 L2 D R2 L2 B2 D' R' D' F D' B' L U R F L' ,B
900006,U' R2 U' F2 R2 F2 U2 F2 U' B2 U' B2 L2 U' B' L F' D2 R2 U' R' D' B' L' ,B
900015,R2 D' U2 L2 D' R2 F2 U B2 R2 B2 U L2 B' F' R' B2 L2 D U' F' R' L' ,B
900714,U' B2 R2 D2 L2 U' L2 U R2 U' R2 U F2 U B' L F' D2 R2 U' R' D' B' L' ,B
900727,B2 L2 D B2 U2 R2 U2 R2 D' B2 L2 B2 R2 U F' L' D' R B2 R2 B' U F L' ,B
900728,R2 D' F2 R2 L2 D' F2 L2 U' B2 D2 L2 D L2 U' B R' D F U B2 R' B' L' ,B
900755,F2 D F2 D B2 D' B2 L2 U' B2 D R2 U R2 U' B' D2 U2 L' U R' B' D' F' L' U2 ,B
900795,R2 B2 U' F2 U R2 F2 U2 B2 D F2 U' B2 L2 U' B' R2 U2 L D B U R F' L' U2 ,B
910035,F2 U2 B2 D' B2 L2 D F2 D' F2 D2 B2 L2 R' D' F D' B' L U R F L' ,B
910075,D' F2 U B2 R2 L2 U' B2 U' R2 D2 B2 D L2 D2 B' L F' D2 R2 U' R' D' B' L' ,B
910076,L2 D R2 D B2 U L2 F2 D2 F2 D L2 U F2 D L' F D' R' F' D2 U B R' F' ,B
910103,B2 U' B2 D2 F2 U' L2 D2 B2 U' R2 F2 U' L2 R' F U' L' F' D U2 B L' F' ,B
910104,F2 U2 L2 F2 D' B2 L2 D L2 F2 R2 L2 U' F' R U' B2 D' B' L F D' R' U' ,B
1207044,F2 D' B2 F2 R2 L2 D' F2 L2 D2 F2 R2 F2 U2 F' R L U B' F D' U F' D' U' L' ,B
