# Scramble samples — std / xxcross / O / bin 12
# Population in this bin: 64
# Samples listed: 64 (all entries in this bin)
# Source: scrambles.txt
# Generated: 2026-05-30
# Columns: id,scramble,bottom_color

93906,F2 L2 D' U F2 L2 U2 L2 U2 F' R L U B' F D' U F' D' U' L' ,O
888059,B2 D L2 U' B2 D B2 R2 L2 D2 B2 R2 F2 R' U' R2 F L' D B' U F2 L' F' ,O
888061,U2 L2 D R2 U L2 D' R2 U F2 R2 L2 D L2 U' F' D2 R U B L' F' D' R' U F' ,O
888062,U' L2 B2 U' R2 F2 L2 B2 U B2 U' L2 D' U B' L' F' L2 U' R D U2 F' U2 L' ,O
888188,L2 D2 B2 D' R2 F2 U2 F2 L2 U2 R2 F2 U' F' R L U B' F D' U F' D' U' L' ,O
888390,D2 B2 D' B2 R2 D' R2 B2 F2 U R2 D' F2 L2 U F' D2 R U B L' F' D' R' U F' ,O
888392,R2 L2 D2 L2 U' L2 B2 U' L2 D' U2 F2 R2 U' F' L' B R2 U' R' D' L2 B L U ,O
888397,F2 D F2 D R2 U B2 U' B2 F2 D' R2 D' U F' D2 R U B L' F' D' R' U F' ,O
888401,D L2 F2 D L2 D' F2 U F2 R2 L2 U' B2 U' F2 L' U2 F R2 D' R B L U F U' ,O
888405,R2 B2 D' L2 U2 L2 F2 U' L2 U2 R2 F2 L2 U F' D2 R U B L' F' D' R' U F' ,O
888701,R2 B2 D' L2 U B2 D2 R2 U' R2 U2 B2 U F2 L2 B' D2 R F2 U' F L B D R U' ,O
888707,F2 L2 D' F2 U B2 U' B2 U' R2 B2 D2 F2 D2 R' B' R2 U L' D B' R F2 U' F' ,O
888710,L2 F2 U R2 F2 D2 R2 B2 U L2 U2 F2 L2 U F' D2 R U B L' F' D' R' U F' ,O
888715,D L2 B2 F2 D' U2 R2 L2 B2 U' R2 U2 F' D2 R U B L' F' D' R' U F' ,O
890552,U' B2 D L2 D R2 U2 F2 L2 F2 L2 U F2 L2 U F' L D' B2 U' B' R F U' L' U' ,O
890555,R2 U F2 R2 U F2 U2 F2 R2 L2 U' R2 D' L' B R' D F U B2 R' B U' ,O
890556,U B2 U' L2 U2 B2 U B2 D' F2 U2 B2 R2 U' R2 B' R' L' U R2 B2 U B' F' R' ,O
890563,R2 U B2 D F2 U' B2 U F2 U' R2 U2 B2 U' B' D2 R F2 U' F L B D R U' ,O
