# Scramble samples — std / xxxcross / BGWY / bin 10
# Population in this bin: 834
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: scrambles.txt
# Generated: 2026-05-30
# Columns: id,scramble,bottom_color

400250,L2 D F2 D' R2 B2 U2 F2 D' R2 U2 R2 F2 U2 L' D2 B' D R U F L' B' ,G
554145,U2 L2 U' R2 B2 D2 F2 U' B2 D B2 U' L2 U2 F' R' B' D L2 U L' F' R' U ,G
399870,F2 D2 R2 D U2 B2 L2 D L2 F2 L2 D' L' B F R' F' U' R2 F L' F2 ,B
651259,D' F2 L2 D' B2 F2 R2 D B2 U L2 D' U' F' L' F2 D B U B2 L' F R ,B
355154,R2 L2 U' B2 D B2 D B2 L2 B2 R2 D R2 B' L B2 D' F' U' L B' R ,G
2423,F2 D2 R2 U R2 B2 F2 U R2 U B2 L2 U L' U2 F' U R D B L' F U ,G
651101,B2 D' R2 U B2 F2 R2 L2 U B2 D2 L2 R' F' D' R D2 L B U' F D2 L' ,B
886207,D' L2 D' L2 B2 D2 B2 U' F2 L2 B2 R2 U2 R2 U' B' L' U' F2 D' F' R D' B L' ,G
2432,U2 L2 D B2 U R2 D L2 D' R2 D R2 U' L2 U' L' B U F D' L' D R' D' B ,G
876044,F2 D R2 F2 D R2 D' B2 L2 D2 R2 D' F2 D2 F' L U R B' D' F' L' ,Y
355256,F2 U' B2 D L2 B2 F2 D' R2 B2 U' R2 D R2 U B' R' U2 F2 D F' U' L' B' R' ,Y
634691,D' L2 D' R2 D L2 F2 D2 B2 U B2 L2 D' R2 F2 L' B' U2 F' U R D' B D2 F L' ,G
586055,F2 L2 B2 F2 U L2 U' L2 U' L2 D2 L2 U' F' L' B D2 R2 U R D F L' U' ,G
892617,F2 D' F2 U2 B2 L2 D' B2 D' F2 R2 U' R2 U B' R2 L D R' F' U' B' L U2 ,G
399866,D L2 D' B2 R2 B2 U R2 L2 U F2 D2 R2 U L' B' U F' L2 U R' L B U2 ,B
2471,D2 R2 U R2 B2 D F2 U2 R2 U' F2 L2 U F2 U R' F R2 U' L' D' F R' B' U2 ,G
355389,U' R2 B2 U F2 U' R2 D2 B2 L2 U L2 U' L' F D' B' R B2 U' L2 F L ,G
649662,D' F2 D' B2 L2 U' R2 B2 D' R2 F2 D' R2 F2 U' F' L' F2 D B U L' F R ,B
2480,F2 U' B2 U' F2 U R2 U' R2 B2 D2 R2 B2 U2 B' R B2 U' F' D' R B' L' U' ,G
354889,U B2 U L2 B2 U' L2 U' B2 D R2 U2 B2 U' R' U B' U2 L F2 D F R B' ,W
1206217,U B2 L2 U B2 U' F2 U2 F2 R2 U F2 R2 L2 F' L B' R2 D R U L2 B' L ,G
893212,D F2 D2 U' B2 D2 F2 U' B2 L2 U B2 R2 U' B' L D' L2 U' F R B D' L ,G
929264,D' L2 D R2 L2 B2 D' F2 L2 D2 U' L2 U' F' U B' L' D' R' F' R2 U' B2 L' ,G
890059,F2 D B2 L2 D B2 R2 U L2 B2 U' F2 U' B' D' L F D' F2 U' R' B L' ,B
882797,U R2 U' F2 R2 D F2 L2 D R2 U' F2 U' F2 U' F' R U R2 D B' L' U F' R' ,G
892251,D' B2 D' R2 U L2 B2 D' L2 U R2 U F2 U2 L' D2 B' D R U F L' B U ,G
929592,L2 B2 U' R2 D' F2 U2 B2 L2 D L2 D' U2 B' D2 U2 R L' U R2 B' D' F L' ,G
1217792,U' R2 D2 R2 F2 D L2 U F2 U F2 U2 F2 R' B L B2 D B2 F R' B ,G
649758,U2 L2 D F2 U' F2 R2 U B2 D2 R2 D' B2 L2 B' L D' L2 U' L2 F' R B U L U' ,G
1234051,L2 U L2 F2 U' B2 D' F2 L2 F2 D2 R2 D' U2 F' R U' B2 D' B' L F D' R' U' ,G
893174,U' F2 D' B2 U' B2 U L2 U' F2 U' B2 U B' R L' B2 U' R2 F D B' L' ,B
400621,D F2 U2 B2 D' R2 D' L2 B2 U' L2 B2 U F' R L' D' B' R U B2 F' L' U' ,G
3691,D2 R2 D' L2 D' L2 B2 F2 D2 B2 U L2 B2 R' B L D' L2 F U2 R U B' ,G
3692,L2 U' L2 B2 F2 U' B2 D2 R2 D B2 U L2 B' R B2 U' F' D' F2 R B' L' U ,G
649041,F2 R2 U F2 L2 U2 L2 U' B2 U' B2 U L2 B2 F' L' F2 D B U L' F R ,B
3700,U' R2 U L2 B2 U' B2 D2 B2 U F2 R2 B2 U L' B' D' F' R' U R2 L B' ,G
1181498,F2 D' R2 D2 L2 F2 D F2 D B2 U F2 U' R' D F L' B' U' R D U2 F ,B
892618,B2 F2 R2 U' B2 D' R2 D R2 D' L2 B2 D R2 B' L B2 D' F' U' L B' R' U2 ,G
650799,U2 B2 L2 D' R2 U' L2 F2 L2 U2 B2 U F2 U L' U2 B' D U2 R U' L2 B' L' F' ,G
938109,B2 D' R2 B2 D F2 D B2 F2 D2 F2 L2 D' L2 B' R' L' U B2 R2 U B' F' R' ,B
4598,L2 F2 U' B2 L2 U' R2 U B2 U2 L2 F2 U' F' L' D' R' B' U B2 F L' U' ,G
566315,L2 B2 U L2 U2 R2 L2 U R2 L2 F2 U R2 U' B' L' F R2 D' R' U' L2 F L ,G
4604,R2 U B2 D2 F2 L2 D' R2 U' F2 L2 F2 U L2 U B R' B2 D F U F2 R' B L' U2 ,G
893043,R2 D L2 U' R2 F2 D' F2 D F2 R2 U2 L2 U' F' D2 L' D B U R F' L U' ,B
1007346,D F2 U' B2 D2 F2 L2 U' B2 L2 U F2 U' L2 U2 B' R' F' U L D B R' U2 L' ,B
4657,L2 U2 F2 L2 B2 U R2 D F2 D' F2 R2 F' R2 L' D' R B' U B2 F L' ,G
649476,L2 F2 D U' L2 U' B2 L2 U' B2 U L2 R' F R2 U' L' D' L2 F R' B U ,B
651635,D' B2 L2 B2 D2 F2 L2 U' R2 F2 R2 U2 L' U2 B' D U2 R U' L2 B' L' F' ,B
4666,L2 U F2 U R2 D' B2 F2 R2 B2 F2 U R2 D L' B' D' L' F' R U B R2 D L' ,G
1212670,B2 F2 L2 D R2 D' B2 D2 U R2 U F2 U' R2 L' F' R D B U L' U2 F U' ,B
926118,B2 D2 R2 D' L2 D' F2 L2 D' L2 U' L2 D2 R2 D' L' D B' R' D R2 U F L' B' ,B
