# Scramble samples — std / xxxcross / Y / bin 14
# Population in this bin: 47
# Samples listed: 47 (all entries in this bin)
# Source: scrambles.txt
# Generated: 2026-05-29
# Columns: id,scramble,bottom_color

149584,U' L2 U' R2 U L2 D' R2 U' B2 U2 L2 F2 L' F U R D' L' B L F' L' ,Y
149585,B2 F2 L2 U L2 U' F2 U R2 F2 U L2 D' L2 U2 L' B L2 U' R' D L2 B L F' ,Y
149586,U' B2 R2 L2 U' F2 D2 B2 R2 D' L2 U' F2 U2 B' F' L' D U F2 R' L' ,Y
149587,D2 R2 U' F2 D' R2 F2 U L2 D' B2 U F2 L2 F' L' B' D U2 L F U R' ,Y
149588,B2 D B2 U' F2 D B2 D' L2 F2 U' R2 U R2 U' L' U2 F U' R D' F' L' B' ,Y
149589,D' B2 U' R2 B2 U2 R2 F2 U L2 D L2 B2 U' L' B' R' D L' B L' F' D L' ,Y
149590,B2 U R2 F2 D2 B2 D' R2 D2 F2 U' B2 R2 U2 F' U2 R U' B D' R' F' L' ,Y
149591,D' F2 D' R2 L2 B2 U R2 D2 B2 D' B2 L' B' L2 F' U R D B' F' L' ,Y
149592,B2 L2 F2 U2 L2 U' L2 U' R2 U2 R2 U B' L F D' U2 L' B' U' R ,Y
149593,F2 R2 F2 D2 F2 L2 D U2 L2 U F2 U' F' R' D2 L' U F D R2 F' L' ,Y
149594,L2 U' B2 L2 U2 R2 L2 U' R2 U' B2 U2 B2 R' F' L' D R' F R' B' D R' ,Y
149595,F2 R2 U2 R2 U B2 L2 U2 F2 D' L2 D R2 U2 R' U2 B U' L D' B' R' F' ,Y
149596,U L2 F2 U' L2 U L2 B2 U' F2 D2 B2 U B2 U' F' D U R D B D L U L2 ,Y
149597,R2 F2 R2 D R2 U' L2 F2 U2 L2 D R2 U2 F' R U' B2 U2 B' D' R' F' L' ,Y
149598,R2 B2 U' L2 F2 U' R2 U2 F2 D B2 U' B2 L2 U2 R' B D L' F' U B' F' U L2 ,Y
149599,F2 L2 D2 U' B2 U R2 U' B2 L2 D' R2 U' R2 U2 B' L2 F L' B2 D' U' R B L ,Y
149600,B2 U' R2 F2 D2 U R2 D' F2 R2 U' L2 U R2 B' D' F' U R' D' L F2 U' L2 ,Y
149601,B2 D' L2 D L2 U R2 U' F2 U L2 D' L2 U' L' B L2 U' R' D L2 B L F' ,Y
149602,F2 U B2 U B2 F2 D L2 U' B2 F2 D R' D2 F2 D' B R2 D B U' L' ,Y
149603,R2 F2 U' R2 D2 F2 U B2 F2 D2 B2 L2 F2 U' R' D2 F2 D' B R2 D B U' L' ,Y
1211504,D' L2 U' R2 D' B2 U B2 D' R2 U B2 L2 U' B2 R' B L U' F' D' R' B U2 F' ,Y
1211505,B2 D2 B2 L2 U' B2 D L2 B2 D2 U' L2 U L2 B' F' R' B2 L2 D U' F' R' L' ,Y
1211506,B2 L2 D2 F2 R2 D F2 R2 D U2 F2 U' R2 U' B' F' R' B2 L2 D U' F' R' L' ,Y
