# Scramble samples — std / xxxxcross / Y / bin 16
# Population in this bin: 194
# Samples listed: 194 (all entries in this bin)
# Source: scrambles.txt
# Generated: 2026-05-29
# Columns: id,scramble,bottom_color

149604,L2 D2 F2 D U2 B2 L2 U' R2 U R2 B2 U' B' F' R' B2 L2 D U' F' R' L' ,Y
149605,D L2 B2 F2 U R2 D2 L2 B2 U' F2 D' R2 L2 F' L' D B U R2 F2 L' F' R' ,Y
149606,D2 R2 U2 R2 B2 U' B2 F2 D R2 B' R' D F U B2 R' B' L' ,Y
149607,B2 L2 U2 L2 F2 U2 L2 F2 D' L2 D' F2 R2 U' R' B L U' F' D' R' B U2 F' ,Y
149608,R2 U R2 U L2 B2 R2 D2 F2 D L2 D2 U' B' F' R' B2 L2 D U' F' R' L' ,Y
149609,D' B2 D L2 U2 F2 D' B2 U2 R2 D B2 U' R2 L2 B' D R L' U B' L F U2 L' ,Y
149610,L2 D' B2 U2 R2 U B2 D' B2 R2 U2 B2 U' R2 B' L' D R' B2 L2 D B F' L' ,Y
149611,L2 D B2 R2 D B2 L2 D B2 D B2 U2 R2 B' R' D F U B2 R' B' L' ,Y
149612,L2 U' B2 U F2 L2 U R2 B2 U R2 D R2 F2 U' B' R' D F U L2 B2 R' B' L' ,Y
149613,U2 L2 U R2 U' L2 U' B2 F2 U R2 B' R U L F D' B D2 U2 L' ,Y
149614,L2 D B2 D B2 R2 L2 U' F2 D' F2 L2 D2 B' L' D R' B2 L2 D B F' L' ,Y
149615,R2 B2 U' L2 B2 U L2 F2 D L2 D2 U' L2 U2 B' R U L F D' B D2 U2 L' ,Y
149616,U2 F2 D' B2 L2 U' B2 R2 D B2 D' U2 R2 B' F' R' B2 L2 D U' F' R' L' ,Y
149617,D2 L2 F2 D F2 U R2 F2 U B2 R2 U R2 D' B' D R L' U B' L F U2 L' ,Y
401200,F2 L2 B2 U' L2 U' L2 D L2 B2 U F2 U' L2 U' B' L' U' R L2 B2 F U' B' L' ,Y
401201,R2 D' F2 L2 D' B2 F2 L2 U B2 U' B2 R2 D2 L' F' U' B F2 R L2 U' L' F' ,Y
401202,F2 D R2 B2 R2 U2 B2 D' F2 R2 D2 F2 L' U2 F' D' R' B L U F D' L' ,Y
401203,F2 R2 D2 F2 L2 U R2 D2 L2 B2 D' F2 D2 L2 F' R' U' R2 L B F2 U' F' R' ,Y
401204,U' L2 F2 L2 D2 F2 D' R2 L2 U B2 U' B' L' U' R L2 B2 F U' B' L' ,Y
401205,R2 D R2 U B2 U' L2 D2 B2 F2 D' B2 U2 L2 B' D2 L' F' R U' L2 B D2 F' R ,Y
401206,B2 D B2 U B2 R2 F2 D2 F2 D' L2 D R2 F2 U2 L' F' U' B F2 R L2 U' L' F' ,Y
401207,B2 U2 B2 D' L2 D L2 U F2 U R2 U L2 U2 F' D' F2 L' B' D2 L' D' R' F' L' ,Y
401208,F2 D' R2 F2 D' R2 U B2 F2 L2 F2 D F2 D U R' B' U' B2 F R2 L U' R' B' ,Y
401209,D2 L2 B2 U B2 R2 B2 U' R2 U2 R2 U' L' D B L' U' R' F' D B D L ,Y
401210,L2 B2 U2 F2 D2 F2 L2 D' L2 D' R2 U2 F2 L' U2 F' D' R' B L U F D' L' ,Y
401211,B2 R2 U' B2 L2 U' R2 U2 B2 U F2 L2 U' F2 L2 R' B' D2 L2 U L' D' F' R' B ,Y
401212,D' B2 D R2 B2 U B2 D' B2 R2 D' F2 R2 U B' L' F' D2 R2 U R' D' B' L' ,Y
401213,D R2 D2 R2 U' L2 D' F2 D B2 L2 U' B2 U' L' F' D' R' U R2 D2 B' L' F ,Y
401214,B2 D' L2 U B2 U2 R2 L2 U L2 D' L2 U R2 F' U' F2 L' B' L2 D R' U B' L' ,Y
401215,D2 F2 L2 D' R2 U' B2 R2 U F2 U2 R2 F2 U2 R' B D2 R' D L' F' U B' D2 L' ,Y
401216,L2 D' R2 U L2 U' R2 F2 L2 F2 L2 U F' D2 R' B' L U' R2 F D2 B' L ,Y
401217,L2 U' R2 D L2 F2 U F2 U' R2 D' F2 R2 B2 U' L' F' U' B F2 R L2 U' L' F' ,Y
401218,D' L2 U B2 D' R2 B2 U' R2 D B2 D2 F2 L2 U' L' U2 F' D' R' B L U F D' L' ,Y
401219,B2 D R2 U B2 L2 F2 U2 F2 U' R2 U' R2 U2 F' D2 R' B' L U' R2 F D2 B' L ,Y
401220,R2 D2 L2 F2 R2 U' B2 U2 L2 U' R2 U' R2 F' U' F2 L' B' L2 D R' U B' L' ,Y
401221,B2 U' B2 U' B2 F2 L2 D' L2 F2 U L2 D2 U' R' B D2 R' D L' F' U B' D2 L' ,Y
401222,L2 D' L2 U R2 F2 D B2 U' L2 U' B2 R2 B2 U' B' L' U' R L2 B2 F U' B' L' ,Y
401223,F2 U2 F2 R2 U' R2 B2 F2 D2 F2 U' L2 U2 F2 R' B' U' B2 F R2 L U' R' B' ,Y
401224,B2 U B2 F2 D' B2 U2 R2 B2 R2 D' U' L' F' U' B F2 R L2 U' L' F' ,Y
401225,R2 B2 F2 D' R2 F2 U' F2 U B2 R2 U F2 D2 F' R' U' R2 L B F2 U' F' R' ,Y
401226,U L2 D F2 R2 U L2 D' B2 D' R2 B2 D2 R2 U' L' U2 F' D' R' B L U F D' L' ,Y
401227,R2 D L2 D F2 R2 B2 D2 R2 U' B2 U F2 L2 R' B' U' B2 F R2 L U' R' B' ,Y
401228,D2 F2 D2 R2 U R2 D L2 U' L2 F2 U' B2 R2 L' U2 F' D' R' B L U F D' L' ,Y
401229,L2 B2 L2 D U R2 D F2 U' F2 U B2 U' F2 L2 R' B' U' B2 F R2 L U' R' B' ,Y
401230,F2 U F2 U' R2 U F2 D2 L2 U' L2 U2 L2 F2 L' U2 F' D' R' B L U F D' L' ,Y
464958,U' L2 F2 U' F2 L2 D L2 D' R2 F2 D' B2 U' L2 B' U L' F' R U R2 D B' L' ,Y
464959,D F2 R2 D' R2 F2 U' L2 U F2 L2 B2 U2 B' R U F' D2 L' D B' R' L' ,Y
464960,L2 F2 L2 U B2 U' L2 D R2 U' R2 D2 B2 F' L U' B' L' D U2 R B' L' ,Y
464961,D' L2 F2 U B2 U2 B2 U' F2 D' R2 B2 U L2 R' F L' U2 B2 D' B' U' R' F' ,Y
464962,F2 U F2 D F2 U' F2 L2 U' R2 U R2 B2 D2 L' F' R' B2 F2 U B D R' F' ,Y
464963,R2 B2 D' L2 U' F2 D2 L2 U R2 B2 U' B2 U2 F' L B' U2 R2 D' R' U' F' L' U' ,Y
464964,D L2 B2 U L2 D' F2 D F2 L2 F2 U L2 D2 U' B' L' F' R2 L2 U R D F' L' U' ,Y
464965,U R2 D' L2 U2 R2 F2 L2 U R2 D R2 B2 U' L' F R' D2 B2 U' B' D' L' F' U2 ,Y
464966,R2 D2 U B2 L2 U B2 U' B2 U2 B2 R' F L' U2 B2 D' B' U' R' F' ,Y
464967,D R2 B2 D R2 D2 L2 D' F2 D' R2 B2 U L2 R' F L' U2 B2 D' B' U' R' F' ,Y
464968,U F2 R2 B2 D2 F2 U2 F2 U B2 U R' F L' U2 B2 D' B' U' R' F' ,Y
464969,U R2 D B2 U B2 L2 D2 F2 U' B2 U2 F' L U' B' L' D U2 R B' L' ,Y
515372,D2 F2 U' L2 F2 U' F2 R2 L2 U L2 U' L2 B2 U2 B' L' U' R L2 B2 F U' B' L' ,Y
515373,L2 D F2 U' L2 B2 L2 B2 D2 U F2 L2 U' B2 L' F' U' B F2 R L2 U' L' F' ,Y
515374,D R2 B2 F2 D' L2 U' B2 F2 U' B2 U' R2 U' L' U2 F' D' R' B L U F D' L' ,Y
515375,L2 D2 B2 U' B2 F2 R2 U2 B2 U' B2 R2 D2 R2 F' R' U' R2 L B F2 U' F' R' ,Y
515376,F2 R2 F2 D2 R2 D B2 F2 U' L2 D U' B' L' U' R L2 B2 F U' B' L' ,Y
515377,R2 L2 D L2 D U2 F2 D F2 L2 D2 B2 F' D' F2 L' B' D2 L' D' R' F' L' ,Y
515378,R2 L2 B2 U' B2 D' R2 L2 D2 L2 D' F2 D R2 U2 R' B' U' B2 F R2 L U' R' B' ,Y
515379,U2 F2 U' B2 D R2 B2 D2 B2 U L2 F2 U' F2 R' B' D2 L2 U L' D' F' R' B ,Y
515380,U L2 B2 F2 U' F2 U L2 D' R2 D B2 R2 U B' L' F' D2 R2 U R' D' B' L' ,Y
515381,U' B2 D' R2 U R2 U' B2 U' R2 U' L2 F2 L' F' D' R' U R2 D2 B' L' F ,Y
515382,B2 D R2 D2 L2 B2 D L2 D F2 L2 U2 L2 U2 F' U' F2 L' B' L2 D R' U B' L' ,Y
515383,B2 F2 U R2 D2 L2 F2 D F2 U B2 U R2 U' R' B D2 R' D L' F' U B' D2 L' ,Y
515384,D B2 R2 B2 U R2 U R2 U' F2 D F2 L2 U F' D2 R' B' L U' R2 F D2 B' L ,Y
515385,F2 L2 D L2 D' R2 L2 B2 D B2 L2 D B2 L' F' U' B F2 R L2 U' L' F' ,Y
515386,D2 B2 L2 D2 R2 U F2 R2 U B2 D' R2 U F2 L' U2 F' D' R' B L U F D' L' ,Y
515387,D2 L2 D L2 D' B2 D B2 R2 F2 L2 U' R2 U F' U' F2 L' B' L2 D R' U B' L' ,Y
515388,D F2 D' U2 B2 L2 D' F2 R2 B2 R2 L2 R' B D2 R' D L' F' U B' D2 L' ,Y
515389,U F2 L2 F2 D2 L2 U' R2 L2 D L2 U' L' F' U' B F2 R L2 U' L' F' ,Y
515390,R2 D' B2 D' B2 U L2 B2 D R2 B2 D' F2 D L' U2 F' D' R' B L U F D' L' ,Y
515391,U2 B2 R2 D R2 D' R2 L2 F2 D F2 R2 D F2 R' B' U' B2 F R2 L U' R' B' ,Y
515392,F2 R2 D2 L2 U B2 L2 U F2 D' L2 D2 U' F2 L' U2 F' D' R' B L U F D' L' ,Y
526653,U2 B2 D' R2 D' R2 F2 D' L2 D' L2 U' L2 U' F' D L B R' F2 D' F2 U' F L' U' ,Y
526654,L2 U' F2 U' R2 F2 D' L2 D R2 F2 D2 U' B2 R' B L2 F U' R' B' L' D F' U' L' ,Y
